No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,MPI Industries Limited,+852 2607 1199,http://www.mpi-limited.com/,sales@ftm-tech.org,4.3,6 reviews,"Suite 3104, 31F, Cable TV Tower, 9 Hoi Shing Rd, Tsuen Wan, New Territories, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear MPI Industries Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help MPI Industries Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Golden Years（流金歲月） Watch Repair Service Center(ROLEX-PP-AP-OMEGA-VC-IWC)鐘錶維修保養翻新,+852 6575 1735,http://watch.852service.com/,Email Not Found,5,62 reviews,"Hong Kong, Hong Kong Island, Central, Queen's Road Central, 29號, 703-1室, 華人行",82,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Golden Years（流金歲月） Watch Repair Service Center(ROLEX-PP-AP-OMEGA-VC-IWC)鐘錶維修保養翻新 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Golden Years（流金歲月） Watch Repair Service Center(ROLEX-PP-AP-OMEGA-VC-IWC)鐘錶維修保養翻新 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Biu Chun Watch Hands & Parts Manufacturers Ltd,+852 2898 7330,http://www.biuchun.com.hk/,info@biuchun.com,5,2 reviews,"3513, 213 Queen's Rd E, Wan Chai, Hong Kong Island, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Biu Chun Watch Hands & Parts Manufacturers Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Biu Chun Watch Hands & Parts Manufacturers Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,HONG KONG WUKONG LUXURY TRADE COMPANY LIMITED,+852 9655 8777,No Website,No Website,5,1 reviews,"8F, Glory Mansion, 16 Carnarvon Rd, Tsim Sha Tsui, Kowloon, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear HONG KONG WUKONG LUXURY TRADE COMPANY LIMITED Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HONG KONG WUKONG LUXURY TRADE COMPANY LIMITED grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,3 Wells Watch Industries Ltd,+852 2489 2318,http://www.3wells.com/,2318info@3wells.com,N/A,0 reviews,"Units 1503-6, 15th Floor, 88 Container Port Rd, Kwai Chung, New Territories, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear 3 Wells Watch Industries Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 3 Wells Watch Industries Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Greenland Watch Ltd.,+852 2243 3325,http://www.greenlandwatch.com/,sales@greenlandwatch.com,2.6,7 reviews,"Hong Kong, Kowloon, 6F Floor, Block B, Eldex Industrial Building 21 Ma Tau Wai Road Hung Hom, Kowloon",77,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Greenland Watch Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Greenland Watch Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Montrichard Group,+852 2758 1238,https://www.montrichardwatch.com/,uscontact@montrichardwatch.com,3,2 reviews,"Rm 7191-93, 7/F, 1-15 Kwai Fung Cres, Kwai Chung, New Territories, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Montrichard Group Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Montrichard Group grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,EONIQ Custom Watch & Watchmaking Workshops,+852 3755 4898,http://eoniq.hk/,contact@eoniq.co,4,75 reviews,"H202, 2/F, Block B, PMQ, 35 Aberdeen St, Central, Hong Kong Island, Hong Kong",92,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear EONIQ Custom Watch & Watchmaking Workshops Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help EONIQ Custom Watch & Watchmaking Workshops grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Zeitmanufaktur by Ocean to Ocean Ltd.,No Phone Number,http://www.zeitmanufaktur.net/,foryou@zeitmanufaktur.biz,3,2 reviews,"22/F., No, 3 Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",65,⭐ Medium Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear Zeitmanufaktur by Ocean to Ocean Ltd. Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Zeitmanufaktur by Ocean to Ocean Ltd. grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,卓越時(香港)實業有限公司,+86 132 2642 7757,https://www.tophillwatch.com/,service@tp-tophill.com.cn,5,2 reviews,"Hong Kong, Hong Kong Island, Wan Chai, Hennessy Rd, 253號, 2, 8/F, Easey Commercial Building, FLAT/RM 801",90,🔥 High Priority,New,No,2026-08-25 09:47:18,"Subject: Grow Your Business with lightfantastic.tv

Dear 卓越時(香港)實業有限公司 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 卓越時(香港)實業有限公司 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
