No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Muso HK Studio - music/grand piano room rental,+852 9055 6833,https://shorturl.at/xCNBC,flags@2x.png,4.9,17 reviews,"2103, Keen Hung Commercial Building, 80 Queen's Rd E, Wan Chai, Hong Kong",92,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Brand's Presence in Hong Kong with lightfantastic.tv

Dear Muso HK Studio Team,

I came across your wonderful music and grand piano room rental service at Muso HK Studio (https://shorturl.at/xCNBC) and was impressed by your 4.9-star rating. It's clear that you're dedicated to providing an exceptional experience for your clients.

At lightfantastic.tv, we offer a unique opportunity for businesses like yours to reach a wider audience through out-of-home advertising in Hong Kong. Our network of billboards allows you to put your brand on the streets of Hong Kong, increasing brand visibility and driving engagement with potential customers.

By partnering with lightfantastic.tv, you can reserve a full season of advertising, saving against booking individual windows. This strategic approach ensures consistent brand exposure and helps you stay top-of-mind for your target audience.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th: HK$120,000 per window. This is a limited-time opportunity to elevate your brand's presence in Hong Kong without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to contact us at hello@lightfantastic.tv. Our team would be delighted to discuss how we can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong",
2,The Aftermath,No Phone Number,http://theaftermath-hk.club/,bfb679c754744c58a7374ee6e25cfc13@sentry.wixpress.com,4.6,298 reviews,"Lower G/F, Sunny Building, 57-59 Wyndham St, Central, Hong Kong",90,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Amplify Your Brand with Lightfantastic.tv

Dear The Aftermath Team,

I came across your impressive 4.6 rating on http://theaftermath-hk.club/ and was impressed by your commitment to excellence. As a sales representative from lightfantastic.tv, I'd like to introduce you to our innovative out-of-home advertising platform that can help you reach a wider audience in Hong Kong.

Our digital displays are strategically located across the city, providing a unique opportunity to put your brand on the streets of Hong Kong. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. Many businesses like yours have already achieved remarkable results with our platform.

To make it even more compelling, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. For a limited time, you can reserve a window for just HK$120,000.

If you're interested in learning more about how lightfantastic.tv can help The Aftermath stand out in the competitive Hong Kong market, I invite you to reach out to us at hello@lightfantastic.tv. Our team would be happy to discuss a customized solution that meets your business goals.

Looking forward to hearing from you.

Best regards,

May Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
3,Home Sweet Home Ukulele HK,+852 6482 2669,https://www.homesweethomehk.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.9,361 reviews,"10樓1008室, 5 Sai Yeung Choi St S, Mong Kok, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Brand on the Streets of Hong Kong

Dear Home Sweet Home Ukulele HK Team,

I came across your business and was impressed by your 4.9-star rating on https://www.homesweethomehk.com/. Your dedication to providing exceptional ukulele lessons and services is truly commendable.

At lightfantastic.tv, we're dedicated to helping businesses like yours reach a wider audience through our innovative out-of-home advertising solutions. Our digital billboards are strategically placed in high-traffic areas across Hong Kong, providing unparalleled visibility for your brand. By partnering with us, you can increase brand awareness, drive foot traffic to your store, and ultimately boost sales.

As a special offer for Singles' Day (5-11 Nov 2026), we're offering an exclusive deal: HK$120,000 per window, a significant discount from our regular rates. This is a fantastic opportunity to reserve a prime spot for your brand and capitalize on the festive season.

If you're interested in learning more about how lightfantastic.tv can help Home Sweet Home Ukulele HK thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how our solutions can meet your business goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
4,Hong Kong Pop Music Channel,No Phone Number,No Website,No Website,4.8,25 reviews,"Hover Industrial Building, 26號 Kwai Cheong Rd, Kwai Chung, Hong Kong",49,⭐ Medium Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Reach in Hong Kong with lightfantastic.tv

Dear Hong Kong Pop Music Channel Team,

I came across your business and was impressed with the 4.8-star rating you've earned among music enthusiasts in Hong Kong. As a leading out-of-home advertising platform, lightfantastic.tv has been helping businesses like yours reach their target audience effectively.

Our unique network of digital displays offers unparalleled visibility in the heart of Hong Kong. By partnering with us, you can reserve the full peak season and save against booking each window on its own. Imagine being able to promote your brand to millions of potential fans across the city without breaking the bank.

As we approach Singles' Day, we're excited to offer a special promotion just for you: book any of our windows from November 5th to 11th and enjoy an exclusive rate of HK$120,000 per window. This is a fantastic opportunity to amplify your brand's presence during one of the busiest shopping periods of the year.

If you're interested in learning more about how lightfantastic.tv can help take your brand to the next level, I'd be happy to schedule a call. Simply reply to this email or reach out to us at hello@lightfantastic.tv.

Looking forward to connecting with you soon.

Best regards,

Evelyn Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong - Put your brand on the streets of Hong Kong.",
5,Hong Kong Music Center,No Phone Number,http://hkmusiccenter.com/,hkmusiccenter@gmail.com,5,40 reviews,N/A,79,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Amplify Your Brand's Reach in the Heart of Hong Kong

Dear Hong Kong Music Center Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. We've been keeping an eye on your success at Hong Kong Music Center, and we're excited to learn more about how we can help you take your brand to the next level.

As you know, Hong Kong's vibrant streets are the perfect canvas to showcase your brand's personality and values. With lightfantastic.tv, you can reserve up to four high-traffic windows for an unbeatable price of HK$400,000, securing your peak season advertising needs and saving you money compared to booking each window individually.

This Singles' Day, we're offering an exclusive promotion that you won't want to miss: from November 5th to 11th, you can secure a stunning window for just HK$120,000. This is a fantastic opportunity to reach a massive audience and drive engagement with your target market.

If you're interested in learning more about how lightfantastic.tv can help you amplify your brand's reach in the heart of Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and discuss how our platform can support your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
6,Hong Kong Strings Limited,+852 2529 2616,http://hongkongstrings.com/,info@hongkongstrings.com,4.6,33 reviews,"12th Floor, Siu Ying Commercial Building, 151-155 Queen's Road Central, Central, Hong Kong",94,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Hong Kong Strings Limited Team,

I came across your exceptional music school, http://hongkongstrings.com/, and was impressed by your 4.6-star rating - a testament to your dedication to providing top-notch music education to the community. As a business like yours, you understand the importance of creating a lasting impression and reaching new audiences.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong. Our network of 4 strategically located digital screens can help you elevate your brand awareness and drive engagement with your target audience. By reserving our peak season slots, you can save against booking individual windows, making it an incredibly cost-effective solution for businesses like yours.

To seize the opportunity, we're offering an exclusive promotion during Singles' Day (5-11 Nov 2026): book any of our 4 windows for just HK$120,000 each. This is a rare chance to make a significant impact on Hong Kong's streets and reach a vast, engaged audience.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss your requirements and provide a personalized quote.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong",
7,Tom Lee Music 通利琴行及音樂藝術中心 灣仔 (鋼琴 鍵琴 結他 管弦樂 HIFI 琴書 大型樂器售賣店),+852 2519 0238,http://www.tomleemusic.com.hk/,music@tomleemusic.com,4.1,197 reviews,"City Centre Building, 144-149 Gloucester Rd, Wan Chai, Hong Kong",95,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Boost Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Tom Lee Music 通利琴行及音樂藝術中心 灣仔 (鋼琴 鍵琴 結他 管弦樂 HIFI 琴書 大型樂器售賣店) Team,

I came across your business, Tom Lee Music, and was impressed by your 4.1-star rating and wide selection of musical instruments. As a sales representative for lightfantastic.tv, I'd like to introduce you to an innovative out-of-home advertising solution that can help take your brand to the next level.

Our light-emitting advertisements can captivate the attention of over 2 million daily commuters in Hong Kong, increasing brand awareness and driving foot traffic to your stores. By partnering with us, you'll be able to reserve the full peak season and save against booking each window on its own, making it a cost-effective solution for your marketing needs.

To celebrate Singles' Day, we're offering a special promotion: book any of our four windows for a limited time at just HK$120,000 per window (from 5 to 11 November 2026). This is a unique opportunity for your business to shine on the streets of Hong Kong and reach a vast audience.

If you're interested in learning more about how lightfantastic.tv can help your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your marketing",
8,BO Music - Blissful Oasis Music Hong Kong,+852 9635 8042,https://facebook.com/BOmusic.hk/,Email Not Found,5,18 reviews,"Hong Kong, Cheung Sha Wan, Castle Peak Rd, 76號",77,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Unlock Peak Season Reach with lightfantastic.tv

Dear BO Music - Blissful Oasis Music Hong Kong Team,

I came across your Facebook page (https://facebook.com/BOmusic.hk/) and noticed your excellent 5-star rating. As a business owner who values reaching new audiences, I wanted to introduce you to lightfantastic.tv - a unique out-of-home advertising platform that puts your brand on the streets of Hong Kong.

Our network of four prime windows allows you to reserve the full peak season, ensuring maximum visibility for your brand. This strategic approach not only saves you money but also helps you connect with a larger, targeted audience. We've helped numerous businesses like yours amplify their reach and drive engagement.

To celebrate Singles' Day, we're offering a special promotion: book any of our prime windows from November 5th to 11th for just HK$120,000. This is an exceptional opportunity to boost your brand's visibility during one of the busiest shopping periods in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss how we can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
9,ICC Light & Music Show,No Phone Number,http://www.icclightshow.com.hk/,Email Not Found,4,177 reviews,"West Kowloon, Hong Kong",70,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Brand with Outdoor Advertising in Hong Kong

Dear ICC Light & Music Show Team,

I hope this email finds you well. As a fan of your spectacular light shows, I was impressed by the creativity and energy you bring to the ICC building every year. As a sales representative from lightfantastic.tv, I'd like to introduce our innovative outdoor advertising solution that can amplify your brand's visibility in Hong Kong.

At lightfantastic.tv, we understand the importance of reaching a wider audience and creating memorable experiences. Our unique platform allows you to reserve all four windows on our digital screens for a fixed fee of HK$400,000, ensuring maximum visibility and impact for your brand. This comprehensive solution is perfect for businesses like yours that aim to make a lasting impression on the city's streets.

To support your marketing efforts, we're excited to offer a special promotion during Singles' Day (5-11 Nov 2026). For a limited time, you can book each window on our digital screens for just HK$120,000. This is an unbeatable opportunity to elevate your brand's presence in Hong Kong and reach a massive audience.

If you're interested in exploring how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your specific needs and create a customized solution that meets your goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out",
10,The Iron Fairies Hong Kong,+852 6202 0000,https://www.theironfairies.com/,ashley.sutton@theironfairies.com,4.5,2203 reviews,"LG, 1 Hollywood Rd, Central, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Brand in Hong Kong's Bustling Streets

Hi The Iron Fairies Hong Kong Team,

I came across your enchanting bar and restaurant in Hong Kong and was impressed by your 4.5-star rating. As a brand with a strong presence in the city, I believe you're always looking for innovative ways to reach your target audience.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand right in front of potential customers. Imagine having your message displayed on four large screens across the city, creating an immersive experience for passersby. Our screens are strategically located to maximize visibility and engagement.

By partnering with us, you can increase brand awareness, drive foot traffic, and stay ahead of the competition. Our flexible pricing model allows you to reserve the full peak season and save against booking each window on its own - a great value for any business looking to make a lasting impact.

To make it even more appealing, we're offering a special promotion this Singles' Day (5-11 Nov 2026) - just HK$120,000 per window. This is an unbeatable opportunity to reach a large audience and make a memorable impression.

If you're interested in learning more about how lightfantastic.tv can elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to discuss your advertising goals and create a customized plan that suits your needs.

Best regards,

Emily Wong",
11,宀 Club,+852 5329 9672,https://www.mihn.hk/,info@mihn.hk,4.6,124 reviews,"4F, 279-281 Des Voeux Rd Central, Sheung Wan, Hong Kong",100,🔥 High Priority,New,No,2026-08-13 01:27:05,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear 宀 Club Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I've been following your impressive growth and success at 宀 Club (https://www.mihn.hk/). With a 4.6-star rating, you've established a strong reputation in the market, and I'm excited to introduce our out-of-home advertising solutions that can help take your brand to the next level.

At lightfantastic.tv, we offer a unique opportunity to showcase your brand on the streets of Hong Kong, reaching a vast and engaged audience. Our premium windows are strategically located in high-traffic areas, providing maximum visibility and brand exposure. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales.

We've designed our solution to be flexible and cost-effective, allowing you to reserve our windows for the full peak season and save against booking each window on its own. And, to make it even more compelling, we're offering a special promotion for Singles' Day (5-11 Nov 2026): HK$120,000 per window.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and explore how our solution can benefit your business.

Best regards,

Emily",
