No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Sticky Rice Cafe,(865) 249-6273,http://www.stickyriceknox.com/,1689329078444118ba5ee5234e87bd81@sentry.wixpress.com,4.7,2036 reviews,"100 Jack Dance St, Knoxville, TN 37919",100,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Elevate Your Marketing Efforts with Lightfantastic.tv

Dear Sticky Rice Cafe Team,

I hope this email finds you well. I came across your outstanding cafe, Sticky Rice Knox, and was impressed by your 4.7-star rating on your website. I'd love to discuss how we can help you reach an even wider audience in Hong Kong.

At lightfantastic.tv, we specialize in out-of-home advertising, offering a unique opportunity to place your brand on the streets of Hong Kong. Our network of large-format digital screens allows businesses like yours to captivate potential customers and drive sales.

By partnering with us, you can reserve an entire season and save against booking individual windows. This strategic move not only ensures maximum visibility but also helps you stay top-of-mind for your target audience. Our expert team will work closely with you to tailor a plan that meets your marketing goals.

As a special offer for Singles' Day, from November 5th to 11th, we're offering an unbeatable deal of HK$120,000 per window. This is an excellent opportunity to amplify your brand's presence and create a lasting impression on Hong Kong's streets.

If you're interested in learning more about this exciting offer or would like to discuss how lightfantastic.tv can benefit Sticky Rice Cafe, please don't hesitate to reply to this email at hello@lightfantastic.tv.

Looking forward to hearing from you and exploring the possibilities together.

Best regards,

Emily Wong
Sales"
2,Angry Dumplings Tea,(760) 899-4121,https://www.angrydumplingtn.com/,Email Not Found,4.9,1068 reviews,"1119 Sevier Ave, Knoxville, TN 37920",85,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Angry Dumplings Tea Team,

I came across your restaurant and was impressed with your 4.9-star rating on Angry Dumplings Tea's website. It's clear that you've built a loyal customer base in Hong Kong. To further amplify your brand presence and reach a wider audience, I'd like to introduce you to lightfantastic.tv, the premier out-of-home advertising platform in Hong Kong.

Our large-scale digital displays, strategically located across the city, offer an unparalleled opportunity for businesses like yours to engage with potential customers. By partnering with us, you can create awareness, drive foot traffic, and increase sales. Our platform allows you to target specific demographics and locations, ensuring that your message reaches the right people at the right time.

To give you an edge during the peak shopping season, we're offering an exclusive promotion for Singles' Day (5-11 Nov 2026). Book one or all four of our windows for only HK$120,000 per window. This is a limited-time opportunity to reserve the best visibility in the city and make a lasting impression on your target audience.

If you're interested in exploring how lightfantastic.tv can help Angry Dumplings Tea take your brand to the next level, I'd love to schedule a call to discuss further. Please reply to this email or contact us at hello@lightfantastic.tv.

Best regards,

Ellen Wong
Sales Representative, lightfant"
3,Stir Fry Cafe West Hills,(865) 588-2064,http://www.stirfrycafeknoxville.com/,e081c35a018348d18e09ed427bf39b65@o462166.ingest.sentry.io,4.4,794 reviews,"7240 Kingston Pike #128, Knoxville, TN 37919",95,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Put Your Brand on the Streets of Hong Kong with lightfantastic.tv

Dear Stir Fry Cafe West Hills Team,

I came across your excellent restaurant in West Hills and noticed your great 4.4-star rating on your website. It's clear that you're doing something right, and that's why I wanted to reach out to you with a unique opportunity to take your brand to the next level.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong, helping businesses like yours increase brand awareness and drive foot traffic. Our innovative displays are strategically placed in prime locations around the city, making it the perfect platform to showcase your brand's story.

As a valued business in the community, we'd like to offer you an exclusive deal to reserve our displays during the peak season. Normally, taking all four windows would cost HK$400,000. However, for a limited time, we're offering a special promotion just for Singles' Day (5-11 Nov 2026) - HK$120,000 per window. This is a fantastic opportunity to save against booking each window on its own.

Don't miss out on this chance to put your brand on the streets of Hong Kong. If you'd like to learn more about this offer or schedule a meeting to discuss further, please reply to this email at hello@lightfantastic.tv.

Looking forward to hearing from you!

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
HK's leader"
4,Asia Cafe - Callahan Drive,(865) 688-8888,https://asiacafe.org/northknoxville?utm_source=google,Website Unreachable,4.3,2926 reviews,"1708 Callahan Dr, Knoxville, TN 37912",80,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Put Your Brand on the Streets of Hong Kong with lightfantastic.tv

Dear Asia Cafe - Callahan Drive Team,

I came across your excellent 4.3-star rated café on Google and was impressed with the warm atmosphere you've created for your customers. As a local business owner, you understand the importance of being visible and engaging with your community. That's where lightfantastic.tv comes in - we're a leading out-of-home advertising platform in Hong Kong, helping businesses like yours reach a wider audience and drive real results.

Our platform offers a unique opportunity to place your brand on the streets of Hong Kong, where it matters most. We've taken the hassle out of booking individual windows, allowing you to reserve all four for a fixed price of HK$400,000. This not only saves you time but also gives you maximum visibility and impact.

As we approach the peak season, now is the perfect time to take advantage of our exclusive offer for Singles' Day (5 to 11 Nov 2026). For a limited time, you can book each window for just HK$120,000, making it an unbeatable value. Don't miss out on this opportunity to amplify your brand's presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how we can help you achieve your marketing goals"
5,Ichiban Asian Cuisine,(865) 690-7999,https://www.ichibantn.com/,Email Not Found,4.4,306 reviews,"7507 S Northshore Dr, Knoxville, TN 37919",80,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear Ichiban Asian Cuisine Team,

I came across your exceptional 4.4-star rated restaurant, and I must say, your commitment to quality is truly impressive. As a sales representative from lightfantastic.tv, I'd like to introduce you to a unique opportunity to reach your target audience in the heart of Hong Kong.

Our out-of-home advertising platform offers an innovative way to put your brand on the streets of Hong Kong, creating engaging experiences that resonate with your customers. Imagine having your brand displayed on four premium windows for a fixed price of HK$400,000, or take advantage of our limited-time offer during Singles' Day (5-11 Nov 2026) for just HK$120,000 per window.

By partnering with lightfantastic.tv, you'll be able to:

- Increase brand visibility and reach a wider audience
- Enhance your marketing efforts and create lasting impressions
- Reserve the full peak season and save against booking each window individually

If you're interested in learning more about how lightfantastic.tv can help elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and explore how our platform can support your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong."
6,Asia Kitchen,(865) 670-9858,http://myasiakitchentn.com/,Email Not Found,4.3,1184 reviews,"8511 Kingston Pike, Knoxville, TN 37919",80,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Elevate Your Brand Presence in Hong Kong's Bustling Streets

Dear Asia Kitchen Team,

We've been fans of your 4.3-star rated restaurant on http://myasiakitchentn.com/, and we think you'll love our out-of-home advertising solution, lightfantastic.tv. Our unique approach lets you put your brand on the streets of Hong Kong, reaching a vast and engaged audience.

At lightfantastic.tv, we offer a flexible and cost-effective way to showcase your brand, whether you're promoting a new menu item or driving foot traffic to your restaurant. By reserving all four windows, you can save against booking each window individually, making it an even more attractive option for businesses like yours.

To help you make the most of the peak season, we're excited to offer an exclusive Singles' Day promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can get your brand seen by thousands of people in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help you boost brand awareness and drive sales, please don't hesitate to reach out. Simply reply to this email or contact us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
7,Asian Hibachi & sushi,(865) 539-9888,No Website,No Website,4.5,252 reviews,"7741 S Northshore Dr #101, Knoxville, TN 37919",65,⭐ Medium Priority,New,No,2026-07-10 10:25:25,"Subject: Put Your Brand on the Streets of Hong Kong with lightfantastic.tv

Dear Asian Hibachi & Sushi Team,

I came across your 4.5-star rated restaurant and was impressed by the delicious Hibachi and sushi experience you offer to your customers. As a sales representative from lightfantastic.tv, I'd like to introduce you to a unique out-of-home advertising opportunity that can help you reach an even wider audience in Hong Kong.

Our digital billboard network, lightfantastic.tv, allows you to reserve a full peak season, ensuring consistent brand visibility and maximum impact. By taking all four windows for a one-time payment of HK$400,000, you can save against booking each window individually.

As a Singles' Day special offer, we're offering a discounted rate of HK$120,000 per window from November 5th to 11th, 2026. Don't miss this chance to boost your brand awareness and drive traffic to your restaurant during this festive period.

If you're interested in exploring this opportunity further, please reply to this email at hello@lightfantastic.tv or give me a call. I'd be more than happy to discuss how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Tagline: Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong."
8,Happy Garden,(865) 637-8668,http://happygardenknoxville.com/,Email Not Found,3.8,763 reviews,"1510 N Cherry St, Knoxville, TN 37917",75,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Happy Garden Team,

I came across your website, http://happygardenknoxville.com/, and noticed that you've built a great reputation with a 3.8-star rating. As a business owner in the vibrant city of Hong Kong, you're likely always looking for innovative ways to reach and engage with your target audience.

That's where lightfantastic.tv comes in - a cutting-edge out-of-home advertising platform that allows you to put your brand on the streets of Hong Kong, where it truly matters. We offer a unique solution for businesses like yours to capture the attention of passersby, drive foot traffic, and ultimately boost sales.

Our platform is designed to help you maximize your brand's visibility and impact in the city. By partnering with us, you can:

- Reserve the full peak season and save against booking each window on its own
- Take all four windows for a competitive price of HK$400,000

To make it even more exciting, we're offering a special promotion for Singles' Day, from November 5th to 11th, 2026. For a limited time, you can reserve one of our windows for just HK$120,000.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reply to this email at hello@lightfantastic.tv. I'd be more than happy to"
9,MY KITCHEN TIBETAN HALAL RESTAURANT,+852 9845 9097,http://mykitchen.hk/,troythe82@yahoo.com,4.8,1099 reviews,"G/F, 2H Saigon St, Yau Ma Tei, Hong Kong",100,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear MY KITCHEN TIBETAN HALAL RESTAURANT Team,

I came across your excellent 4.8-star rated restaurant, http://mykitchen.hk/, and was impressed by the authentic Tibetan and halal cuisine you offer. As a local business owner, you understand the importance of reaching out to your target audience effectively. That's where lightfantastic.tv comes in - the ultimate out-of-home advertising solution for Hong Kong.

Our LED display network spans across four major windows in prime locations, offering unparalleled visibility and foot traffic. By partnering with us, MY KITCHEN TIBETAN HALAL RESTAURANT can increase brand awareness, drive sales, and establish a strong presence in the heart of Hong Kong. Our reserved peak season packages ensure you save against booking individual windows, making it an unbeatable value proposition.

We're excited to announce a special Singles' Day offer, exclusive to our valued partners from November 5th to 11th. For just HK$120,000 per window, you can reserve a spot and boost your brand's visibility during this festive period.

If you're interested in learning more about how lightfantastic.tv can elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and explore how we can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative"
10,One Dim Sum,No Phone Number,https://onedimsum.hk/?lang=en,Email Not Found,4.3,7266 reviews,"G/F, 209A Tung Choi St, Prince Edward, Hong Kong",70,🔥 High Priority,New,No,2026-07-10 10:25:25,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Hi One Dim Sum Team,

I came across your exceptional Dim Sum restaurant in Hong Kong and was impressed by your 4.3-star rating on Google. As a fan of your culinary delights, I wanted to reach out and introduce you to an innovative way to take your brand to the next level: lightfantastic.tv.

Our out-of-home advertising platform allows you to showcase your brand on four strategically located billboards across Hong Kong, reaching a massive audience. By reserving the full peak season, you can save against booking each window individually, making it an unbeatable offer for businesses like yours.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th: HK$120,000 per window. This is an incredible opportunity to elevate your brand's visibility and drive more foot traffic to your restaurant.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to schedule a call and explore how we can help you achieve your marketing goals.

Best regards,

Emily Wong
Lightfantastic.tv
Out-of-home advertising, Hong Kong 
Put your brand on the streets of Hong Kong."
