No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,South China Morning Post,+852 2565 2222,http://www.scmp.com/,xinlu.liang@scmp.com,4.2,13 reviews,"19/F, Tower 1, Times Square, 1 Matheson St, Causeway Bay, Hong Kong Island, Hong Kong",87,🔥 High Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear South China Morning Post Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help South China Morning Post grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Hong Kong Economic Times Holdings Limited,+852 2880 2888,https://www.hket.com/?utm_source=googlepanel&utm_medium=referral&utm_campaign=google,Email Not Found,4.3,24 reviews,"Kodak House Phase 2, 321 號 Java Rd, North Point, Hong Kong Island, Hong Kong",74,🔥 High Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Economic Times Holdings Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Economic Times Holdings Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Hong Kong Commercial Newspapers Building,+852 2564 0768,No Website,No Website,4.4,5 reviews,"332 Kwun Tong Rd, Kowloon, Hong Kong",52,⭐ Medium Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Commercial Newspapers Building Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Commercial Newspapers Building grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,香港財經時報,+852 3619 0271,https://www.businesstimes.com.hk/,Email Not Found,N/A,0 reviews,"Unit 01, 14/F, Lippo Sun Plaza, 28 Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear 香港財經時報 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 香港財經時報 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Hong Kong News-Expo,+852 2205 2233,https://www.hkne.org.hk/,info@hkne.org.hk,4.2,349 reviews,"2號 Bridges St, Central, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong News-Expo Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong News-Expo grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Today Publications Limited,+852 3105 0332,http://www.todaypublications.com.hk/,Email Not Found,5,2 reviews,"3 Hong Man St, Chai Wan, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear Today Publications Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Today Publications Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,國度復興報(香港),+852 9540 2777,No Website,No Website,N/A,0 reviews,"Hong Kong, Kowloon, Tsim Sha Tsui, Mody Rd, 67號, 半島中心, 3樓342室",40,⭐ Medium Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear 國度復興報(香港) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 國度復興報(香港) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,The Newspaper Society of Hong Kong,+852 2571 3102,http://www.nshk.org.hk/,Email Not Found,N/A,0 reviews,"Rm 904, 9/F King's Rd, North Point, Hong Kong Island, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear The Newspaper Society of Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Newspaper Society of Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,The Commercial Press Tsim Sha Tsui,+852 2904 1988,https://www.supretail.com.hk/,info@supretail.com.hk,4.1,1691 reviews,"Hong Kong, Kowloon, Nathan Rd, 83-97號, 華源大廈地下25號舖及1樓全層",95,🔥 High Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear The Commercial Press Tsim Sha Tsui Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Commercial Press Tsim Sha Tsui grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Newspaper Stand,No Phone Number,No Website,No Website,N/A,0 reviews,"New Henry House, Ice House St, Central, Hong Kong Island, Hong Kong",30,💡 Low Priority,New,No,2026-08-25 13:15:20,"Subject: Grow Your Business with lightfantastic.tv

Dear Newspaper Stand Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Newspaper Stand grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
