No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Wan Chai Computer Centre,+852 2834 7685,https://www.facebook.com/WanchaiComputerCentre/,Email Not Found,3.8,5290 reviews,"130 Hennessy Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Wan Chai Computer Centre,

I came across your business on Facebook and noticed your commitment to serving the community with top-notch computer services. As a local business owner, you understand the importance of reaching your target audience in the heart of Hong Kong.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our large-format displays allow you to capture the attention of millions of people, increasing brand awareness and driving foot traffic to your business.

By partnering with us, you'll be able to reserve our peak season slots and save against booking each display individually. But, for a limited time, we're offering an unbeatable Singles' Day deal from November 5th to 11th, 2026: just HK$120,000 per window.

Imagine the impact of having your brand shine in four prominent locations across Hong Kong for a fraction of the cost. It's an opportunity you won't want to miss! If you're interested in learning more or reserving your slots, please reply to this email at hello@lightfantastic.tv.

Best regards,

Rachel Lee
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on the streets of Hong Kong",
2,Golden Computer Centre,+852 6222 3792,https://www.gaminghk.com/,Email Not Found,3.9,1198 reviews,"Hong Kong, Sham Shui Po, Fuk Wa St, 146至152號, 1/F, 31號舖, Golden Computer Arcade",75,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject: Elevate Your Brand on Hong Kong's Streets

Dear Golden Computer Centre Team,

I came across your gaming store, GamingHK, and was impressed by your 3.9-star rating and extensive product range. As a representative from lightfantastic.tv, I'm excited to introduce you to a unique opportunity to amplify your brand's presence in Hong Kong.

Our digital signage platform offers four strategically located windows that can be reserved for a fixed fee of HK$400,000, allowing you to dominate the peak season without worrying about individual window bookings. However, I'd like to make you aware of a special offer that might interest you.

In celebration of Singles' Day, from November 5th to 11th, 2026, we're offering a limited-time discount of HK$120,000 per window, making it an ideal time to take your brand to the streets of Hong Kong. This out-of-home advertising solution will not only boost your visibility but also drive foot traffic to your store.

If you're interested in learning more about how lightfantastic.tv can help elevate your brand, I'd be more than happy to schedule a call to discuss further. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
3,Golden Computer Arcade,No Phone Number,https://gcamall.com.hk/,Email Not Found,4,15778 reviews,"146-152號, Fuk Wa St, Un Chau, Hong Kong",70,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject: Unlock Peak Season Visibility for Golden Computer Arcade

Dear Golden Computer Arcade Team,

I came across your website, gcamall.com.hk, and was impressed by the great products and services you offer to the tech-savvy community in Hong Kong. As a representative from lightfantastic.tv, I'd like to introduce you to our cutting-edge out-of-home advertising platform that can help amplify your brand's reach and visibility.

Our unique display network of 4 large-format windows in prime locations across Hong Kong can help attract and engage your target audience like never before. By partnering with lightfantastic.tv, you can take advantage of a reserved full peak season package, saving you money compared to booking each window individually for HK$400,000.

To kick-start our partnership, we're excited to offer an exclusive Singles' Day promotion from November 5th to 11th, 2026, with each window available for HK$120,000. This limited-time opportunity is a chance to elevate your brand's presence and drive sales during one of the busiest shopping periods of the year.

If you're interested in learning more about this special offer and how lightfantastic.tv can help Golden Computer Arcade reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on the streets of Hong Kong",
4,Jumbo Computer Supplies,+852 2782 6482,http://www.jumbo-computer.com/,sales@jumbo-computer.com,4.1,375 reviews,"2505室, 39號 Sai Yee St, Mong Kok, Hong Kong",95,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject Line: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Jumbo Computer Supplies Team,

I hope this email finds you well. As a sales representative at lightfantastic.tv, I've been following your success and growth at Jumbo Computer Supplies (http://www.jumbo-computer.com/), and I'm excited to introduce you to a unique opportunity to take your brand to the next level.

As a leading technology supplier, you understand the importance of being visible and top-of-mind in the market. That's where lightfantastic.tv comes in – we offer out-of-home advertising solutions that put your brand on the streets of Hong Kong, where it matters most. Imagine having your message seen by a large audience, resonating with potential customers, and driving sales.

By partnering with lightfantastic.tv, you can achieve:

- Increased brand awareness and recognition
- Improved customer engagement and loyalty
- Enhanced credibility and reputation

To make it even more enticing, we're offering an exclusive promotion for Singles' Day (5-11 Nov 2026). For a limited time, you can reserve a window for just HK$120,000. This is a rare opportunity to save against booking each window on its own, and secure your spot during the peak season.

If you're interested in learning more about how lightfantastic.tv can benefit Jumbo Computer Supplies, please don't hesitate to reach out. Simply reply to this email or contact us at hello",
5,298 Computer zone 298 電腦特區,+852 2591 4187,No Website,No Website,3.6,1450 reviews,"298 Hennessy Rd, Wan Chai, Hong Kong",55,⭐ Medium Priority,New,No,2026-07-15 17:37:33,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear 298 Computer Zone Team,

I came across your business and noticed your commitment to providing top-notch computer services in Hong Kong. As a fellow local business, I'd like to introduce you to lightfantastic.tv - a cutting-edge out-of-home advertising platform that helps brands like yours reach a wider audience.

Our platform offers four prime windows in high-traffic areas, allowing you to reserve the full peak season and save compared to booking each window individually. With lightfantastic.tv, you can put your brand on the streets of Hong Kong, increasing brand awareness and driving customer engagement.

This Singles' Day, from November 5th to 11th, 2026, we're offering a special promotion - HK$120,000 per window. This is a unique opportunity for your business to shine in front of a massive audience.

If you're interested in exploring how lightfantastic.tv can help 298 Computer Zone reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss further and provide a personalized proposal tailored to your business needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
6,Capital Computer Centre Limited,+852 2361 3268,http://www.cap.com.hk/,info@cap.com.hk,3.7,237 reviews,"地庫49,51,53,55號舖, 黃金電腦商場, 146號 Fuk Wa St, Sham Shui Po, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear Capital Computer Centre Limited Team,

I came across your business, Capital Computer Centre Limited (http://www.cap.com.hk/), and was impressed by your 3.7-star rating and commitment to serving the community. As a professional in the out-of-home advertising space, I believe our platform, lightfantastic.tv, can help take your brand to the next level.

Lightfantastic.tv offers a unique opportunity to reach a wide audience in Hong Kong through our network of digital screens. By partnering with us, you can increase brand visibility, engage with your target audience, and drive business growth. Our platform is particularly effective for businesses like yours, which rely on building strong connections with their customers.

To make the most of the upcoming holiday season, we're excited to offer a special promotion for Singles' Day, from November 5th to 11th, 2026. For just HK$120,000 per window, you can reserve a spot on our screens and reach a massive audience. This is a one-time opportunity to save against booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss this further and explore how our platform can meet your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
7,Mongkok Computer Centre,+852 2781 0706,http://www.mongkokcc.com/,Email Not Found,3.7,822 reviews,"8號 Nelson St, Mong Kok, Hong Kong",75,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Mongkok Computer Centre Team,

I came across your business at mongkokcc.com and was impressed with the excellent services you offer to the community. As a business owner in the heart of Hong Kong, I'm sure you understand the importance of reaching your target audience effectively.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative approach allows you to capture the attention of passersby, driving foot traffic and increasing brand awareness. By partnering with us, you can take advantage of our extensive network of digital screens strategically located throughout the city.

Imagine having a presence in the midst of the bustling streets of Mong Kok, reaching thousands of potential customers every day. Our platform provides a unique opportunity for businesses like yours to elevate their brand and stand out from the competition.

To celebrate Singles' Day, we're offering a limited-time promotion: HK$120,000 per window from November 5th to 11th, 2026. This is a rare chance to secure a high-impact advertising slot at an unbeatable price.

If you're interested in learning more about this opportunity or would like to reserve a spot, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong",
8,翼電腦 Wings Computer,+852 9856 4188,http://www.wingscomputer.com.hk/,Email Not Found,4.9,599 reviews,"號地下, 230 Hai Tan St, Sham Shui Po, Hong Kong",85,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject Line: Elevate Your Brand in the Heart of Hong Kong

Dear 翼電腦 Wings Computer Team,

I came across your exceptional 4.9-star rating on http://www.wingscomputer.com.hk/ and was impressed by your commitment to delivering top-notch services to your clients. As a fellow Hong Kong-based company, we believe that our out-of-home advertising solution, lightfantastic.tv, can help you amplify your brand presence and reach a wider audience.

Lightfantastic.tv offers a unique opportunity to showcase your brand on four prominent windows in the heart of Hong Kong. By reserving the full peak season, you can save against booking each window individually and make a lasting impact on potential customers.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, where you can take one of our windows for an unbeatable price of HK$120,000. This is a limited-time opportunity to elevate your brand and drive business growth.

If you're interested in learning more about how lightfantastic.tv can benefit your business, I'd be delighted to discuss further. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Best regards,

Emily Woo
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
9,Future Technology Computer LTD ​未來科技電腦有限公司 BUYMORE.HK,+852 2117 3773,http://buymore.hk/,Email Not Found,3.8,160 reviews,"Shop 156-159 298, Computer Zone, 298 Hennessy Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear Future Technology Computer LTD Team,

I came across your website, BUYMORE.HK, and was impressed by your offerings in the tech industry. As a marketing professional, I understand the importance of effective out-of-home advertising to reach your target audience.

At lightfantastic.tv, we specialize in bringing your brand to life on the streets of Hong Kong. By utilizing our platform, you can maximize your brand visibility, increase foot traffic, and drive sales. Our unique approach allows you to reserve all four windows for a discounted rate of HK$400,000, ensuring you're always top-of-mind for your customers.

To further amplify your brand's impact, we're excited to offer an exclusive promotion for Singles' Day on November 5th to 11th. For this limited period, you can secure one of our prime windows for just HK$120,000. This is a rare opportunity to shine on the busiest streets of Hong Kong and capitalize on the festive spirit.

If you're interested in learning more about how lightfantastic.tv can enhance your marketing strategy, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss the possibilities and explore how we can help take your brand to the next level.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
10,Centralfield Computer Ltd.,+852 2387 0273,https://centralfield.com/,sales@centralfield.com,3.8,824 reviews,"1/F, Golden Computer Center, 高登電腦中心1樓10-16A號舖 Shop 10 - 16A, 148-152 Fuk Wa St, Sham Shui Po, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 17:37:33,"Subject Line: Unlock the Full Potential of Your Brand in Hong Kong

Dear Centralfield Computer Ltd. Team,

I came across your business, Centralfield Computer Ltd., while researching companies in the tech industry. I was impressed by your 3.8-star rating on your website and the comprehensive services you offer to your customers.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our unique digital screens provide an engaging and impactful way to reach your target audience, increasing brand awareness and driving foot traffic to your business. With our extensive network of windows, you can reserve the full peak season and save against booking each window on its own.

To give you an opportunity to elevate your brand presence, we're excited to offer a special promotion for Singles' Day this year (5 to 11 Nov 2026). For a limited time, you can reserve one of our windows for just HK$120,000.

If this is something you're interested in, I'd love to discuss the details further and provide you with a personalized quote. Please don't hesitate to reach out to me directly at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
