No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Today Publications Limited,+852 3105 0332,http://www.todaypublications.com.hk/,Email Not Found,5,2 reviews,"3 Hong Man St, Chai Wan, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Today Publications Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Today Publications Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Universal Publications Limited,+852 2786 3004,http://www.up.com.hk/,Email Not Found,4.1,7 reviews,"Hong Kong, 香港九龍長沙灣青山道505號通源工業大廈10字樓B室",72,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Universal Publications Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Universal Publications Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Hong Kong Map Publications Centre,+852 2231 3187,No Website,No Website,1.5,2 reviews,"North Point Government Offices, 23/F, Hong Kong",40,⭐ Medium Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Map Publications Centre Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Map Publications Centre grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,The Chinese University of Hong Kong Press,+852 3943 9800,http://cup.cuhk.edu.hk/,cup-bus@cuhk.edu.hk,4.3,15 reviews,"The Chinese University of Hong Kong, Lady Ho Tung Hall, Clinic Rd, Ma Liu Shui, New Territories, Hong Kong",87,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear The Chinese University of Hong Kong Press Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Chinese University of Hong Kong Press grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Hong Kong University Press,+852 3917 7801,https://hkupress.hku.hk/,hkupress@hku.hk,3,1 reviews,"大學逸夫苑, 田灣, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong University Press Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong University Press grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Hong Kong Jewellery Magazine Limited,+852 2334 4311,http://www.hkjm.com.hk/,Email Not Found,5,2 reviews,"十二樓A座, 凱旋工商中心第一期, 41號 Man Yue St, Hung Hom, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Jewellery Magazine Limited Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Jewellery Magazine Limited grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Hong Kong Reader,+852 2395 0031,http://www.hkreaders.com/,info@hkreaders.com,4.7,347 reviews,"7F, 68號 Sai Yeung Choi St S, Mong Kok, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Reader Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Reader grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,HKU Press Bookshop,+852 3917 7801,https://hkupress.hku.hk/,hkupress@hku.hk,4.1,23 reviews,"Run Run Shaw Heritage House, Centennial Campus University of Hong Kong, Pok Fu Lam Rd, Hong Kong Island, Hong Kong",89,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear HKU Press Bookshop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HKU Press Bookshop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,V.Magazine,+852 3428 2388,http://www.vmagazine.hk/,Email Not Found,3.5,2 reviews,"Hong Kong, Kowloon, Mong Kok, Canton Rd, 1155號, 18 樓 ，1802",65,⭐ Medium Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear V.Magazine Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help V.Magazine grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Lok Man Rare Books,+852 2868 1056,http://www.lokmanbooks.com/,Email Not Found,4.7,20 reviews,"5th Floor, Pedder Building, 12 Pedder Street Pedder Arcade, Central, Hong Kong Island, Hong Kong",79,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Lok Man Rare Books Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Lok Man Rare Books grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
11,Apa Publications (HK) Ltd,+852 2357 4883,No Website,No Website,N/A,0 reviews,"Kwun Tong, Kowloon, Hong Kong",40,⭐ Medium Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Apa Publications (HK) Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Apa Publications (HK) Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
12,eslite bookstore Causeway Bay,+852 3419 6789,No Website,No Website,4.4,3103 reviews,"8 樓, 9 樓, 10 樓, 500號 Hennessy Rd, Causeway Bay, Hong Kong Island, Hong Kong",60,⭐ Medium Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear eslite bookstore Causeway Bay Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help eslite bookstore Causeway Bay grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
13,Where HK Publishing Ltd,No Phone Number,No Website,No Website,N/A,0 reviews,"Hollywood Centre, Hollywood Rd, Tai Ping Shan, Hong Kong Island, Hong Kong",30,💡 Low Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Where HK Publishing Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Where HK Publishing Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
14,Joint Publishing - Kai Tin,+852 2877 6266,http://www.jointpublishing.com/,sales@jointpublishing.com,3.7,246 reviews,"2樓253-255舗, MOKO新世紀廣場, Mong Kok, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Joint Publishing - Kai Tin Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Joint Publishing - Kai Tin grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
15,佛哲書舍 (太子店),+852 2391 8143,http://www.buddhist-bookshop.com/,Email Not Found,4.5,59 reviews,"Hong Kong, Kowloon, Mong Kok, Sai Yee St, 185號, 號地下",82,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear 佛哲書舍 (太子店) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 佛哲書舍 (太子店) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
16,一拳書館 Book Punch,No Phone Number,https://linktr.ee/bookpunchhk,bookpunchhk@gmail.com,4.7,213 reviews,"3/F, Tai Nan Commercial Building, 169-171 Tai Nan St, Tong Mi, Kowloon, Hong Kong",90,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear 一拳書館 Book Punch Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 一拳書館 Book Punch grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
17,Hong Kong Book & Magazine Trade Association Ltd,+852 2528 3671,No Website,No Website,5,1 reviews,"13/F, 109-115 Queen's Rd E, Wan Chai, Hong Kong Island, Hong Kong",55,⭐ Medium Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Book & Magazine Trade Association Ltd Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Book & Magazine Trade Association Ltd grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
18,漫畫批發市場,+852 2748 6523,https://www.facebook.com/profile.php?id=100057413170006,Email Not Found,5,3 reviews,"39-41 Beech St, Tai Kok Tsui, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear 漫畫批發市場 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help 漫畫批發市場 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
19,Logos Book House,+852 2396 3528,https://www.logos.com.hk/,cs@logos.com.hk,4.6,744 reviews,"Hong Kong, Kowloon, Mong Kok, Bute St, 56號, 基督教大樓10樓",100,🔥 High Priority,New,No,2026-08-26 08:31:45,"Subject: Grow Your Business with lightfantastic.tv

Dear Logos Book House Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Logos Book House grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
