No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Hong Kong Motor City,+852 2768 1011,http://www.motorcity.hk/,info@bentleyhk.com.hk,4.2,15 reviews,"Dah Chong Hong Group Building, 20號 Kai Cheung Rd, Kowloon Bay, Hong Kong",87,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject Line: Unlock Peak Season Exposure for Hong Kong Motor City

Dear Hong Kong Motor City Team,

I came across your website and was impressed with the high rating and engaging content on motorcity.hk. As a representative from lightfantastic.tv, I'd like to introduce our out-of-home advertising solution that can help you reach a wider audience and drive brand awareness in Hong Kong.

Our network of four strategically located windows offers the perfect opportunity for businesses like yours to reserve the full peak season and save against booking each window individually. By partnering with us, you'll be able to take all four windows for HK$400,000, making it an attractive option for businesses looking to make a significant impact.

This Singles' Day, we're offering an exclusive deal for our valued partners: book any of our four windows between November 5th and 11th for just HK$120,000 per window. This is a limited-time offer you won't want to miss!

If you're interested in learning more about how lightfantastic.tv can help Hong Kong Motor City achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be happy to discuss further and provide a personalized quote for your business.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
2,Carro - To Kwa Wan,+852 3001 6749,https://carro.co/hk,care@carro.co,4.9,1233 reviews,"163 Ma Tau Wai Rd, To Kwa Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Unlock Peak Season Advertising Opportunities in Hong Kong

Hi Carro - To Kwa Wan Team,

I came across your exceptional car rental services on https://carro.co/hk and noticed your impressive 4.9-star rating. As a business owner in Hong Kong, I'm sure you understand the importance of visibility and brand recognition in a competitive market.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative digital displays can be customized to fit your specific marketing goals and target audience. By partnering with us, you can effectively reach potential customers, increase brand awareness, and drive sales.

To help you make the most of the peak season, we're offering an exclusive promotion for Singles' Day (5-11 Nov 2026). Reserve any of our four windows for just HK$120,000 per window – a significant saving compared to booking each individually.

If you're interested in learning more about this limited-time offer or how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your advertising goals and create a customized plan that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong",
3,BuyCar.hk,No Phone Number,https://www.buycar.hk/?utm_source=local&utm_medium=organic&utm_campaign=my_google_business,service@buycar.hk,4.8,101 reviews,"Hong Kong, Cheung Sha Wan, Tai Nan W St, 1008號, 華匯廣場, 1502室",90,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject Line: Boost Visibility for BuyCar.hk in Hong Kong's Bustling Streets

Dear BuyCar.hk Team,

I hope this email finds you well. As a sales representative from lightfantastic.tv, I've been impressed by the excellent service you provide to car buyers in Hong Kong. Your 4.8-star rating on Google is a testament to your commitment to excellence.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand right where it matters – on the streets of Hong Kong. Our unique platform allows you to reach a massive audience, increasing brand awareness and driving business growth. By partnering with us, you can reserve all four windows for a fixed price of HK$400,000, saving you money compared to booking each window individually.

To make our offer even more enticing, we're excited to announce a special promotion for Singles' Day – a 7-day campaign from November 5th to 11th. For just HK$120,000 per window, you can amplify your brand's visibility and reach even more potential customers.

If you're interested in taking your marketing efforts to the next level, I'd love to schedule a call to discuss how lightfantastic.tv can help BuyCar.hk. Simply reply to this email at hello@lightfantastic.tv, and we'll be in touch soon.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on",
4,LIT MOTORS HK,+852 9839 2359,https://litmotorshk.com/,lit.motorshk@gmail.com,4.8,74 reviews,"69 Peking Road, Universal Commercial Building 8/F Unit 801-804, Tsim Sha Tsui, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Elevate Your Brand Visibility in Hong Kong with lightfantastic.tv

Dear LIT MOTORS HK Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. We help businesses like yours make a lasting impression on the streets of Hong Kong, where 7.5 million people pass through every day.

At lightfantastic.tv, we understand the importance of reaching a wider audience, especially in a competitive market like Hong Kong. Our unique digital screens, strategically placed in high-traffic areas, provide an unparalleled opportunity for businesses to increase brand awareness, drive foot traffic, and boost sales.

We believe our platform can help LIT MOTORS HK stand out from the competition and connect with a wider audience. With lightfantastic.tv, you can reserve the full peak season and save against booking each window on its own, making it an even more attractive option for your business.

To celebrate Singles' Day, we're offering a special promotion from 5 to 11 November 2026: HK$120,000 per window. This is a limited-time opportunity to elevate your brand visibility in Hong Kong without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your needs and provide a tailored solution.

Best regards,

Emily
Sales",
5,Vin's Motors Company LTD,+852 2571 5695,http://www.vinsmotors.com.hk/,nathan@vinsmotors.com.hk,4.8,95 reviews,"G/F, 42 Tin Hau Temple Rd, North Point, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong with lightfantastic.tv

Dear Vin's Motors Company LTD Team,

I came across your fantastic website (http://www.vinsmotors.com.hk/) and noticed that you're already making a strong impression online. As a business owner in Hong Kong, you know how essential it is to reach new customers and stay top of mind.

That's where lightfantastic.tv comes in - a unique out-of-home advertising platform that lets you put your brand on the streets of Hong Kong. Imagine having your message visible to millions of potential customers, creating an unforgettable brand experience that drives real results.

At lightfantastic.tv, we believe in the power of experiential marketing. Our platform allows you to reserve all four windows for a fixed price, giving you the flexibility to create a cohesive brand message across the city. This year, we're offering an exclusive Singles' Day deal: from November 5th to 11th, take any window for just HK$120,000.

Don't miss this opportunity to elevate your brand presence in Hong Kong. If you're interested in learning more about lightfantastic.tv, please reply to this email at hello@lightfantastic.tv or give us a call to discuss how we can help you achieve your marketing goals.

Best regards,

Emily Lee
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
6,Inchcape Used Car HK,+852 9030 9922,https://www.imusedcar.com.hk/tc,usedcar@inchcape.com.hk,5,3 reviews,"Centre Parc, 11 Sheung Yuet Rd, Kowloon Bay, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Inchcape Used Car HK Team,

I came across your exceptional website (https://www.imusedcar.com.hk/tc) and noticed that you've earned a 5-star rating, a testament to your dedication to customer satisfaction. As a leading player in the used car market in Hong Kong, we believe that our out-of-home advertising solutions can help amplify your brand's reach and impact.

At lightfantastic.tv, we offer an innovative and effective way to connect with your target audience through large-scale digital displays situated across Hong Kong's vibrant streets. Our platform enables you to strategically reserve and manage your ad space, making it easier to achieve your marketing goals.

This Singles' Day, we're offering an exclusive promotion for a limited time: book any of our four windows for HK$120,000 from November 5th to 11th. This is a fantastic opportunity to reserve the full peak season and save on individual bookings, all while putting your brand front and center in the midst of the city.

If you're interested in learning more about how lightfantastic.tv can help elevate your brand's visibility in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to potentially collaborating with you!

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong",
7,Lamborghini Wan Chai Showroom,+852 2900 6666,https://www.lamborghini.com/cn-en/%E7%BB%8F%E9%94%80%E5%95%86/lamborghini-%E5%85%B0%E5%8D%9A%E5%9F%BA%E5%B0%BC%E9%A6%99%E6%B8%AF,leo.wong@kingswaycars.com.hk,4.5,62 reviews,"1A Star St, Wan Chai, Hong Kong",97,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear Lamborghini Wan Chai Showroom Team,

I hope this email finds you well. As a representative from lightfantastic.tv, I've been following your exceptional service and reputation in the luxury automotive industry. Your 4.5-star rating on your website is a testament to your commitment to excellence.

At lightfantastic.tv, we specialize in out-of-home advertising, putting your brand on the streets of Hong Kong where it matters most. Our unique, reserved windows offer unparalleled visibility and reach, allowing you to connect with your target audience in a powerful and memorable way. By partnering with us, you can take your brand to new heights and stay ahead of the competition.

We'd love to help you make a lasting impact on the streets of Hong Kong. To encourage you to take the first step, we're offering a special promotion for Singles' Day (5-11 Nov 2026): just HK$120,000 per window. This is a limited-time opportunity to reserve your spot and make the most of the peak season.

If you're interested in learning more about how lightfantastic.tv can help you elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your goals and create a customized solution that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your",
8,C FOR CAR (HK) LIMITED,+852 9143 5369,No Website,No Website,4.8,16 reviews,"Hong Kong, Tsim Sha Tsui East, Science Museum Rd",57,⭐ Medium Priority,New,No,2026-07-14 14:25:17,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear C FOR CAR (HK) LIMITED Team,

I came across your impressive 4.8 rating and was impressed by your commitment to delivering exceptional services to your customers. As a sales representative from lightfantastic.tv, I'd like to introduce you to an innovative way to reach your target audience and take your brand to the next level.

Imagine having your brand's message displayed on all four windows of our digital billboards, strategically located in the heart of Hong Kong. Our platform, lightfantastic.tv, allows you to reserve the full peak season and save against booking each window on its own. This means you can create a lasting impression on your customers and stand out from the competition.

To make it even more enticing, we're offering a special promotion for our valued partners like you during Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can amplify your brand's visibility and reach a massive audience.

If you're interested in learning more about how lightfantastic.tv can help elevate your brand, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss the details and explore how we can work together to drive results for your business.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
9,DCH Certified Used Car,+852 2262 1118,https://www.dchucc.com/,icon-contact@3x.png,4.3,436 reviews,"Dah Chong Hong Group Building, 20號 Kai Cheung Rd, Kowloon Bay, Hong Kong",95,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Unlock Peak Season Advertising in Hong Kong with lightfantastic.tv

Hi DCH Certified Used Car Team,

I came across your business and was impressed by your 4.3-star rating on https://www.dchucc.com/. As a local business, I'm sure you understand the importance of reaching your target audience in the heart of Hong Kong.

Our out-of-home advertising platform, lightfantastic.tv, offers a unique opportunity to put your brand on the streets of Hong Kong, where it matters most. With our network of screens, you can reserve the full peak season and reach thousands of potential customers. Plus, booking all four windows at once saves you against individual bookings.

To make it even more enticing, we're offering a special deal for Singles' Day from November 5th to 11th. For just HK$120,000 per window, you can take advantage of this limited-time offer and boost your brand's visibility during one of the busiest shopping periods in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help DCH Certified Used Car reach new customers, I'd love to hear from you. Simply reply to this email or drop us a line at hello@lightfantastic.tv.

Looking forward to connecting with you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on the streets of Hong Kong",
10,Classic Insider | Hong Kong's Top Classic & Collector Car Broker,No Phone Number,https://www.classicinsider.com/,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,4.9,31 reviews,"Unit 1002, 10/F The L Plaza, 375 Queen's Road Central, Sheung Wan, Hong Kong",84,🔥 High Priority,New,No,2026-07-14 14:25:17,"Subject: Elevate Your Brand on Hong Kong's Streets

Dear Classic Insider Team,

As a leading classic and collector car broker in Hong Kong, your expertise is unmatched, with a 4.9 rating reflecting your dedication to excellence. I think you'll agree that showcasing your business to the right audience at the right time is crucial for continued growth.

At lightfantastic.tv, we specialize in out-of-home advertising solutions that put your brand where it matters most – on the streets of Hong Kong. Our network of eye-catching LED displays reaches millions of residents and tourists alike, offering unparalleled exposure and engagement opportunities for businesses like yours.

By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately, boost sales. Imagine your brand shining bright on our iconic displays, captivating the attention of potential customers and setting your business apart from the competition.

To celebrate Singles' Day (November 5th to 11th, 2026), we're offering an exclusive deal: HK$120,000 per window, an unbeatable value for this limited-time opportunity. Don't miss out on this chance to elevate your brand's presence in Hong Kong.

Ready to take your brand to the next level? Contact us at hello@lightfantastic.tv to reserve your spot and discuss how we can tailor our solutions to meet your unique marketing objectives.

Best regards,

Emily Chen
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of",
