No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,ONLY Beverages,+852 5285 0975,http://drinkonly.co/,hello@drinkonly.co,5,57 reviews,"22/F, 3 Lockhart Road, Lockhart Rd, Wan Chai, Hong Kong Island, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear ONLY Beverages Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ONLY Beverages grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Australia Dairy Company,+852 2730 1356,https://australia-dairy-company.shop/,placejoys.com@gmail.com,4,6329 reviews,"47號 Parkes St, Jordan, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear Australia Dairy Company Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Australia Dairy Company grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,NUTTEA,+852 5266 5341,https://www.nuttea.net/,-3@4x-192x192.png,3.5,57 reviews,"Hong Kong, Kowloon, Tsim Sha Tsui, Nathan Rd, 132號, 美麗華廣場1樓108A舖",87,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear NUTTEA Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help NUTTEA grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,Terrible Baby,+852 2710 1866,http://www.terriblebaby.com/,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,4.3,625 reviews,"4/F, Eaton HK, 380 Nathan Rd, Jordan, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear Terrible Baby Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Terrible Baby grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,HK Beverages & Spirits,+852 9518 0085,http://www.bevspirits.hk/,jura-@-single-malt-whisky-400x400.png,5,2 reviews,"5/Floor, Che Wah Industrial Building, 5B, 1-7 Kin Hong St, Kwai Chung, New Territories, Hong Kong",90,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear HK Beverages & Spirits Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help HK Beverages & Spirits grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,TAP: The Ale Project,+852 2468 2010,http://www.thealeproject.com/,Email Not Found,4.4,1038 reviews,"G/F, 19 Hak Po St, Mong Kok, Kowloon, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear TAP: The Ale Project Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TAP: The Ale Project grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,BOUND KOWLOON 界限佳坊,+852 3480 9132,http://www.boundkowloon.com/,info@boundkowloon.com,4.6,307 reviews,"G/F, 32 Boundary St, Sham Shui Po, Kowloon, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear BOUND KOWLOON 界限佳坊 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help BOUND KOWLOON 界限佳坊 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,aqua,+852 3427 2288,https://aqua.com.hk/,Email Not Found,4.4,2288 reviews,"17/F, H Zentre, 15 Middle Rd, Tsim Sha Tsui, Kowloon, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear aqua Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help aqua grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Kam Wah Cafe & Cake Shop,+852 2392 6830,https://kamwahcafecakeshop.shop/,Email Not Found,3.7,6391 reviews,"45-47 Bute St, Mong Kok, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear Kam Wah Cafe & Cake Shop Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Kam Wah Cafe & Cake Shop grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Wingman HK,+852 9607 5500,https://wingman.hk/,user@domain.com,4.5,573 reviews,"11/F, The Loop, 33 Wellington St, Central, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:24:25,"Subject: Grow Your Business with lightfantastic.tv

Dear Wingman HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Wingman HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
