No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Auto shop 錶童,+852 2367 9200,http://www.autoshop.com.hk/,whatsappimage2020-09-10at16.43.26-4_1024x1024@2x-2-225x300.jpg,4.4,118 reviews,"19C Nelson St, Mong Kok, Hong Kong",95,🔥 High Priority,New,No,2026-07-14 18:40:22,"Here's a professional cold email as a sales representative from lightfantastic.tv:

Subject: Elevate Your Auto Shop 錶童 Brand in Hong Kong with lightfantastic.tv

Hi Auto Shop 錶童 Team,

As a business owner in Hong Kong, you understand the importance of effective marketing and branding. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand directly in front of your target audience. Our innovative and eye-catching displays have been helping businesses like yours build brand awareness and drive sales.

With our platform, you can take control of your advertising strategy and reserve multiple windows across Hong Kong for a fixed period. This not only saves you money but also ensures consistent brand visibility throughout the city. Imagine having a presence in all four windows for just HK$400,000 - that's a game-changer for any business.

To make it even more appealing, we're excited to announce our special offer for Singles' Day, running from 5th to 11th November 2026. For a limited time, you can book our windows at an unbeatable price of HK$120,000 per window. Don't miss out on this incredible opportunity to boost your brand's visibility and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help Auto Shop 錶童 elevate its brand in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be",
2,愛車堡 Motoshop,+852 9068 7559,https://www.motoshophk.com/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.6,160 reviews,"G/F, 81 Apliu St, Tong Mi, Hong Kong",100,🔥 High Priority,New,No,2026-07-14 18:40:22,"Subject Line: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear 愛車堡 Motoshop Team,

I came across your excellent website and was impressed by your 4.6-star rating on various platforms. As a business owner in the competitive automotive industry in Hong Kong, you understand the importance of standing out from the crowd and reaching your target audience effectively.

At lightfantastic.tv, we specialize in out-of-home advertising solutions that help businesses like yours increase brand visibility, drive foot traffic, and generate leads. Our innovative approach allows you to capture the attention of potential customers on the streets of Hong Kong, where they are most receptive to your message.

We're excited to offer a special promotion for Singles' Day from November 5th to 11th, 2026. For this limited period, you can reserve our premium windows for HK$120,000 per window. This is an incredible opportunity to dominate the peak season and save against booking individual windows, which would otherwise cost HK$400,000 for four windows.

Don't miss out on this chance to elevate your brand's presence in Hong Kong. To learn more about our out-of-home advertising solutions and to reserve your windows, please reply to this email at hello@lightfantastic.tv or visit our website for more information.

Looking forward to collaborating with you and taking your brand to the next level.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising,",
3,B&M Motor Service,+852 2818 9126,No Website,No Website,4.7,21 reviews,"Sai Wan, Hong Kong",59,⭐ Medium Priority,New,No,2026-07-14 18:40:22,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong

Dear B&M Motor Service Team,

I came across your business while researching top-rated service providers in Hong Kong, and I was impressed by your 4.7-star rating. As a sales representative from lightfantastic.tv, I'd like to introduce you to our innovative out-of-home advertising platform that can help take your business to the next level.

With lightfantastic.tv, you can reserve a prominent spot on our network of four high-traffic windows in Hong Kong for a fixed price of HK$400,000. This not only secures your brand's visibility during peak season but also saves you money compared to booking individual windows.

However, we're currently running a special promotion for Singles' Day (5-11 Nov 2026), offering an unbeatable deal of HK$120,000 per window. This is a unique opportunity to amplify your brand's presence in Hong Kong without breaking the bank.

By partnering with lightfantastic.tv, you'll be able to:

- Increase brand awareness and reach a wider audience
- Drive foot traffic to your business
- Stand out from competitors in a crowded market

If you're interested in learning more about how lightfantastic.tv can help B&M Motor Service thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss your advertising goals and objectives.

Best regards,

Emily Wong
Sales",
4,Closed,No Phone Number,No Website,No Website,4.6,5 reviews,"旺角 油麻地 上海 街 419 號, 419 Shanghai St, Yau Ma Tei, Hong Kong",47,⭐ Medium Priority,New,No,2026-07-14 18:40:22,"Subject Line: Boost Your Brand Visibility in Hong Kong's Bustling Streets

Dear Closed,

I hope this email finds you well. My team at lightfantastic.tv and I have been following your business, and we're impressed with your 4.6-star rating. As a fellow business owner, I understand the importance of effective advertising in today's competitive market.

At lightfantastic.tv, we specialize in out-of-home advertising, allowing businesses like yours to reach a vast audience in Hong Kong's busiest areas. By displaying your message across our network of strategically located screens, you can increase brand awareness, drive foot traffic, and ultimately boost sales.

Our unique offer allows you to reserve our four screens for a fixed price of HK$400,000. However, we're excited to announce a limited-time promotion for Singles' Day, from November 5th to 11th, 2026. For HK$120,000 per window, you can take advantage of our premium advertising space and reach a massive audience.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's presence in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, making waves in Hong Kong's streets.",
5,Tak Sing Garage,+852 2890 9688,No Website,No Website,5.0,5 reviews,"G/F, 46 Tung Lo Wan Rd, Tai Hang, Hong Kong",57,⭐ Medium Priority,New,No,2026-07-14 18:40:22,"Subject: Unlock the Streets of Hong Kong with lightfantastic.tv

Hi Tak Sing Garage Team,

I came across your business and was impressed by your 5-star rating. As a prominent player in the local market, I believe you understand the importance of getting your brand noticed.

At lightfantastic.tv, we specialize in out-of-home advertising that helps businesses like yours make a lasting impression on the streets of Hong Kong. Our LED displays are strategically placed in high-traffic areas, ensuring maximum visibility and engagement for your brand.

By partnering with us, you can reach a wider audience and drive sales. Our advertising solutions are tailored to meet the unique needs of each business, and we're confident that our expertise will help you achieve your marketing goals.

We're currently running a special promotion for Singles' Day, offering a discounted rate of HK$120,000 per window from November 5th to 11th. This is an excellent opportunity to reserve a spot on our displays and capitalize on the festive season.

If you're interested in learning more about how lightfantastic.tv can help Tak Sing Garage, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
6,Bo Shing Auto Services Center,+852 2356 7999,No Website,No Website,4.0,33 reviews,"一號, Hok Yuen St E, Hung Hom, Hong Kong",54,⭐ Medium Priority,New,No,2026-07-14 18:40:22,"Subject: Boost Visibility for Bo Shing Auto Services Center with Out-of-Home Advertising

Hi Bo Shing Auto Services Center Team,

I came across your business, and I'm impressed with the 4-star rating you've maintained so far. As a specialist in outdoor advertising in Hong Kong, I believe lightfantastic.tv can help take your brand to the next level.

Our unique platform allows you to reach a vast audience in a highly visible and engaging manner. With lightfantastic.tv, you can showcase your brand's story and values on the streets of Hong Kong, making it more memorable and impactful for your customers.

In fact, many businesses like yours have seen significant benefits from our out-of-home advertising solutions, including increased brand awareness and customer loyalty. Imagine having a permanent presence in the city, communicating your message to thousands of potential customers every day.

To make it even more exciting, we're offering a special promotion for Singles' Day - book any of our four windows from November 5th to 11th, and you'll enjoy a limited-time price of HK$120,000 per window. This is a fantastic opportunity to reserve the peak season and save against booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help Bo Shing Auto Services Center reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss your goals and objectives.",
7,Moto Mart,+852 2362 0388,http://www.motomartco.com/,Email Not Found,4.4,650 reviews,"1樓全層, Yick Man Building, 5號 Ha Heung Rd, To Kwa Wan, Hong Kong",80,🔥 High Priority,New,No,2026-07-14 18:40:22,"Subject Line: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear Moto Mart Team,

I hope this email finds you well. As a marketing professional, I've been keeping an eye on your business, Moto Mart (http://www.motomartco.com/), and I must say, your 4.4-star rating is impressive. It's clear that you're doing something right!

At Lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong, where it matters most. Our unique solution allows you to reserve four prime windows in key locations across the city for HK$400,000, giving you maximum visibility and reach.

Our goal is to help businesses like Moto Mart like yours, reach a wider audience and build brand awareness. With our platform, you can:

- Amplify your brand's presence across the city
- Target a large and engaged audience
- Create a lasting impression on your customers

To help you further, we're excited to offer a special promotion for Singles' Day from November 5th to 11th:

HK$120,000 per window
Don't miss out on this opportunity to elevate your brand's visibility at an unbeatable price!

If you're interested in learning more about how Lightfantastic.tv can help Moto Mart, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to schedule a call to",
8,Chun Tat Motor Ltd,+852 6660 1975,https://www.chuntatmotor.com/,8c4075d5481d476e945486754f783364@sentry.io,4.5,30 reviews,"37號 Tan Kwai Tsuen Rd, Hung Shui Kiu, Hong Kong",94,🔥 High Priority,New,No,2026-07-14 18:40:22,"Subject Line: Unlock Hong Kong's Streets with lightfantastic.tv

Hi Chuntat Motor Ltd Team,

I came across your excellent 4.5-star rating on your website, and I'm impressed with the quality of service you provide to your customers. As a leading out-of-home advertising platform in Hong Kong, lightfantastic.tv is interested in partnering with businesses like yours to amplify your brand's visibility.

Our platform allows you to showcase your brand on four prominent locations in Hong Kong for an attractive price of HK$400,000. However, we're running a special promotion for Singles' Day from 5 to 11 Nov 2026, offering each window for HK$120,000. This is a fantastic opportunity to reserve the full peak season and make a lasting impression on your target audience.

By partnering with us, you can:

- Increase brand awareness and reach a wider audience
- Enhance your marketing efforts with a unique and engaging ad format
- Enjoy a hassle-free experience with our dedicated customer support

If you're interested in learning more about our services or reserving a spot for your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how lightfantastic.tv can help take your brand to the next level.

Best regards,
Emily Lee
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
9,頭盔王電單車 Helmet King,+852 6385 8830,http://www.helmetking.com/,helmetkinghkinfo@helmetking.com,4.6,553 reviews,"Hong Kong, Mong Kok, Dundas St, 地下1號鋪, Po Hang Building, 2-8號",100,🔥 High Priority,New,No,2026-07-14 18:40:22,"Subject Line: Put Your Brand on the Streets of Hong Kong with LightFantastic.tv

Dear 頭盔王電單車 Helmet King Team,

I came across your website, http://www.helmetking.com/, and was impressed by your 4.6-star rating. As a marketer for LightFantastic.tv, I believe our out-of-home advertising solutions can help amplify your brand reach in Hong Kong.

Our LED window displays are strategically located in high-traffic areas, providing maximum visibility for your brand. With LightFantastic.tv, you can reserve all four windows for a fixed price of HK$400,000, saving you money compared to booking each window individually.

As we approach Singles' Day (5-11 Nov 2026), we're offering a special promotion: HK$120,000 per window. This is a unique opportunity to reach a massive audience in Hong Kong, and we'd love to help you capitalize on it.

If you're interested in learning more about our solutions and how they can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Alan Wong
Marketing Representative
LightFantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
10,26KING 電單車經銷寄賣維修,+852 6203 9357,https://www.26king.hk/,instagram@26king.hk,4.9,98 reviews,"Hong Kong, Mong Kok, Tung On St, 50 Tung On Street, 地舖",97,🔥 High Priority,New,No,2026-07-14 18:40:22,"Subject: Boost Your Brand Visibility in Hong Kong with Lightfantastic.tv

Dear 26KING 電單車經銷寄賣維修 Team,

I came across your exceptional business on the web and was impressed by your 4.9-star rating! At Lightfantastic.tv, we're passionate about helping businesses like yours make a lasting impact in Hong Kong's vibrant streets.

Our out-of-home advertising platform allows you to put your brand on the iconic windows of major buildings, reaching a massive audience and creating a memorable brand experience. Imagine your message being seen by thousands of people every day, all while elevating your brand's visibility and credibility.

With Lightfantastic.tv, you can:

- Reserve peak season space and save against booking individual windows
- Take all four windows for a discounted rate of HK$400,000
- Reach your target audience with precision and impact

As a special offer, don't miss our Singles' Day promotion from November 5th to 11th, 2026, where you can book each window for just HK$120,000. This is a fantastic opportunity to amplify your brand's presence and drive engagement.

If you're interested in learning more about how Lightfantastic.tv can help 26KING 電單車經銷寄賣維修, please reply to hello@lightfantastic.tv. I'd be delighted to schedule a call to discuss your marketing goals and create a custom solution tailored to your needs.

Best regards,

Emily",
11,Ah Yuen Garage Ltd.,+852 9653 7613,https://shops.car1.hk/shop/Ah-Yuen-Garage-Ltd/591/?tag=general-maintenance&tag_id=102,shop-street@car1.hk,4.5,2 reviews,"G/F, 29號 Sun Chun St, Tai Hang, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 18:40:22,"Subject: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear Ah Yuen Garage Ltd. Team,

I came across your excellent 4.5-star rated garage services on Car1 and was impressed by your dedication to providing top-notch maintenance and repair solutions to the community. As a business owner, you likely understand the importance of effective advertising to reach new customers and reinforce your brand's presence in Hong Kong.

Lightfantastic.tv is a cutting-edge out-of-home advertising platform that can help you achieve just that. Our innovative solution allows you to reserve all four windows in the heart of Hong Kong for a fixed price of HK$400,000, securing a prime spot for your brand during the peak season. Alternatively, we're offering a special promotion for Singles' Day from 5 to 11 November 2026, where each window is available for HK$120,000. This is an unbeatable opportunity to amplify your brand's visibility and reach a wider audience.

Imagine your brand's message displayed prominently across four high-impact windows, resonating with passersby and generating buzz around your business. Lightfantastic.tv can make that happen, ensuring your brand is front and center in the city's vibrant streets.

If you're interested in exploring this exciting opportunity further, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be more than happy to discuss the details and answer any questions you may have.

Best regards,",
