No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Zurich Insurance Hong Kong,+852 2968 2222,https://www.zurich.com.hk/,u003econsumer@hk.zurich.com,3.1,53 reviews,"25-26/F, Zurich Insurance Company Ltd, One Island East, 18 Westlands Rd, Quarry Bay, Hong Kong",82,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear Zurich Insurance Hong Kong Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. Our unique solution allows businesses like yours to effectively reach and engage with your target audience through strategically positioned digital screens across the city.

At lightfantastic.tv, we've helped numerous prominent brands, including insurance companies, increase brand awareness and drive foot traffic to their stores. By partnering with us, you'll be able to:

- Increase your brand's visibility among Hong Kong's densely populated areas
- Target specific demographics and interests to maximize your advertising ROI
- Reserve our screens for the peak season and save against booking each window on its own

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026. You can reserve any of our four windows for a special price of HK$120,000 per window. This is a fantastic opportunity to elevate your brand's presence in Hong Kong and drive engagement with your target audience.

If you're interested in learning more about how lightfantastic.tv can help Zurich Insurance Hong Kong reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to schedule a call to discuss your advertising goals and objectives.

Best regards,

Emily Wong
Sales Representative",
2,MSIG Insurance (Hong Kong) Limited,+852 3122 6922,https://www.msig.com.hk/,Email Not Found,4.5,53 reviews,"9F, 1111 King's Road, Taikoo Shing, Quarry Bay, Hong Kong",82,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject: Unlock Peak Season Visibility with lightfantastic.tv

Dear MSIG Insurance (Hong Kong) Limited Team,

I came across your website (https://www.msig.com.hk/) and was impressed with your 4.5-star rating. As a specialist in out-of-home advertising, I'd like to introduce you to lightfantastic.tv - a unique platform that allows you to showcase your brand on the streets of Hong Kong.

Our innovative approach involves taking over four prime windows in key locations, effectively reserving the full peak season and giving you a competitive edge. By doing so, you can save against booking each window separately and maximize your brand's visibility.

As a leading insurance provider in Hong Kong, I believe lightfantastic.tv can help you reach a wider audience and drive engagement. To make it even more compelling, we're offering a special promotion for Singles' Day (5-11 Nov 2026): HK$120,000 per window. Don't miss this opportunity to elevate your brand's presence and connect with potential customers.

If you're interested in learning more about how lightfantastic.tv can support your marketing goals, please reply to this email at hello@lightfantastic.tv. Our team will be happy to guide you through the process.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on the streets of Hong Kong.",
3,Pacific Prime Hong Kong,+852 3113 6886,http://www.pacificprime.hk/,Email Not Found,4.6,39 reviews,"Units 1-11, 35/F, 1 Hung To Rd, Kwun Tong, Hong Kong",79,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Hi Pacific Prime Hong Kong Team,

As a leading international health insurance provider in Hong Kong, I'm sure you're always on the lookout for innovative ways to reach your target audience and stay ahead of the competition. At Lightfantastic.tv, we specialize in out-of-home advertising that puts your brand right where it matters - on the streets of Hong Kong.

Our platform allows you to reserve all four windows in a single transaction, saving you time and money compared to booking each window individually. This strategic approach ensures maximum visibility for your brand, especially during peak seasons.

With the upcoming Singles' Day promotion (5-11 Nov 2026), we're offering a special deal: HK$120,000 per window, an unbeatable opportunity to amplify your brand's presence in Hong Kong.

If you're interested in learning more about how Lightfantastic.tv can help Pacific Prime Hong Kong achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
4,Kwiksure Motor Insurance,+852 3113 2112,http://www.kwiksure.com/,motorcycle@2x.png,4.8,267 reviews,"Hong Kong, Kwun Tong, Hung To Rd, 1號, 37/F Unit 15-20",100,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Hi Kwiksure Motor Insurance Team,

As a leading provider of motor insurance in Hong Kong, I'm sure you understand the importance of being seen and remembered by your target audience. At lightfantastic.tv, we help businesses like yours reach and engage with their customers in the most effective way possible – through out-of-home advertising.

Our innovative platform allows you to occupy all four windows in key locations across Hong Kong for a fixed price of HK$400,000. This unique opportunity not only saves you money but also ensures your brand is consistently visible throughout the peak season.

To make it even more compelling, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can reach a massive audience and boost your brand's visibility.

Don't miss out on this chance to elevate your brand and reach a wider audience in Hong Kong. To reserve your spot, simply reply to this email at hello@lightfantastic.tv or give us a call.

Best regards,

Emily Lee
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
5,Alea - Insurance Broker,+852 2606 2668,https://alea.care/,hello@alea.care,5,135 reviews,"21-24 Connaught Rd W, Sheung Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject Line: Boost Your Brand Awareness in Hong Kong with lightfantastic.tv

Dear Alea - Insurance Broker Team,

I hope this email finds you well. My name is Emily, and I'm a sales representative from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. We help businesses like yours reach their target audience and drive engagement through our unique network of digital screens across the city.

As an insurance broker, you understand the importance of building trust and credibility with your customers. Our platform allows you to showcase your brand and message on the streets of Hong Kong, where they are most receptive to new ideas. Whether you're promoting a new product, service, or campaign, lightfantastic.tv provides an effective way to reach a massive audience and increase brand awareness.

This Singles' Day, from November 5th to 11th, we're offering an unbeatable deal for businesses like yours. Reserve our digital windows at HK$120,000 each, and get ready to take your marketing to the next level. Don't miss this opportunity to reserve the full peak season and save against booking each window on its own.

If you're interested in learning more about our platform and how it can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be more than happy to discuss your marketing goals and provide a customized solution that suits your needs.

Best regards,

Emily
Sales Representative
lightfantastic.tv",
6,Blue Cross (Asia-Pacific) Insurance Ltd,+852 2839 6333,https://www.bluecross.com.hk/,cs@bluecross.com.hk,4.2,199 reviews,"54樓, 合和中心, 183號 Queen's Rd E, Wan Chai, Hong Kong",95,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear Blue Cross (Asia-Pacific) Insurance Ltd Team,

I hope this email finds you well. As a representative from lightfantastic.tv, I'm excited to introduce you to a unique opportunity to take your brand's presence to the next level in the vibrant city of Hong Kong.

At lightfantastic.tv, we specialize in out-of-home advertising that captivates audiences on the streets of Hong Kong. Our innovative approach allows you to reach a vast and diverse crowd, effectively increasing brand awareness and driving engagement. By partnering with us, you'll be able to showcase your brand's message in a visually stunning and impactful way.

For businesses like Blue Cross (Asia-Pacific) Insurance Ltd, our platform offers a unique chance to connect with your target audience in a dynamic and engaging environment. By partnering with us, you can:

- Increase brand visibility and reach a wider audience
- Enhance your brand's reputation and credibility
- Drive engagement and conversions through targeted advertising

To celebrate the upcoming Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026. For a limited time, you can reserve our stunning windows for just HK$120,000 per window. This is a fantastic opportunity to save against booking each window individually and secure a prime spot for the peak season.

If you're interested in learning more about our services and how we can help Blue Cross (Asia-Pacific) Insurance Ltd,",
7,The Tokio Marine and Fire Insurance Company (Hong Kong) Limited,+852 2529 4401,http://www.tokiomarine.com.hk/,claims@tokiomarine.com.hk,3,2 reviews,"95 Queensway, Admiralty, Hong Kong",75,🔥 High Priority,New,No,2026-07-15 19:33:14,"Subject: Unlock the Potential of Out-of-Home Advertising in Hong Kong

Dear The Tokio Marine and Fire Insurance Company (Hong Kong) Limited Team,

I came across your insurance services and was impressed by the comprehensive coverage you offer to your clients. As a professional with expertise in out-of-home advertising, I'd like to introduce you to lightfantastic.tv - the ultimate platform to elevate your brand's presence in Hong Kong.

At lightfantastic.tv, we provide a unique opportunity to reach a massive audience with our high-impact digital displays. By partnering with us, you can reserve the full peak season and save against booking each window on its own. Our innovative solution helps businesses like yours to effectively engage with potential customers, increasing brand awareness and driving sales.

We're excited to offer a special promotion in celebration of Singles' Day: from November 5th to 11th, 2026, we're offering each window at an unbeatable price of HK$120,000. This is a limited-time opportunity to amplify your marketing efforts and make a lasting impression on the streets of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help The Tokio Marine and Fire Insurance Company (Hong Kong) Limited reach new heights, please don't hesitate to contact us at hello@lightfantastic.tv. We look forward to discussing how our out-of-home advertising solutions can benefit your business.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
8,Tugu Insurance Company Limited,+852 2824 2939,https://www.tuguhk.com/,info@tuguhk.com,4.3,3 reviews,"28/F, United Asia Finance Centre, 333 Lockhart Rd, Wan Chai, Hong Kong",85,🔥 High Priority,New,No,2026-07-15 19:33:15,"Subject: Elevate Your Brand Visibility in Hong Kong

Dear Tugu Insurance Company Limited,

As a leader in the insurance industry in Hong Kong, I'm sure you're always on the lookout for innovative ways to reach and engage with your target audience. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand right where it matters - on the streets of Hong Kong.

Our unique digital display network covers four windows in prime locations, providing unparalleled visibility and reach for your brand. By partnering with us, you can effectively increase brand awareness, drive customer engagement, and ultimately drive business growth.

We understand that Tugu Insurance Company Limited values its strong online presence, as reflected in your 4.3-star rating on your website. We believe our out-of-home advertising solutions can complement your online efforts and help take your brand to the next level.

To celebrate Singles' Day, we're offering an exclusive promotion for our services from November 5th to 11th, 2026. You can secure our premium windows for HK$120,000 per window, a significant saving compared to booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help Tugu Insurance Company Limited achieve its marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss further.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising,",
9,Fubon Life Insurance (Hong Kong) Company Limited,+852 2516 0133,https://www.fubonlife.com.hk/,fubonlife@fubonlife.com.hk,4.3,3 reviews,"Suites 701-705, 7/F, 12 Taikoo Wan Road, Taikoo Shing, Quarry Bay, Hong Kong",85,🔥 High Priority,New,No,2026-07-15 19:33:15,"Subject Line: Boost Your Brand's Visibility on the Streets of Hong Kong with Lightfantastic.tv

Dear Fubon Life Insurance (Hong Kong) Company Limited Team,

I came across your outstanding insurance services at https://www.fubonlife.com.hk/, and I'm impressed with your 4.3-star rating. At lightfantastic.tv, we strive to connect businesses like yours with the perfect out-of-home advertising solution to elevate their brand presence in Hong Kong.

Our unique digital screens are strategically placed across the city, allowing you to reach a diverse audience and create lasting impressions. By partnering with us, you can effectively target your desired demographics, promote your brand, and drive engagement. Imagine having your brand on the streets of Hong Kong, where millions of people pass by every day.

To make this opportunity even more compelling, we're excited to offer a special promotion for Singles' Day: from November 5th to 11th, you can reserve our digital windows at an unbeatable rate of HK$120,000 per window. This is a limited-time offer, so don't miss out on the chance to reserve your peak season slots at a discounted price.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a consultation and explore how our out-of-home advertising solutions can meet your marketing goals.

Best regards,

Emily",
10,CCW Global Hong Kong,+852 2114 2840,https://hk.ccw-global.com/,ccwglobal@ccw-global.com,4.7,11 reviews,"11/F Unit 4 - 6 Strand 50, 50 - 54 Bonham Strand, Sheung Wan, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 19:33:15,"Subject: Bring Your Brand to Life on Hong Kong's Streets

Dear CCW Global Hong Kong Team,

I came across your 4.7-star rated business and was impressed by the excellent services you provide. As a key player in the industry, I believe you understand the importance of effective marketing and reaching your target audience.

At lightfantastic.tv, our unique out-of-home advertising platform offers a chance to put your brand on the streets of Hong Kong, creating a lasting impression on potential customers. By booking our four windows, you can reserve the full peak season and enjoy significant savings compared to booking each window individually.

To make it even more compelling, we're excited to announce our special offer for Singles' Day from November 5th to 11th: book any of our four windows for just HK$120,000. This is a unique opportunity to elevate your brand's visibility and engage with Hong Kong's vibrant audience.

If you're interested in taking advantage of this offer, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss your marketing goals and create a customized plan to suit your needs.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
