No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Times Square,+852 2118 8900,https://www.timessquare.com.hk/,f@pakloh.hk,4.1,16021 reviews,"Matheson St, Bowrington, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Times Square Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Times Square grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,LANDMARK,+852 2500 0555,https://www.landmark.hk/,Email Not Found,4.2,3596 reviews,"15 Queen's Road Central, Central, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear LANDMARK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help LANDMARK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Pacific Place,+852 2844 8988,https://www.pacificplace.com.hk/,above@pacificplace.com.hk,4.2,10149 reviews,"88 Queensway, Admiralty, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Pacific Place Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Pacific Place grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,K11 Art Mall,+852 3118 8070,https://hk.k11.com/,kongenquiry@k11artmallhk.com,4.1,11171 reviews,"18 Hanoi Rd, Tsim Sha Tsui, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear K11 Art Mall Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help K11 Art Mall grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Elements,No Phone Number,https://www.elementshk.com/tch/elements/main,elelease@mtr.com.hk,4.1,14671 reviews,"1 Austin Rd W, Tsim Sha Tsui, Kowloon, Hong Kong",85,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Elements Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Elements grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,Langham Place,+852 3520 2800,http://www.langhamplace.com.hk/en/,info@langhamplace.com.hk,4.1,7405 reviews,"8 Argyle St, Mong Kok, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Langham Place Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Langham Place grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,ifc mall,+852 2295 3308,https://ifc.com.hk/en/mall/,customerservice@ifc.com.hk,4.2,16955 reviews,"8 Finance St, Central, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear ifc mall Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help ifc mall grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,The ONE,+852 3106 3640,https://www.the-one.hk/,Email Not Found,3.9,8428 reviews,"100號 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear The ONE Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The ONE grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Hysan Place,+852 2886 7222,https://www.hysan.com.hk/portfolio/hysan-place/,retailleasing@hysan.com.hk,4.1,8215 reviews,"500號 Hennessy Rd, Causeway Bay, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Hysan Place Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hysan Place grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Harbour City,+852 2118 8666,https://www.harbourcity.com.hk/,logo@2x.png,4.2,19973 reviews,"Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Harbour City Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Harbour City grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
11,The Peak Galleria,+852 2849 4113,http://www.hanglungmalls.com/peak-galleria,customerservice@hanglung.com,4.2,9144 reviews,"118號 Peak Rd, The Peak, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear The Peak Galleria Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Peak Galleria grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
12,Citygate Outlets,+852 2109 2933,https://www.citygateoutlets.com.hk/,leasing@citygateoutlets.com,4.0,16228 reviews,"20號 Tat Tung Rd, 大嶼山, New Territories, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Citygate Outlets Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Citygate Outlets grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
13,MOKO,+852 2397 0790,https://www.moko.com.hk/,moko-cs@kaishing.com.hk,4.0,12929 reviews,"193 Prince Edward Rd W, Mong Kok, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear MOKO Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help MOKO grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
14,K11 MUSEA,+852 3892 3890,https://www.k11musea.com/,enquiry@k11musea.com,4.3,8465 reviews,"18 Salisbury Rd, Tsim Sha Tsui, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear K11 MUSEA Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help K11 MUSEA grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
15,iSQUARE,+852 3665 3333,http://www.isquare.hk/,Email Not Found,3.9,11309 reviews,"63 Nathan Rd, Tsim Sha Tsui, Kowloon, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear iSQUARE Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help iSQUARE grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
16,Fashion Walk,+852 2833 0935,https://www.hanglungmalls.com/fashion-walk,customerservice@hanglung.com,4.0,1696 reviews,"11-19 Great George St, Causeway Bay, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear Fashion Walk Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Fashion Walk grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
17,APM,+852 2267 0500,https://www.hkapm.com.hk/,apm@kaishing.com.hk,4.0,15335 reviews,"418號 Kwun Tong Rd, Kwun Tong, Kowloon, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 10:09:40,"Subject: Grow Your Business with lightfantastic.tv

Dear APM Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help APM grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
