No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Chinavasion Wholesale Gadgets,+852 2724 7058,https://www.chinavasion.com/,support@chinavasion.com,4.8,288 reviews,"Bright Way Tower, 33 Mong Kok Rd, Mong Kok, Hong Kong",100,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject Line: Elevate Your Brand in the Heart of Hong Kong

Dear Chinavasion Wholesale Gadgets Team,

I've been following your success on https://www.chinavasion.com/, and I'm impressed by your average rating of 4.8. Your business is a shining example of what can be achieved through innovation and customer satisfaction.

As a representative of lightfantastic.tv, I'd like to introduce you to an out-of-home advertising solution that's perfectly suited for your brand. Our digital screens can reach a massive audience in the heart of Hong Kong, putting your brand directly on the streets where your customers are. Imagine the impact of showcasing your products and values to thousands of potential customers every day.

Our platform helps businesses like yours increase brand visibility, drive foot traffic, and ultimately boost sales. By partnering with us, you can create engaging ad campaigns that speak directly to your target audience.

To celebrate Singles' Day, we're offering an exclusive deal: reserve any of our four windows for HK$120,000 from November 5th to 11th, 2026. This is a fantastic opportunity to take advantage of our peak season pricing and maximize your brand's exposure.

If you're interested in learning more about this limited-time offer or discussing how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home",
2,Ninki Denki,+852 2332 3723,https://www.ninkidenki.hk/zh/,cybersec@lfile.shunhinggroup.com,4,25 reviews,"503, 506-507, iSQUARE, 63 Nathan Rd, Tsim Sha Tsui, Hong Kong",89,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong with lightfantastic.tv

Dear Ninki Denki Team,

I came across your impressive work at Ninki Denki (https://www.ninkidenki.hk/zh/) and was impressed by your 4-star rating. As a sales representative from lightfantastic.tv, I'm excited to introduce you to our innovative out-of-home advertising solutions that can take your brand to the next level.

At lightfantastic.tv, we revolutionize the way businesses like yours connect with customers. Our cutting-edge LED display network spans four prime locations across Hong Kong, providing unparalleled visibility and reach. By partnering with us, you can reserve the full peak season and save against booking each window on its own, making it a smart investment for your marketing strategy.

To celebrate Singles' Day, we're offering an exclusive deal for Ninki Denki: book any of our four windows for just HK$120,000 from November 5th to 11th, 2026. This is a fantastic opportunity to amplify your brand's presence in Hong Kong and drive real results.

If you're interested in learning more about how lightfantastic.tv can help Ninki Denki thrive in the competitive Hong Kong market, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to hearing from you and exploring how we can put your brand on the streets of Hong Kong.

Best regards,

Emily Lee
Sales Representative",
3,Wan Chai Computer Centre,+852 2834 7685,https://www.facebook.com/WanchaiComputerCentre/,Email Not Found,3.8,5290 reviews,"130 Hennessy Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject Line: Elevate Your Brand on Hong Kong's Streets with lightfantastic.tv

Dear Wan Chai Computer Centre Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I'm excited to introduce you to our innovative out-of-home advertising solution that's revolutionizing the way businesses like yours reach and engage with their target audience in Hong Kong.

As a reputable computer centre in the heart of Wan Chai, I understand the importance of staying top of mind for your customers and potential new customers alike. Our digital screens strategically placed across Hong Kong's most vibrant districts provide the perfect platform to showcase your brand, products, and services to a massive and engaged audience.

By partnering with lightfantastic.tv, you can:

- Increase brand awareness and reach a wider audience
- Drive foot traffic and sales to your store
- Stay ahead of the competition in a crowded market

To celebrate Singles' Day, we're offering an exclusive deal for our valued partners: book any window from November 5th to 11th for just HK$120,000. This is a fantastic opportunity to reserve prime advertising space during one of the busiest shopping periods of the year.

If you're interested in learning more about how lightfantastic.tv can help elevate your brand, please don't hesitate to reach out to me at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss the details.

Best regards,

Emily
Sales Representative",
4,Sham Shui Po Gadget Outlet,+852 2387 3666,https://www.sspgadgetoutlet.com/,sspgadgetoutlet@gmail.com,4.1,5026 reviews,"地面1號鋪, 福仁商場, 161至175號 Fuk Wa St, Sham Shui Po, Hong Kong",95,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject: Unlock Peak Season Success for Sham Shui Po Gadget Outlet

Dear Sham Shui Po Gadget Outlet Team,

I've been following your growth and success at https://www.sspgadgetoutlet.com/ - impressive 4.1 rating! As a marketing professional with insight into effective out-of-home advertising, I wanted to introduce you to lightfantastic.tv, a unique platform that can elevate your brand's visibility in Hong Kong's vibrant streets.

Our network of digital displays offers a tailored solution to reach your target audience - locals and tourists alike - when they're most receptive to your message. With lightfantastic.tv, you can create a lasting impression and drive foot traffic to your store, all while setting yourself apart from competitors.

To make the most of Hong Kong's peak season, we're offering a special promotion for Singles' Day from November 5th to 11th. For just HK$120,000 per window, you can secure a prominent spot on our network and make a significant impact on local shoppers.

Don't miss this opportunity to maximize your brand's exposure. If you're interested in learning more about how lightfantastic.tv can benefit Sham Shui Po Gadget Outlet, please reply to this email at hello@lightfantastic.tv. I'd be delighted to discuss further and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the",
5,Sony Store Hong Kong,+852 2833 5129,http://www.sony.com.hk/store/sonystore/,Email Not Found,4.1,959 reviews,"Shop 503-504, 500 Hennessy Rd, Causeway Bay, Hong Kong",80,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear Sony Store Hong Kong Team,

I came across your store online and was impressed by your 4.1-star rating on Sony's official website. It's clear that you're committed to providing an exceptional customer experience in Hong Kong. At lightfantastic.tv, we help businesses like yours reach new heights by putting your brand on the streets of Hong Kong through our unique out-of-home advertising solution.

Imagine being able to reserve all four windows for HK$400,000, saving you money compared to booking each one individually. Our platform offers a seamless way to connect with potential customers, increasing brand awareness and driving foot traffic to your store. We've helped numerous businesses in Hong Kong achieve remarkable results, and we're confident we can do the same for you.

As we approach Singles' Day, we're offering an exclusive deal: from November 5th to 11th, you can book a single window for just HK$120,000. This is a fantastic opportunity to reach a massive audience and make a lasting impression.

If you're interested in learning more about how lightfantastic.tv can help your business thrive in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and explore how we can put your brand on the streets of Hong Kong.

Best regards,

Emily Wong
Marketing Representative
lightfantastic.tv
Out-of-home",
6,RNA TRONICS LIMITED HK,+353 89 962 4655,https://rnatronics.com/,support@rnatronics.com,5,14 reviews,"Unit 2904-05, 29/F, Universal Trade Centre, 3 Arbuthnot Rd, Central, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject Line: Unlock Your Brand's Potential on Hong Kong's Streets

Dear RNA Tronics Limited HK Team,

I came across your website, https://rnatronics.com/, and was impressed by your company's innovative approach to the industry. With a 5-star rating, it's clear that you're committed to delivering high-quality products and services.

As a business leader, you understand the importance of effective branding and marketing. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our unique display system allows you to reserve up to four windows, providing a comprehensive and immersive experience for your customers.

Our solution helps businesses like yours to increase brand awareness, drive foot traffic, and ultimately, boost sales. By partnering with us, you'll be able to reach a wider audience, create a lasting impression, and stay ahead of the competition.

To celebrate Singles' Day, we're offering a special promotion for our services. From November 5th to 11th, you can reserve a single window for just HK$120,000. This is a limited-time opportunity to elevate your brand's visibility and reach a larger audience.

If you're interested in learning more about how lightfantastic.tv can help your business grow, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to schedule a consultation and explore how our services can benefit RNA Tronics Limited HK.

Best regards,",
7,REGAL'S ELECTRONICS,+852 6681 5307,No Website,No Website,3.9,7 reviews,"1/fl Shop-38, MTR Exit H, Chung King Mansion, Next to Holiday Inn Golden Mile Hotel, 36-44 Nathan Rd, Tsim Sha Tsui, Hong Kong",47,⭐ Medium Priority,New,No,2026-07-15 18:47:51,"Subject: Boost Your Brand's Visibility in Hong Kong's Bustling Streets

Dear REGAL'S ELECTRONICS Team,

I came across your business and was impressed by your 3.9-star rating. As a fellow Hong Kong business, I believe your brand deserves to reach a wider audience, and that's where lightfantastic.tv comes in.

Our innovative out-of-home advertising solution offers an unparalleled way to put your brand on the streets of Hong Kong, leveraging four high-traffic windows for maximum visibility. By taking our entire network, you can reserve the full peak season and enjoy significant savings compared to booking each window individually.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can amplify your brand's presence across the city and drive business growth.

By partnering with us, REGAL'S ELECTRONICS can:

- Increase brand awareness among Hong Kong's diverse population
- Reach high-traffic areas, driving foot traffic and sales
- Enhance your brand's reputation with our premium advertising solution

If you're interested in taking your brand to the next level, I invite you to contact us at hello@lightfantastic.tv to discuss your advertising goals and how lightfantastic.tv can help you achieve them.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put",
8,OneKey Hong Kong Authorised Reseller 香港官方指定經銷商 - by Ooosh Tech Lab,+852 3628 3606,https://shop.price.com.hk/ledgerhk_oooshtechlab/category/67587,payment-icon-alipay@2x.png,4.7,3 reviews,"22/F, Tower 2, New World Tower, Central, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject Line: Unlock the Potential of Hong Kong's Streets with lightfantastic.tv

Dear OneKey Hong Kong Authorised Reseller 香港官方指定經銷商 - by Ooosh Tech Lab,

I came across your excellent services and impressive 4.7-star rating on [website]. As a business that values innovation and reliability, I believe you'll be interested in a unique opportunity to take your brand to the next level with out-of-home advertising in Hong Kong.

At lightfantastic.tv, we offer a cutting-edge platform that lets you reserve the entire peak season for your brand, saving you money compared to booking individual windows. Our network of premium digital screens provides unparalleled visibility and reach for your target audience. By partnering with us, you can create a lasting impression and drive business results.

To help you make the most of the upcoming peak season, we're excited to offer an exclusive deal for Singles' Day: from November 5th to 11th, 2026, you can reserve each of our four windows for just HK$120,000. This is a limited-time opportunity you won't want to miss.

Would you like to explore how lightfantastic.tv can help elevate your brand in Hong Kong's bustling streets? Please feel free to reach out to us at hello@lightfantastic.tv to learn more and reserve your spot.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets",
9,Broadway,+852 2381 6760,https://www.broadwaylifestyle.com/,customer.service@broadwaylifestyle.com,3.8,697 reviews,"地下 至 三 樓, 80號 Sai Yeung Choi St S, Mong Kok, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject Line: Elevate Your Brand on Hong Kong's Streets with lightfantastic.tv

Dear Broadway Team,

I came across your website, https://www.broadwaylifestyle.com/, and was impressed by your fashion-forward approach to lifestyle. As a representative from lightfantastic.tv, I believe our out-of-home advertising solutions can help amplify your brand's visibility in the heart of Hong Kong.

With lightfantastic.tv, you can put your brand on the streets of Hong Kong, reaching a massive audience of over 7.5 million people daily. Our unique network of digital displays allows you to reserve high-traffic locations and create impactful campaigns that drive real results. By partnering with us, you'll be able to:

- Increase brand awareness and reach new customers
- Target specific demographics and interests
- Track and measure campaign effectiveness with ease

To celebrate Singles' Day, we're offering an exclusive promotion for a limited time: HK$120,000 per window from November 5th to 11th, 2026. This is an unbeatable opportunity to reserve a prime window and make a lasting impression on the city's residents and tourists alike.

If you're interested in learning more about how lightfantastic.tv can help Broadway shine, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and discuss how our solutions can meet your marketing objectives.

Looking forward to connecting with you.

Best regards,

Emily Wong",
10,iDeal Shop Hk - 電子飛鏢靶 Mac Case 手機配件用品專門店,+852 2728 2826,http://www.idealshop.com.hk/,aec31088a6fb4f6eafac028a91e1cf21@o769852.ingest.sentry.io,4.8,45 reviews,"21樓2111 鋪, Pakpolee Commercial Centre, 1A Sai Yeung Choi St S, Mong Kok, Hong Kong",94,🔥 High Priority,New,No,2026-07-15 18:47:51,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear iDeal Shop Hk - 電子飛鏢靶 Mac Case 手機配件用品專門店 Team,

I came across your excellent online presence, with a stellar 4.8 rating on your website (http://www.idealshop.com.hk/). Your success is a testament to your commitment to providing top-notch products and services to your customers.

At lightfantastic.tv, we understand the importance of effective out-of-home advertising in reaching your target audience. Our platform offers a unique opportunity to put your brand on the streets of Hong Kong, where it matters most. By partnering with us, you can increase brand awareness, drive foot traffic, and boost sales.

Imagine having your brand's message displayed on four prominent digital windows in the heart of Hong Kong, reserved for the peak season and at a special discounted rate. Our current offer is perfect for businesses like yours looking to make a lasting impression. For a limited time, from November 5th to 11th (Singles' Day), we're offering each digital window for HK$120,000.

This is a fantastic opportunity to elevate your brand's visibility and reach a large audience. To take advantage of this offer, simply reply to this email at hello@lightfantastic.tv or contact us directly to reserve your spot.

Looking forward to collaborating with you and helping your brand shine in Hong Kong.

Best regards,

Emily",
