No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,"Tin Lung Heen | The Ritz-Carlton, Hong Kong",+852 2263 2270,https://www.ritzcarlton.com/en/hotels/hkgkw-the-ritz-carlton-hong-kong/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.5,835 reviews,"International Commerce Centre (ICC), 102/F, The Ritz-Carlton, Hong Kong, 1 Austin Rd W, Tsim Sha Tsui, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Tin Lung Heen | The Ritz-Carlton, Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Tin Lung Heen | The Ritz-Carlton, Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,Roganic Hong Kong,+852 2817 8383,http://www.roganic.com.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.5,550 reviews,"SHOP NOS. 402 & 403, 4/F, LEE GARDEN ONE, 33 Hysan Ave, Causeway Bay, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Roganic Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Roganic Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,Hong Kong Cuisine,+852 2893 3788,http://www.1983hkc.com/,Website Unreachable,4.2,200 reviews,"1/F, Elegance Court, 2-4 Tsoi Tak St, Happy Valley, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Cuisine Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Cuisine grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,Ho Lee Fook,+852 2810 0860,https://www.holeefook.com.hk/,user@domain.com,4.3,1321 reviews,"蘇豪, 3-5號 Elgin St, Central, Hong Kong",95,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Ho Lee Fook Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Ho Lee Fook grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,BELON,+852 2152 2872,http://belonsoho.com/,INFO@BELONSOHO.COM,4.5,385 reviews,"1st Floor, 1-5 Elgin St, Central, Hong Kong",100,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear BELON Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help BELON grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Hong Kong Restaurant,(650) 251-9062,http://hongkongrestaurantpl.com/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.2,790 reviews,"3691 El Camino Real, Palo Alto, CA 94306",80,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Restaurant Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Restaurant grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,Hong Kong Lounge,(415) 668-8836,https://www.newhongkonglounge.com/,7025fe2ce4ed466a9751d9607bc63a44@sentry.wixpress.com,4.2,1654 reviews,"5322 Geary Blvd, San Francisco, CA 94121",95,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Lounge Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Lounge grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,One Dim Sum,No Phone Number,https://onedimsum.hk/?lang=en,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.3,7261 reviews,"G/F, 209A Tung Choi St, Prince Edward, Hong Kong",70,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear One Dim Sum Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help One Dim Sum grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Yat Tung Heen - Eaton HK,+852 2710 1093,https://www.yattungheen.com/,user@domain.com,4.3,2114 reviews,"香港逸東酒店B2樓層 Level B2, Eaton HK 九龍, 380 Nathan Rd, Jordan, Hong Kong",95,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Yat Tung Heen - Eaton HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Yat Tung Heen - Eaton HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,Carbone Hong Kong,+852 2593 2593,http://www.carbone.com.hk/,user@domain.com,4.4,994 reviews,"9th Floor, 33 Wyndham St, Central, Hong Kong",95,🔥 High Priority,New,No,2026-07-04 18:28:38,"Subject: Grow Your Business with lightfantastic.tv

Dear Carbone Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Carbone Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
