No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Info-Tech Systems Integrators (HK) Limited,+852 2456 5811,https://www.info-tech.com.hk/,sales@info-tech.com.hk,4.9,45 reviews,"Unit C, 8/F, Grandion Plaza.932 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon, Central, Hong Kong",94,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject Line: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Info-Tech Systems Integrators (HK) Limited Team,

I came across your excellent website and impressive 4.9 rating on my research, and I'm excited to introduce a unique opportunity to take your brand to the next level in Hong Kong. At lightfantastic.tv, we offer a cutting-edge out-of-home advertising solution that puts your brand on the vibrant streets of Hong Kong. Our innovative platform allows you to reserve all four windows, perfect for maximizing visibility and saving costs compared to booking individual windows.

Our solution is designed to help businesses like yours, in the tech industry, reach a wider audience and establish a strong presence in the city. By partnering with us, you'll be able to:

- Increase brand awareness and reach a massive audience in Hong Kong's densely populated areas
- Enhance your brand's visibility and credibility through our premium advertising platform
- Reserve the full peak season and save against booking each window individually

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026: HK$120,000 per window. This is a limited-time opportunity to amplify your brand's presence in Hong Kong without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be more than",
2,Software Development Company - iExcel,+852 3588 1704,https://iexcel-technologies.com/,info@iexcel-technologies.com,5,21 reviews,"2302, 23/F, 18 Unit, 1 Queen's Road Central, Central, Hong Kong",94,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject Line: Amplify Your Brand in the Heart of Hong Kong

Hi iExcel Team,

I came across your impressive website (https://iexcel-technologies.com/) and noticed your 5-star rating for providing top-notch software development services. As a business that values innovation and excellence, I believe you'll appreciate our unique outdoor advertising solution - lightfantastic.tv.

Our LED screens are strategically located throughout Hong Kong, allowing you to reach a vast and engaged audience. By partnering with us, you can effectively promote your brand, products, or services to the right people at the right time. With lightfantastic.tv, you can:

- Increase brand awareness and visibility
- Drive website traffic and generate leads
- Target specific demographics and interests

To help you make the most of the peak season, we're offering an exclusive promotion for Singles' Day (5-11 Nov 2026). Book any of our four windows for just HK$120,000 - a significant discount compared to booking each window individually.

If you're interested in learning more about how lightfantastic.tv can elevate your brand in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to the opportunity to discuss how we can support your business growth.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
3,SoftwareOne Hong Kong Limited,+852 2751 2800,https://www.softwareone.com/zh-hk/,2800info.hk@softwareone.comcompanycareersabout,5,1 reviews,"Unit 1203, NEO, 12/F, 123 Hoi Bun Rd, Kwun Tong, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject Line: Elevate Your Brand in the Heart of Hong Kong

Dear SoftwareOne Hong Kong Limited Team,

Hope this email finds you well. As a representative from lightfantastic.tv, I've been following your success in the industry, and I'm impressed by your 5-star rating on your website.

We specialize in out-of-home advertising, putting your brand on the streets of Hong Kong, where it truly matters. Our unique LED window displays in four prime locations can't be missed by the passing crowds. By reserving the full peak season, you'll not only secure your brand's presence but also enjoy savings compared to booking individual windows.

I believe lightfantastic.tv would be an excellent fit for SoftwareOne Hong Kong Limited. Our platform allows you to showcase your brand's message, values, and services to a vast and targeted audience. With our help, you'll increase brand awareness, drive engagement, and ultimately, drive business growth.

To celebrate Singles' Day, we're offering a special promotion: HK$120,000 per window from November 5th to 11th. Don't miss this incredible opportunity to amplify your brand's visibility in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please reply to this email at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss further.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out",
4,iCOMPASS Hong Kong - KYC Software 香港合規盡調軟件,+852 5185 1164,https://icompass.ai/hongkong/,Email Not Found,5,2 reviews,"22 F, 3 Lockhart Rd, Wan Chai, Hong Kong",75,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject: Unlock the Streets of Hong Kong with Lightfantastic.tv

Hi iCOMPASS Hong Kong - KYC Software 香港合規盡調軟件 Team,

I came across your excellent work in KYC software solutions and was impressed by your 5-star rating on your website. As a leading player in the industry, you understand the importance of effective marketing and reaching your target audience.

At lightfantastic.tv, we specialize in out-of-home advertising in Hong Kong, putting your brand on the streets of our vibrant city. Our unique solution allows you to reserve all four windows for a fixed price of HK$400,000, saving you against booking each window individually. This comprehensive approach ensures maximum visibility and impact.

As you prepare for the peak season, we'd like to offer you an exclusive deal for our Singles' Day promotion from November 5th to 11th, 2026. For a limited time, you can reserve any of our windows for HK$120,000 each, a significant saving compared to our standard pricing.

By partnering with us, you'll be able to:

- Increase brand awareness and reach a wider audience
- Stand out in a crowded market with our eye-catching displays
- Drive traffic and sales with our strategically located windows

Don't miss this opportunity to elevate your marketing efforts and make a lasting impression on Hong Kong's streets. To learn more about our offerings and reserve your spot, please contact us at hello@lightfantastic.tv.

Best",
5,Software AG (Hong Kong) Ltd,+852 2866 8788,http://www.softwareag.com/,softwareag.com@softwareag.com,5,1 reviews,"Tai Tung Building, Wan Chai, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject: Boost Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Software AG (Hong Kong) Ltd Team,

I came across your company's impressive website (http://www.softwareag.com/) and noticed your 5-star rating - a testament to your commitment to excellence. As a leader in the industry, you're likely always on the lookout for innovative ways to reach new customers and reinforce your brand's presence in Hong Kong.

That's where lightfantastic.tv comes in - a cutting-edge out-of-home advertising platform that lets you put your brand on the streets of Hong Kong, literally. Our network of screens is strategically located across the city, providing unparalleled visibility and reach for your target audience.

By partnering with us, you can effectively engage with potential customers, increase brand awareness, and drive business results. Our platform is designed to help businesses like yours connect with the right people at the right time.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. You can reserve our peak-season windows at an unbeatable price of HK$120,000 per window. This is an opportunity you won't want to miss, especially considering the long-term benefits of securing prime ad space in a competitive market.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to",
6,KENFIL HONG KONG LIMITED,+852 2529 2059,https://www.kenfil.com/,contact@kenfil.com,4.8,38 reviews,"2樓, 181號 Gloucester Rd, Wan Chai, Hong Kong",94,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear KENFIL HONG KONG LIMITED Team,

I came across your exceptional website (https://www.kenfil.com/) and was impressed by your 4.8-star rating. As a sales representative at lightfantastic.tv, I'd like to introduce you to a unique out-of-home advertising solution that can further amplify your brand's presence in Hong Kong.

Our platform, lightfantastic.tv, offers an innovative way to reach a vast audience by leveraging four strategically located digital windows. By reserving all four windows, you can not only save costs but also secure premium visibility during peak seasons. This holistic approach ensures that your brand message resonates with potential customers, driving engagement and conversions.

As we approach the Singles' Day celebration (5-11 Nov 2026), I'd like to highlight a special offer tailored for businesses like yours. For a limited time, you can secure each window for HK$120,000, an unbeatable deal that won't last long.

If you're interested in exploring how lightfantastic.tv can elevate your brand's visibility, I invite you to reach out to me directly at hello@lightfantastic.tv. Our team would be delighted to discuss the details and create a customized plan that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong",
7,SAP Hong Kong Co. Limited,+852 2539 1800,https://www.sap.com/hk?url_id=Google_Maps,info@sap.com,4.3,6 reviews,"Tower Two, 35th Floor, Time Square, 1 Matheson St, Causeway Bay, Hong Kong",87,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear SAP Hong Kong Co. Limited Team,

I came across SAP Hong Kong Co. Limited's impressive 4.3-star rating on Google Maps and was impressed by your company's commitment to excellence. As a representative from lightfantastic.tv, I'd like to introduce you to an innovative out-of-home advertising solution that can help take your brand to the next level.

Our LED display network spans across four strategic locations in Hong Kong, providing unparalleled visibility and reach for your target audience. By booking our network, you can reserve the full peak season and save against booking individual windows, making it a cost-effective solution for your marketing needs.

Now, we're excited to announce an exclusive offer for Singles' Day from November 5th to 11th, 2026: HK$120,000 per window. This is a unique opportunity to amplify your brand's presence in Hong Kong and connect with a large and engaged audience.

If you're interested in learning more about how lightfantastic.tv can help SAP Hong Kong Co. Limited achieve its marketing goals, please don't hesitate to reach out. Simply reply to this email or contact us at hello@lightfantastic.tv.

Looking forward to collaborating with you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong - Put your brand on the streets of Hong Kong.",
8,Kingdee International Software Group (HK) Ltd.,+852 2157 9390,http://www.kingdee.com.hk/,asiapac@kingdee.com.hk,4.5,2 reviews,"Unit 1501, 15/F, 18 Harbour Rd, Wan Chai, Hong Kong",90,🔥 High Priority,New,No,2026-07-14 14:53:01,"Here's a professional, persuasive cold email for Kingdee International Software Group (HK) Ltd.:

Subject Line: Elevate Your Brand's Visibility in Hong Kong

Dear Kingdee International Software Group (HK) Ltd. Team,

I came across your business and was impressed by your 4.5-star rating and strong online presence at http://www.kingdee.com.hk/. As a marketing specialist, I know how crucial it is to reach your target audience effectively.

That's where lightfantastic.tv comes in – an innovative out-of-home advertising platform that puts your brand on the streets of Hong Kong. Our network of high-visibility LED displays allows you to capture the attention of millions of potential customers, driving brand awareness and sales.

By partnering with lightfantastic.tv, businesses like yours can increase their visibility, reach new audiences, and stay ahead of the competition. Plus, with our special offer for Singles' Day (November 5-11, 2026), you can reserve a window for just HK$120,000 – a limited-time opportunity to boost your brand's profile at an unbeatable price.

If you're interested in taking your marketing efforts to the next level, I'd love to discuss how lightfantastic.tv can support your business goals. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Best regards,
Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the",
9,Sangfor Technologies (Hong Kong) Limited,+852 3845 5410,https://www.sangfor.com/,Email Not Found,5,18 reviews,"Unit 1612-16, 16/F, The Metropolis Metropolis Tower, 10 Metropolis Dr, Hung Hom, Hong Kong",77,🔥 High Priority,New,No,2026-07-14 14:53:01,"Subject Line: Brighten Up Your Brand in Hong Kong's Bustling Streets

Dear Sangfor Technologies (Hong Kong) Limited Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I've been following your impressive growth story, especially with a 5-star rating on your website. As a leading provider of innovative cybersecurity solutions, your brand deserves to be seen by the right audience in Hong Kong.

That's where lightfantastic.tv comes in – the ultimate out-of-home advertising platform that lets you put your brand on the streets of Hong Kong. Our network of four massive LED windows offers unparalleled visibility and engagement, allowing you to connect with your target audience in a unique and memorable way.

By partnering with us, you can build brand awareness, drive foot traffic, and even boost sales in the city's most vibrant districts. And, with our reserve-the-full-peak-season offer, you can save against booking each window on its own, making it a smart investment for your marketing budget.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026: HK$120,000 per window. This is a rare opportunity to shine your brand in the city's most visible and sought-after advertising spaces.

If you're interested in learning more about this incredible offer or would like to discuss how lightfantastic.tv can help you achieve your marketing goals, please don't hesitate to reach out. Simply",
10,Hong Kong Synergy Software Company Limited,+852 2104 1237,https://www.form-world.hk/,Email Not Found,3,1 reviews,"Enterprise Place, Science Park W Ave, Science Park, Hong Kong",60,⭐ Medium Priority,New,No,2026-07-14 14:53:01,"Subject: Elevate Your Brand's Reach in Hong Kong with lightfantastic.tv

Dear Hong Kong Synergy Software Company Limited,

I came across your company, https://www.form-world.hk/, and was impressed with the innovative solutions you offer. As a business owner operating in Hong Kong, I'm sure you understand the importance of effective advertising that reaches your target audience.

Lightfantastic.tv is a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong. Our four iconic windows offer unparalleled visibility and engagement, allowing you to connect with your customers like never before. By partnering with us, you can reserve the full peak season and save against booking each window on its own, making it an unbeatable value proposition.

Speaking of which, we're excited to announce a special offer for Singles' Day, running from November 5th to 11th, 2026. For a limited time, you can take one of our windows for an unbeatable price of HK$120,000. Don't miss this opportunity to amplify your brand's presence in the heart of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's reach, I invite you to reach out to us at hello@lightfantastic.tv. Our team will be happy to discuss your advertising goals and provide a customized solution that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
""Out-of-home advertising,",
