No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,TREEHOUSE (HCODE),+852 6022 3262,https://www.treehouse.eco/linktreehouse,hello@treehouse.eco,4.7,664 reviews,"Shop 1, Ground Floor, H Code, 45 Pottinger St, Central, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear TREEHOUSE (HCODE) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help TREEHOUSE (HCODE) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
2,Calfit Organic and Healthy Foods (Tsim Sha Tsui East),+852 6763 4720,https://calfit.me/,Email Not Found,4.4,46 reviews,"Shop G18, G/F Empire Centre, 68 Mody Road Tsim Sha Tsui East, Tsim Sha Tsui, Kowloon, Hong Kong",74,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Calfit Organic and Healthy Foods (Tsim Sha Tsui East) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Calfit Organic and Healthy Foods (Tsim Sha Tsui East) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
3,Foodcraft,+852 5917 1181,http://www.foodcraft.hk/,yummy@foodcraft.hk,4.9,165 reviews,"Enter Entrance on, Yiuga Factory Building, Flat A, 16/F, 62 Victoria Road, Sai Ning St, Kennedy Town, Hong Kong Island, Hong Kong",100,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Foodcraft Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Foodcraft grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
4,"SpiceBox Organics - Organic Food Store & Café, Caine Road",+852 2559 9887,https://www.spiceboxorganics.com/,Email Not Found,4.2,30 reviews,"137 Caine Rd, Central, Hong Kong Island, Hong Kong",74,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear SpiceBox Organics - Organic Food Store & Café, Caine Road Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help SpiceBox Organics - Organic Food Store & Café, Caine Road grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
5,Nutrition Kitchen,+852 5192 1292,http://www.nutritionkitchenhk.com/,nk_logos_print.ai_502c6a2d-ae13-4155-80f7-04df31dd7630_150x@2x.png,4.3,234 reviews,"93-103 Wing Lok St, Sheung Wan, Hong Kong Island, Hong Kong",95,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Nutrition Kitchen Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Nutrition Kitchen grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
6,LIFE Organic and Nutrition 創之杰生酮營養食品專門店,+852 2111 8288,https://www.lifex8.com/,Email Not Found,5,289 reviews,"Unit 802-3, 8/F, Exit A2 Station MTR, Hing Lung Commercial Building, 上環文咸東街68號興隆大廈8樓(港鐵上環站A2出口, 68 Bonham Strand, Sheung Wan, Hong Kong Island, Hong Kong",85,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear LIFE Organic and Nutrition 創之杰生酮營養食品專門店 Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help LIFE Organic and Nutrition 創之杰生酮營養食品專門店 grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
7,Fitasty HK,+852 9457 5784,https://www.fitastyhk.com/,hello@fitastyhk.comwhatapp,4.8,51 reviews,"Granville Building, 5/F, Block B, 14 Granville Rd, Tsim Sha Tsui, Kowloon, Hong Kong",97,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Fitasty HK Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Fitasty HK grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
8,Dandy's Organic Cafe,+852 2838 6166,https://www.instagram.com/dandysorganiccafe/,Email Not Found,4.3,280 reviews,"32 Upper Lascar Row, Sheung Wan, Hong Kong Island, Hong Kong",80,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Dandy's Organic Cafe Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Dandy's Organic Cafe grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
9,Crave Healthy Food,+852 8193 0087,http://www.cravehealthyfood.com/,Email Not Found,5,2 reviews,"Kar Ho Building, 35-39 Graham St, Central, Hong Kong Island, Hong Kong",75,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Crave Healthy Food Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Crave Healthy Food grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
10,Eatology - Healthy Food & Diet Meal Plan Delivery,+852 5117 6824,https://www.eatologyasia.com/,Email Not Found,4.5,96 reviews,"3/F, Yiuga Factory Building, 62 Victoria Rd, Kennedy Town, Hong Kong Island, Hong Kong",82,🔥 High Priority,New,No,2026-08-25 08:13:16,"Subject: Grow Your Business with lightfantastic.tv

Dear Eatology - Healthy Food & Diet Meal Plan Delivery Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Eatology - Healthy Food & Diet Meal Plan Delivery grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv",
