No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Connect Dots Limited,+852 9734 8123,http://www.connectdots.com.hk/,Email Not Found,4.6,10 reviews,"Room 1804, 18/F, Office Plus, 93, 103 Wing Lok St, Sheung Wan, Hong Kong",77,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong

Dear Connect Dots Limited Team,

I came across your company, Connect Dots Limited, and was impressed with the 4.6-star rating on your website. It's clear that you're doing something right, and I'd love to introduce you to a unique opportunity to amplify your brand presence in Hong Kong.

At lightfantastic.tv, we're revolutionizing out-of-home advertising with our innovative, large-scale digital displays that captivate audiences across the city. Imagine being able to reserve all four windows for your brand, creating a seamless and impactful visual experience that leaves a lasting impression on your target audience.

Our platform is designed to help businesses like yours increase brand awareness, drive foot traffic, and boost sales. With lightfantastic.tv, you can:

- Reach a massive audience in a highly visible and engaging manner
- Reserve the full peak season and save against booking each window on its own
- Benefit from our cutting-edge technology and expert support team

To celebrate Singles' Day this year, we're offering a special promotion from November 5th to 11th: HK$120,000 per window. This is a limited-time opportunity to elevate your brand's visibility and make a significant impact in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help Connect Dots Limited achieve your marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We",
2,Dotcom Limited,No Phone Number,http://www.dotcom.com.hk/,marvincheng@dotcom.com.hk,N/A,0 reviews,"185 Wan Chai Rd, Wan Chai, Hong Kong",65,⭐ Medium Priority,New,No,2026-07-15 19:21:12,"Subject: Unlock Your Brand's Potential in Hong Kong's Bustling Streets

Hi Dotcom Limited Team,

I came across your website, http://www.dotcom.com.hk/, and was impressed by the innovative services you offer. As a representative from lightfantastic.tv, I believe our out-of-home advertising solutions can help elevate your brand's visibility and reach a wider audience in Hong Kong.

Our LED windows are strategically located in high-foot-traffic areas, providing a unique opportunity for businesses to connect with potential customers. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately boost sales. In fact, many of our clients have seen a significant return on investment through our targeted advertising solutions.

To make the most of this opportunity, we're offering a special promotion during Singles' Day from November 5th to 11th. Book any of our four windows for HK$120,000 per window, and you'll not only be taking advantage of a prime advertising spot but also saving compared to booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help Dotcom Limited reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss further.

Best regards,

Emily Wong
 lightfantastic.tv
 Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
3,Dot Cod Seafood Restaurant & Oyster Bar,+852 2810 6988,https://www.dotcod.com/,info@dotcod.com,4.1,389 reviews,"G/F & 1/F, Takshing House, Theatre Lane, 20 Des Voeux Rd Central, Central, Hong Kong",95,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject Line: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Dot Cod Seafood Restaurant & Oyster Bar,

I hope this email finds you well. As a marketing professional with a keen eye for innovative out-of-home advertising, I'd like to introduce you to lightfantastic.tv – a cutting-edge digital signage platform that's perfect for businesses like yours.

At lightfantastic.tv, we help brands like yours to reach their target audience in the heart of Hong Kong. Our network of high-quality digital screens is strategically located in key areas, ensuring maximum visibility and engagement for your brand. By partnering with us, you can create a lasting impression on your customers, drive foot traffic, and ultimately, boost sales.

Given your 4.1-star rating on TripAdvisor, I'm confident that your restaurant is a popular destination in Hong Kong. To take it to the next level, consider reserving our screens for the peak season with our exclusive offer: reserve all four windows for just HK$400,000.

But, we're excited to announce a special promotion just for Singles' Day (5-11 Nov 2026): book any of our screens at a discounted rate of HK$120,000 per window. This is an unbeatable opportunity to amplify your brand's presence in Hong Kong's bustling streets.

If you're interested in taking your marketing to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd love to",
4,dotdot 德國膠原,+852 6227 6040,https://www.dotdot.com/,hello@gmail.com,4.9,17 reviews,"23 Shell Street, Seabright Plaza, 24/F, Flat G, Causeway Bay, Hong Kong",92,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear dotdot 德國膠原,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv. We're a leading Out-of-Home (OOH) advertising platform that helps businesses like yours capture the attention of Hong Kong's dynamic population.

As a high-end beauty brand with an impressive 4.9-star rating on your website, I believe you're always looking for innovative ways to reach and engage with your target audience. Our digital screens strategically placed across Hong Kong offer a unique opportunity to put your brand on the streets, increasing brand awareness and driving sales.

By advertising with lightfantastic.tv, you can:

- Reserve peak season slots in advance, ensuring maximum visibility for your brand
- Save costs compared to booking individual windows
- Reach a massive audience in one of the world's most densely populated cities

To make it even more exciting, we're offering a special deal this Singles' Day (5-11 Nov 2026): HK$120,000 per window. This is an unbeatable opportunity to elevate your brand presence in Hong Kong.

If you're interested in exploring how lightfantastic.tv can help take your brand to the next level, please don't hesitate to reach out to me directly at hello@lightfantastic.tv. I'd be more than happy to discuss your advertising goals and create a customized solution tailored to",
5,香港心理衞生會 The Mental Health Association of Hong Kong,+852 2528 0196,http://www.mhahk.org.hk/,contact@mhahk.org.hk,4.3,44 reviews,"Mental Health Association Of Hong Kong Jockey Club Building, 2 Kung Lok Rd, Ngau Tau Kok, Hong Kong",89,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject: Unlock the Potential of Out-of-Home Advertising in Hong Kong

Dear 香港心理衞生會 Team at The Mental Health Association of Hong Kong,

I came across your excellent work in promoting mental health awareness in Hong Kong, and I'm impressed by your 4.3-star rating on your website (http://www.mhahk.org.hk/). As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your message and reach a wider audience through our out-of-home advertising solutions.

Our LED screens are strategically placed in four prime locations across Hong Kong, providing a high-visibility platform for your brand to shine. By reserving our screens, you can save against booking individual windows and maximize your marketing impact during peak seasons.

To make it even more compelling, we're offering a special promotion during Singles' Day (5-11 Nov 2026) - book any of our windows at an unbeatable rate of HK$120,000! This is an excellent chance to grab attention and drive engagement with your target audience.

If you're interested in learning more about how lightfantastic.tv can help your organization reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and explore how our solutions can support your goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand",
6,HOT DOT OUTDOOR(太子店),+852 2729 8566,https://www.hotdot.com.hk/,info@hkftu.com.hk,4.8,4 reviews,"Hong Kong, Mong Kok, Prince Edward Rd W, 141號, Edward Mansion",90,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Hi HOT DOT OUTDOOR(太子店) Team,

I hope this email finds you well. As a sales representative from lightfantastic.tv, I've been following your journey and impressive growth (4.8-star rating on your website!). I'm excited to share with you an innovative solution that can take your brand to the next level in Hong Kong's vibrant streets.

At lightfantastic.tv, we specialize in out-of-home advertising, offering a unique opportunity to capture the attention of your target audience. Our network of digital screens allows you to reach a massive audience, increasing brand awareness and driving sales. By partnering with us, you can:

- Boost your brand's visibility in high-traffic areas
- Target specific demographics and interests
- Measure campaign effectiveness with our robust analytics

To make the most of the peak season, we're offering a special promotion just for you: book any of our four windows at an unbeatable price of HK$120,000 per window from November 5th to 11th (Singles' Day). This is a limited-time offer you won't want to miss!

If you're interested in learning more about how lightfantastic.tv can elevate your brand, please reply to this email or reach out to us directly at hello@lightfantastic.tv. We'd be delighted to schedule a call to discuss your goals and create a customized campaign.

Best regards,

Alex Lee",
7,Little DOT Vintage,No Phone Number,https://www.instagram.com/littledot__vintage?igsh=eWpmNDRqZDN4eG9k&utm_source=qr,contact@littledotvintage.com,4.3,27 reviews,"1/F, 47 Granville Rd, Tsim Sha Tsui, Hong Kong",79,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject Line: Elevate Your Brand on the Streets of Hong Kong

Dear Little DOT Vintage Team,

I hope this email finds you well. As a fan of your unique and curated vintage aesthetic on Instagram (https://www.instagram.com/littledot__vintage?igsh=eWpmNDRqZDN4eG9k&utm_source=qr), I wanted to introduce you to an innovative out-of-home advertising solution that can help take your brand to the next level.

At lightfantastic.tv, we offer a cutting-edge digital signage network that reaches millions of people in Hong Kong. Our network of four high-impact windows provides a platform for businesses like yours to showcase their brand, increase brand awareness, and drive foot traffic to your stores. By partnering with us, you can reserve the full peak season and save against booking each window on its own, making it an attractive option for businesses looking to make a lasting impression.

In celebration of Singles' Day, we're offering a special promotion for new bookings from November 5th to 11th. For just HK$120,000 per window, you can elevate your brand's visibility and reach a wider audience. This limited-time offer won't last long, so be sure to act fast.

If you're interested in learning more about how lightfantastic.tv can help Little DOT Vintage grow and thrive, I'd love to set up a call to discuss further. Simply reply to this email or reach out to us at hello",
8,HK Mandarin Tutor Dot Com,+852 9512 1363,No Website,No Website,5,1 reviews,N/A,50,⭐ Medium Priority,New,No,2026-07-15 19:21:12,"Subject Line: Boost Your Brand Visibility in Hong Kong

Dear HK Mandarin Tutor Dot Com,

I came across your business and was impressed with your 5-star rating. As a local business, I believe you understand the importance of effective marketing to reach your target audience. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong, where it matters most.

Our innovative digital displays are strategically located in high-traffic areas, ensuring maximum visibility and engagement with potential customers. By partnering with us, you can increase brand awareness, drive website traffic, and ultimately, boost sales. We've helped numerous businesses in Hong Kong achieve their marketing goals, and I believe we can do the same for HK Mandarin Tutor Dot Com.

To make it even more exciting, we're offering a special promotion for Singles' Day from November 5th to 11th. For just HK$120,000 per window, you can reserve our digital displays and reach a massive audience. This is a limited-time opportunity to elevate your brand's presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss your marketing goals and create a customized plan that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong | Put your brand on the",
9,dot 3D FACTORY,+852 9809 3648,http://www.dot3dfactory.com/,dot3dfactory@gmail.com,5,4 reviews,"Shop A6-7, Block A Sea View Estate, 2 Watson Rd, North Point, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject: Unlock the Power of Out-of-Home Advertising in Hong Kong

Hi dot 3D FACTORY Team,

I came across your website and was impressed by the innovative 3D printing solutions you offer. As a sales representative from lightfantastic.tv, I believe our out-of-home advertising platform can help you reach a wider audience and increase brand visibility in Hong Kong.

Our platform is designed to put your brand on the streets of Hong Kong, literally. By reserving our digital window displays, you can create a lasting impression on passersby and drive foot traffic to your business. With lightfantastic.tv, you can reserve the full peak season and save against booking each window individually.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th: HK$120,000 per window. This is a unique opportunity to boost your brand's visibility at an unbeatable price.

If you're interested in learning more about how lightfantastic.tv can help dot 3D FACTORY, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
10,Green dot dot,+852 9859 6912,http://www.greendotdot.com/,eshop@greendotdot.com,4.5,2 reviews,"2號舖, 港鐵站, Sai Ying Pun, Hong Kong",90,🔥 High Priority,New,No,2026-07-15 19:21:12,"Subject: Put Your Brand on the Streets of Hong Kong with lightfantastic.tv

Hi Green dot dot Team,

I came across your business at http://www.greendotdot.com/ and was impressed by your 4.5-star rating. As a leader in out-of-home advertising in Hong Kong, I'd like to introduce you to lightfantastic.tv - a unique opportunity to take your brand to the streets of our vibrant city.

Our digital billboard network, lightfantastic.tv, offers a chance to engage with a massive audience in a highly visible and effective way. By reserving our four windows, you can reach a wider audience and increase brand awareness for your business. Plus, by booking all four windows at once, you can save compared to booking each window individually.

To celebrate Singles' Day, we're offering an exclusive deal from November 5th to 11th: HK$120,000 per window. This is a limited-time opportunity to showcase your brand to thousands of people in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help Green dot dot reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
