No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Hong Kong Medical Supplies Ltd,+852 2806 3112,https://www.hongkongmedical.com.hk/,products@hkmedsup.com.hk,N/A,0 reviews,"China Aerospace Centre, 143號 Hoi Bun Rd, Kwun Tong, Hong Kong",75,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear Hong Kong Medical Supplies Ltd,

I came across your website, https://www.hongkongmedical.com.hk/, and was impressed by the quality of services you offer to the medical community in Hong Kong. As a representative of lightfantastic.tv, I'd like to introduce you to a unique opportunity to amplify your brand's reach and visibility in the city.

Lightfantastic.tv offers a cutting-edge out-of-home advertising platform that allows you to put your brand on the streets of Hong Kong, literally. Our network of high-impact screens and displays reaches millions of people daily, making it an ideal channel for businesses like yours to connect with your target audience.

By partnering with lightfantastic.tv, you can effectively increase brand awareness, drive foot traffic to your stores, and even boost online engagement. Our platform is designed to be flexible and adaptable to your specific marketing goals and objectives.

In celebration of Singles' Day, we're offering a special promotion from November 5th to 11th, 2026. You can secure any of our high-impact windows for a discounted rate of HK$120,000. This is a limited-time opportunity to reserve the full peak season and save against booking each window on its own.

If you're interested in learning more about how lightfantastic.tv can support your business goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be"
2,The London Medical Clinic,+852 2537 6898,http://www.thelondonmedicalclinic.com/,Email Not Found,4.6,66 reviews,"9th Floor, Duddell St, Central, Hong Kong",82,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Unlock the Full Potential of Out-of-Home Advertising in Hong Kong

Dear The London Medical Clinic Team,

I hope this email finds you well. My name is Emily, and I'm a sales representative from lightfantastic.tv, Hong Kong's premier out-of-home advertising platform. As a leading healthcare provider in Hong Kong, I'm excited to learn more about your marketing efforts and explore how we can help you reach new heights.

At lightfantastic.tv, we specialize in providing unparalleled visibility for businesses like yours, putting your brand on the streets of Hong Kong through our network of iconic digital screens. By partnering with us, you can effectively increase brand awareness, drive foot traffic, and ultimately, grow your customer base. Our cutting-edge technology and strategic placement ensure that your message reaches the right audience at the right time.

To make the most of the peak season, we're offering an exclusive deal for the upcoming Singles' Day (November 5-11, 2026). For HK$120,000 per window, you can reserve a prime spot on our screens and enjoy maximum exposure during this high-traffic period.

If you're interested in learning more about how lightfantastic.tv can elevate your marketing strategy, please don't hesitate to reach out to me directly at hello@lightfantastic.tv. I'd be more than happy to schedule a call to discuss your goals and create a tailored solution that meets your needs.

Looking forward to hearing from you soon.

Best regards,

Emily"
3,Hong Kong Health Check & Medical Diagnostic Group - Central,+852 2537 6698,No Website,No Website,1.4,22 reviews,"6 樓601 室, 20 號 Queen's Road Central, Central, Hong Kong",44,⭐ Medium Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Visibility in the Heart of Hong Kong

Dear Hong Kong Health Check & Medical Diagnostic Group - Central Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I'm reaching out to you today because I believe our innovative out-of-home advertising solutions could help elevate your business's presence in the vibrant city of Hong Kong.

At lightfantastic.tv, we specialize in transforming the streets of Hong Kong into a dynamic canvas for brands like yours. Our unique digital screens are strategically placed in high-traffic areas, providing unparalleled exposure to your target audience. By partnering with us, you'll be able to connect with potential customers in a way that's both engaging and memorable.

In today's competitive market, it's essential to stay top-of-mind with your audience. That's where we can help. Our platform allows you to reserve ad space for the entire peak season in advance, saving you money compared to booking individual windows. Plus, with our current Singles' Day promotion (5-11 Nov 2026), you can secure a stunning 4-window package for just HK$480,000 – an unbeatable deal at HK$120,000 per window!

If you're interested in learning more about how lightfantastic.tv can help your business thrive, I invite you to reach out to me directly at hello@lightfantastic.tv. Let's schedule a call to discuss how our innovative solutions can take your brand to the next level"
4,HK Asia Medical Centre,No Phone Number,No Website,No Website,5,1 reviews,"4/F Nathan Rd, Mong Kok, Hong Kong",45,⭐ Medium Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Brand in the Heart of Hong Kong

Dear HK Asia Medical Centre Team,

I came across your excellent 5-star rating and was impressed by the quality of care you provide to the community. As a representative from lightfantastic.tv, I'd like to introduce our innovative outdoor advertising solution that can help you reach a wider audience and increase brand awareness.

Our LED displays are strategically located in prime areas of Hong Kong, allowing you to showcase your brand to millions of potential customers. By partnering with us, you can effectively communicate your message, build brand loyalty, and drive foot traffic to your medical centre.

To help you make the most of the upcoming peak season, we're offering an exclusive promotion during this year's Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can reserve a spot on our displays and reach a vast audience. This is a unique opportunity to save against booking each window individually, and we believe it's a great way to amplify your marketing efforts.

If you're interested in learning more about this special offer or would like to discuss how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to schedule a call and explore how we can help you achieve your marketing goals.

Best regards,

[Your Name]
Sales Representative
lightfantastic.tv
""Out-of-home advertising, Hong Kong. Put"
5,"港怡醫院醫健診所(中環) Gleneagles Medical Clinic Central, Hong Kong",+852 2810 9188,https://gleneagles.hk/clinic/gleneagles-medical-clinic/about-the-clinic,Email Not Found,4,16 reviews,"Unit 2008B, 20/F, New World Tower, 1 16-18 Queen's Road Central, Central, Hong Kong",72,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Brand's Visibility in Hong Kong's Bustling Streets

Dear 港怡醫院醫健診所(中環) Gleneagles Medical Clinic Central, Hong Kong Team,

I came across your esteemed medical clinic and was impressed by your commitment to providing top-notch healthcare services in the heart of Hong Kong. At lightfantastic.tv, we specialize in outdoor advertising solutions that help businesses like yours reach a wider audience and build brand awareness.

Our digital billboard network spans across four major locations in Hong Kong, making it an ideal platform for you to connect with your target audience. By reserving our full peak season, you can save significantly compared to booking individual windows. Our rates are HK$400,000 for the entire season, offering a cost-effective solution for your marketing needs.

To celebrate Singles' Day, we're offering a limited-time promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can take advantage of our premium advertising spaces and reach millions of potential customers. This is an unbeatable opportunity to elevate your brand's visibility and drive traffic to your clinic.

If you're interested in learning more about our outdoor advertising solutions or would like to reserve your spot, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative"
6,Quality HealthCare Medical Centre (Mongkok-Wai Fung Plaza)卓健醫療中心,+852 2390 3398,https://www.qhms.com/en/services/general-practice/C0120,u003eqsmart@qhms.com,4.6,850 reviews,"8/F, 664 Nathan Rd, Mong Kok, Hong Kong",100,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Brand's Visibility in Hong Kong

Dear Quality HealthCare Medical Centre (Mongkok-Wai Fung Plaza) Team,

I came across your excellent medical services and noticed the great work you're doing in Mongkok. Our team at lightfantastic.tv is passionate about empowering businesses like yours to reach their target audience effectively through out-of-home advertising.

By partnering with us, you'll be able to put your brand on the streets of Hong Kong, increasing visibility and awareness among potential patients. Our network of digital screens across the city can help drive foot traffic to your medical center, making it easier to reach new customers.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. For just HK$120,000 per window, you can reserve our screens and make the most of the peak season. This is an excellent opportunity to reserve the full season and save against booking each window individually.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, I'd be happy to set up a call to discuss further. Please reply to this email at hello@lightfantastic.tv or give me a call at your convenience.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong."
7,Hong Kong Emergency Medicine Centre(TST) 香港急症中心(尖沙咀診所),+852 6511 8000,https://www.emchk.com/,brian@onescript.com.hk,3,8 reviews,"Hong Kong, Tsim Sha Tsui, Canton Rd, 33號, TST, Kowloon, China Hong Kong City Block 3, Room 13-15A, 12/F, Tower",77,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Brand Visibility in Hong Kong with Lightfantastic.tv

Dear Hong Kong Emergency Medicine Centre(TST) 香港急症中心(尖沙咀診所) Team,

I came across your esteemed medical centre and was impressed by the quality of care you provide to your patients. As a representative from lightfantastic.tv, our mission is to help businesses like yours connect with their target audience through effective out-of-home advertising.

Our unique digital signage network offers a versatile platform for businesses to showcase their brand, products, or services to thousands of potential customers in the heart of Hong Kong. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately, enhance your reputation in the community.

To coincide with the upcoming Singles' Day promotional period from 5 to 11 November 2026, we're offering an exclusive deal: HK$120,000 per window. This is an ideal opportunity to reserve your spot and enjoy significant savings compared to booking each window individually.

To take advantage of this limited-time offer, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our dedicated team will be more than happy to discuss the details and answer any questions you may have.

Thank you for considering lightfantastic.tv as your partner in advertising. We look forward to the possibility of working together.

Best regards,

Emily Wong
Business Development Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets"
8,中卓醫務 (中環-中建大廈) | Hong Kong Medical Consultants HKMC (Central),+852 2219 9992,http://www.hkmedicalconsultants.com/,copy@4x-100.jpg,3.4,10 reviews,"Hong Kong, Central, Pedder St, 9樓, Central Building, 9 Floor",77,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Boost Your Business with Lightfantastic.tv

Dear 中卓醫務 (中環-中建大廈) | Hong Kong Medical Consultants HKMC Team,

I came across your website, http://www.hkmedicalconsultants.com/, and noticed that you're a reputable medical consulting service in Central, Hong Kong. As a business owner, you're likely looking for effective ways to reach new customers and increase brand visibility.

That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that puts your brand on the streets of Hong Kong. With our unique digital displays, you can reserve a full peak season and save against booking each window individually. This means you can maximize your brand's exposure without breaking the bank.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th: HK$120,000 per window. This is a fantastic opportunity to take advantage of our premium advertising space at a discounted price.

If you're interested in learning more about how lightfantastic.tv can help your business grow, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be happy to discuss your advertising goals and tailor a solution that suits your needs.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong"
9,M+ Medical Plus 醫嘉醫療,+852 6993 9952,https://medicalplushk.com/,Website Unreachable,5,2 reviews,"Hong Kong, Tsim Sha Tsui, Canton Rd, 122 - 126號, China Hong Kong Centre, 16/F",75,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Unlock the Power of Outdoor Advertising in Hong Kong

Dear M+ Medical Plus 醫嘉醫療 Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. We help businesses like yours reach and engage with their target audience in a unique and impactful way.

As a reputable healthcare provider with a 5-star rating, I believe your brand deserves to be seen on the streets of Hong Kong. Our platform offers an effective way to increase brand visibility, drive foot traffic, and build trust with your customers. With lightfantastic.tv, you can reserve all four windows for a fixed price of HK$400,000, saving you money compared to booking each window individually.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th. For just HK$120,000 per window, you can take advantage of our premium advertising space and reach a wider audience. Don't miss this opportunity to elevate your brand presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help M+ Medical Plus 醫嘉醫療, please don't hesitate to reach out to me directly at hello@lightfantastic.tv.

Best regards,

Emily
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong."
10,新醫療中心 New Medical Center Hong Kong,+852 2398 1133,http://www.tnmc.com.hk/,enquiry@tnmc.com.hk,4.2,6 reviews,"Hong Kong, Tsim Sha Tsui, Nathan Rd, 132號, Unit 1708-1710, 17/F, Miramar Shopping Centre",87,🔥 High Priority,New,No,2026-07-10 11:27:49,"Subject: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear 新醫療中心 New Medical Center Hong Kong Team,

I came across your esteemed medical center and was impressed by your 4.2-star rating on the web. As a representative of Lightfantastic.tv, I'd like to introduce our innovative out-of-home advertising solution that can effectively reach and engage your target audience in Hong Kong.

Our platform offers a unique opportunity to put your brand on the streets, literally, by utilizing our network of high-visibility digital screens. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately, boost your business's growth.

Imagine being able to reserve all four windows of our platform for a fixed price of HK$400,000, saving you money compared to booking each window individually. Our solution is perfect for forward-thinking businesses like yours, looking to make a lasting impression on the Hong Kong market.

As a special offer, we're excited to announce our Singles' Day promotion, taking place from November 5th to 11th, 2026. For this period, you can enjoy an exclusive rate of HK$120,000 per window. Don't miss this chance to shine your brand in front of a captive audience.

If you're interested in learning more about how Lightfantastic.tv can help elevate your brand's visibility in Hong Kong, please reply to this email at hello@lightfantastic.tv. We look forward to discussing"
