No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Hutchison Telecommunications Hong Kong Holdings Ltd.,+852 2128 2828,https://web.three.com.hk/plans/5g/index.html?cmpid=sem_google_5gplan_250303_nil_brand_campaign&gad_source=1&gad_campaignid=21420631580&gbraid=0AAAAADJBQZprLIuoUfOLsMh9RGhw1_b8D&gclid=CjwKCAjwyb3DBhBlEiwAqZLe5Hu9TRm5t3srLHqloRb2uolQzXpHaXnE7TBGN_WQSEWmXPwCdry6QBoCNZwQAvD_BwE,email@domain.com,3.5,21 reviews,"99 Cheung Fai Rd, Tsing Yi, Hong Kong",84,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets with Lightfantastic.tv

Dear Hutchison Telecommunications Hong Kong Holdings Ltd. Team,

I hope this email finds you well. My name is Emily Wong, and I represent lightfantastic.tv, the premier out-of-home advertising platform in Hong Kong. We help businesses like yours put their brand on the streets of Hong Kong, reaching a vast and engaged audience.

At lightfantastic.tv, we understand the importance of effective branding and advertising in today's competitive market. Our platform offers a unique opportunity for businesses to reserve all four windows for HK$400,000, saving you money compared to booking each window individually. This strategic move ensures your brand is consistently visible to your target audience throughout the peak season.

As a valued business in the telecommunications industry, I'd like to draw your attention to our exclusive Singles' Day offer, running from 5 to 11 November 2026. For just HK$120,000 per window, you can amplify your brand's presence in Hong Kong's bustling streets. This limited-time opportunity won't last long, so I encourage you to take advantage of it today.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's visibility in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss your advertising needs and explore how we can help you achieve your marketing goals.

Best regards,"
2,香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡,+852 6234 1999,http://www.hkesim.com.hk/,Email Not Found,5,10 reviews,"Hong Kong, Mong Kok, Argyle St, 83號, 地下G93鋪",77,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject Line: Elevate Your Brand's Visibility in Hong Kong's Bustling Streets

Dear 香港eSIM信豐電訊 電話卡批發及零售 Team,

I came across your business, 香港eSIM信豐電訊 電話卡批發及零售, and was impressed by your commitment to providing a wide range of international phone cards to customers in Hong Kong. As a business owner, I'm sure you're always looking for innovative ways to reach and engage with your target audience.

Lightfantastic.tv is an out-of-home advertising platform that allows you to put your brand on the streets of Hong Kong, literally! Our digital screens are strategically located in high-traffic areas, ensuring that your message reaches the right people at the right time. By partnering with us, you can increase brand awareness, drive foot traffic, and ultimately drive sales.

During the upcoming Singles' Day (5-11 Nov 2026), we're offering an exclusive promotion: HK$120,000 per window for a limited time. This is a fantastic opportunity to reserve the full peak season and save against booking each window on its own.

If you're interested in learning more about how lightfantastic.tv can help elevate your brand's visibility in Hong Kong, I'd love to hear from you. Simply reply to this email at hello@lightfantastic.tv or give me a call to discuss further.

Looking forward to potentially partnering with you to bring your brand to life in the heart"
3,First Telecom (Hong Kong) Limited,+852 2310 4123,http://firsttelecom.com.hk/,Email Not Found,3,2 reviews,"10樓D室, Effort Industrial Centre, 2-8號 Kung Yip St, Kwai Chung, Hong Kong",60,⭐ Medium Priority,New,No,2026-07-10 09:28:11,"Subject: Unlock Peak Season Visibility for First Telecom (Hong Kong) Limited

Dear First Telecom (Hong Kong) Limited Team,

I hope this email finds you well. My name is Emily Wong, and I am a sales representative from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. We take pride in helping businesses like yours reach their target audience and achieve their marketing goals.

At lightfantastic.tv, we offer an unparalleled opportunity to amplify your brand's presence across Hong Kong's vibrant streets. By utilizing our extensive network of high-impact digital screens, you can effectively grab the attention of potential customers and drive engagement.

Given your business's commitment to innovation and customer satisfaction, we believe our platform can greatly benefit First Telecom (Hong Kong) Limited. Our unique approach to out-of-home advertising enables you to reserve the full peak season and save against booking each window on its own.

To celebrate the upcoming Singles' Day, we're offering a special promotion: from 5 to 11 November 2026, you can reserve one of our coveted windows for just HK$120,000. This is a remarkable opportunity to elevate your brand's visibility and reach a wider audience.

If you're interested in exploring how lightfantastic.tv can support your marketing objectives, please don't hesitate to contact me directly at hello@lightfantastic.tv. I'd be more than happy to discuss your needs and provide a personalized quote.

Looking forward to connecting with you soon.

Best regards,"
4,Telin Hong Kong,+852 3102 3309,No Website,No Website,3.6,7 reviews,"Suite 910-911, 9/F, Ocean Center, 5 Canton Rd, Tsim Sha Tsui, Hong Kong",47,⭐ Medium Priority,New,No,2026-07-10 09:28:11,"Subject: Reach a Captive Audience in Hong Kong with LightFantastic.tv

Dear Telin Hong Kong,

I came across your business and was impressed by your commitment to delivering quality services. As a fellow professional in the industry, I'd like to introduce you to an innovative out-of-home advertising solution that can help you reach a broader audience in Hong Kong - lightfantastic.tv.

Our digital billboard network comprises of four strategically located windows that offer unparalleled visibility to over 1.5 million daily commuters. By partnering with us, you can effectively enhance brand awareness, drive traffic, and engage with your target audience in a unique and impactful way.

At lightfantastic.tv, we understand the challenges businesses like yours face in cutting through the noise and reaching potential customers. That's why we've designed our platform to provide flexible booking options, ensuring you can reserve the full peak season and save against booking each window on its own.

To make it even more compelling, we're offering a special promotion for Singles' Day (5-11 Nov 2026) - HK$120,000 per window. This is a limited-time opportunity to elevate your brand's presence in Hong Kong without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can benefit your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to schedule a call and explore how our innovative solution can help you achieve your marketing objectives.

Best regards,

Emily"
5,China Telecom Global Limited,+852 2877 9777,https://www.chinatelecomglobal.com/,cs@chinatelecomglobal.com,4.2,16 reviews,"Gloucester Rd, Wan Chai, Hong Kong",87,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject: Amplify Your Brand in Hong Kong with Lightfantastic.tv

Dear China Telecom Global Limited Team,

I hope this email finds you well. As the leading provider of out-of-home advertising solutions in Hong Kong, I'm excited to introduce you to lightfantastic.tv, a cutting-edge platform that helps businesses like yours reach and engage with the city's vibrant audience.

With lightfantastic.tv, you can showcase your brand on four strategically located digital screens, providing maximum visibility and reach. Our platform is designed to help businesses like yours build brand awareness, drive customer engagement, and ultimately, drive sales.

By partnering with us, you'll not only save against booking each window on its own but also reserve the full peak season in advance. This ensures that your brand stays top-of-mind with your target audience throughout the year.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. Book any of our windows during this period and enjoy an unbeatable rate of HK$120,000 per window. Don't miss this opportunity to amplify your brand's presence in Hong Kong.

If you're interested in learning more about lightfantastic.tv and how we can help China Telecom Global Limited achieve your marketing goals, please reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss further and provide you with a personalized quote.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising"
6,China-Hongkong Telecom Limited,+852 6510 2952,http://www.chkt.hk/,cs@chkt.hk,3,1 reviews,"369-375號 Des Voeux Rd Central, Sheung Wan, Hong Kong",75,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject: Elevate Your Brand Visibility in Hong Kong with Lightfantastic.tv

Dear China-Hongkong Telecom Limited Team,

I came across your website (http://www.chkt.hk/) and was impressed with the quality of services you offer. As a respected business in Hong Kong, you're likely looking for innovative ways to reach your target audience and increase brand recognition.

Lightfantastic.tv is a cutting-edge out-of-home advertising platform that can help you achieve just that. By advertising on our network, you can reach a massive audience and create a lasting impression on the streets of Hong Kong. Our unique window displays are strategically located in prime spots, ensuring maximum visibility for your brand.

During peak seasons, it can be challenging to secure high-traffic areas for advertising. That's why we're offering a special promotion just in time for the Singles' Day sales event (5-11 Nov 2026). For a limited time, you can reserve our windows for an unbeatable price of HK$120,000 per window.

Don't miss this opportunity to elevate your brand's visibility and drive sales. To reserve your spot, simply reply to this email at hello@lightfantastic.tv or visit our website for more information.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
7,CITIC Telecom International CPC Limited,+852 2170 7401,http://www.citictel-cpc.com/,sgoffice@citictel-cpc.com,5,1 reviews,"20/F, 979 King's Rd, Quarry Bay, Hong Kong",90,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear CITIC Telecom International CPC Limited Team,

I came across your company, http://www.citictel-cpc.com/, and was impressed with your 5-star rating. As a leading out-of-home advertising platform in Hong Kong, lightfantastic.tv aims to help businesses like yours reach a wider audience and boost brand awareness.

Our network of LED screens strategically positioned across Hong Kong's busiest areas provides unparalleled exposure for your brand. By partnering with us, you can effectively engage your target audience, drive foot traffic, and ultimately drive sales. Our flexible advertising solutions cater to businesses of all sizes, ensuring that you can tailor your campaign to meet your specific needs.

To help you make the most of the peak season, we're offering an exclusive promotion for Singles' Day from November 5th to 11th, 2026. Book any of our four windows for just HK$120,000, a significant discount from our usual rate.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's visibility in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
8,Telecom House,No Phone Number,No Website,No Website,3.8,72 reviews,"Gloucester Rd, Wan Chai, Hong Kong",42,⭐ Medium Priority,New,No,2026-07-10 09:28:11,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Telecom House Team,

I came across your business and was impressed with your 3.8-star rating. As a local business, you understand the importance of being visible in the market, and that's where we come in. At lightfantastic.tv, we specialize in out-of-home advertising that connects your brand with the hearts of Hong Kong's residents.

Our innovative platform offers a unique opportunity to reach a massive audience through our network of digital signs across the city. By partnering with us, you'll be able to increase brand awareness, drive foot traffic, and ultimately boost sales. Our data-driven approach ensures that your message is targeted to the right people at the right time.

We're excited to announce a special offer exclusively for you during Singles' Day from November 5th to 11th. For a limited time, book any of our windows for just HK$120,000. This is a fantastic opportunity to reserve the full peak season and save against booking each window on its own.

If you're ready to take your brand to the next level, I'd love to discuss how lightfantastic.tv can help you achieve your marketing goals. Simply reply to this email or reach out to us directly at hello@lightfantastic.tv.

Looking forward to hearing from you.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong"
9,Galaxy Telecom (Hong Kong) Limited,+852 2343 4400,https://www.gsmtele.com/,hk@gsmtele.com,3.4,5 reviews,"26樓12-22室, 1 Hung To Road, Hung To Rd, Kwun Tong, Hong Kong",77,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject: Elevate Your Brand's Visibility in Hong Kong with lightfantastic.tv

Dear Galaxy Telecom (Hong Kong) Limited Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, a leading out-of-home advertising platform in Hong Kong. We specialize in providing businesses like yours with innovative and effective ways to reach their target audience on the streets of Hong Kong.

At lightfantastic.tv, we understand that building brand awareness and driving customer engagement is crucial for businesses in today's competitive market. That's why we offer a unique solution that allows you to reserve all four windows on our platform at an unbeatable price of HK$400,000. This not only saves you money but also ensures that your brand is visible throughout the city.

However, we're excited to announce a special offer just for you. To celebrate Singles' Day, from November 5th to 11th, 2026, we're offering a limited-time promotion of HK$120,000 per window. This is a fantastic opportunity for Galaxy Telecom (Hong Kong) Limited to take your brand to the next level and reach a wider audience.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to schedule a call to discuss your marketing goals and how our platform can help you achieve them.

Best regards,

Emily
Sales Representative"
10,Plasa GraPARI Hong Kong,+852 2890 1230,https://kartuas2in1.hk/about/,as2in1@telin.hk,4.6,36 reviews,"Shop 2, G/F, 9 - 15 Yee Wo St, Causeway Bay, Hong Kong",94,🔥 High Priority,New,No,2026-07-10 09:28:11,"Subject: Elevate Your Brand in Hong Kong's Bustling Streets

Dear Plasa GraPARI Hong Kong Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv, Hong Kong's premier out-of-home advertising platform. We help businesses like yours shine a light on their brand, literally.

At lightfantastic.tv, we take pride in our unique, full-screen digital display that can be reserved for the entire peak season, saving you money compared to booking each window individually. Imagine projecting your brand's message to hundreds of thousands of potential customers in the heart of Hong Kong, 24/7.

As a forward-thinking company with a strong online presence (4.6-star rating on your website!), I believe Plasa GraPARI Hong Kong would greatly benefit from our innovative advertising solution. Our platform allows you to reach a wider audience, increase brand awareness, and drive sales.

To make it even more exciting, we're offering a special promotion for Singles' Day (5-11 Nov 2026): HK$120,000 per window, a discounted rate that's perfect for businesses looking to make a lasting impression.

If you're interested in learning more about how lightfantastic.tv can elevate your brand in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd love to schedule a call to discuss your advertising goals and show you how our platform can help you"
