No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Battery-HK,+852 9777 9874,https://www.facebook.com/BatteryHK.DysonRepair,Email Not Found,4.6,95 reviews,"Hong Kong, Sham Shui Po, Fuk Wa St, 161-175號, 福仁電腦商場 1樓42鋪",82,🔥 High Priority,New,No,2026-07-10 10:37:41,"Subject: Unlock Peak Season Success with lightfantastic.tv

Hi Battery-HK Team,

I hope this email finds you well. I came across your fantastic work on Facebook and was impressed by your 4.6-star rating - a testament to your commitment to exceptional service. As a representative from lightfantastic.tv, I'd like to introduce you to a unique opportunity to elevate your brand presence in Hong Kong's vibrant streets.

Our out-of-home advertising platform, lightfantastic.tv, offers a flexible and cost-effective way to reach your target audience. By reserving our windows, you can reserve the full peak season and save against booking each window individually. Our platform is designed to help businesses like yours increase brand awareness, drive foot traffic, and boost sales.

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th, 2026: HK$120,000 per window. This is a limited-time offer you won't want to miss.

If you're interested in learning more about how lightfantastic.tv can help Battery-HK shine in Hong Kong, I'd love to schedule a call to discuss further. Simply reply to this email or reach out to hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv 
Out-of-home advertising, Hong Kong 
Put your brand on the streets of Hong Kong."
2,電池達人BatteryDarenHK,+852 9695 1268,No Website,No Website,5,12 reviews,"Hong Kong, Tsim Sha Tsui, Hillwood Rd",57,⭐ Medium Priority,New,No,2026-07-10 10:37:41,"Subject: Unlock Your Brand's Potential in Hong Kong's Vibrant Streets

Hi 電池達人BatteryDarenHK Team,

I came across your business and noticed that you're a top-rated brand in the community. I'd like to introduce you to lightfantastic.tv, a cutting-edge out-of-home advertising platform that can help take your brand to new heights.

Our platform offers a unique opportunity for businesses like yours to reach a vast audience in Hong Kong's bustling streets. With lightfantastic.tv, you can reserve a full peak season or book individual windows to maximize your brand's visibility.

As we approach Singles' Day, we're excited to announce a special offer just for you. From November 5th to 11th, 2026, you can grab a window for an unbeatable price of HK$120,000. This is a rare chance to save and make a lasting impression on Hong Kong's streets.

To take advantage of this offer, simply reply to this email at hello@lightfantastic.tv. Our team will be happy to guide you through the process and help you find the perfect window for your brand.

Looking forward to helping you shine on Hong Kong's streets!

Best regards,
Emily Wong
Sales Representative
lightfantastic.tv
Your partner in out-of-home advertising, Hong Kong."
3,Universal Battery,+852 2330 2204,https://acdelco.com.hk/distributors/%E7%92%B0%E7%90%83%E6%B1%BD%E8%BB%8A%E9%9B%BB%E6%B1%A0%E9%9B%BB%E5%99%A8%E5%86%B7%E6%B0%A3%E5%85%AC%E5%8F%B8,Email Not Found,4.5,133 reviews,"Lucky Court, 38號 Mok Cheong St, To Kwa Wan, Hong Kong",85,🔥 High Priority,New,No,2026-07-10 10:37:41,"Subject Line: Unlock the Power of Out-of-Home Advertising in Hong Kong

Dear Universal Battery Team,

I came across your company, Universal Battery, and was impressed by your 4.5-star rating and commitment to providing top-notch products to your customers. As a distributor for ACDelco, your expertise in the automotive industry is truly commendable.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our unique LED displays offer a seamless viewing experience, grabbing the attention of passersby and leaving a lasting impression. By partnering with us, you can increase brand recognition, drive foot traffic, and ultimately boost sales.

During the peak season, reserving our entire network of LED displays can provide significant cost savings compared to booking individual windows. However, we're excited to announce a special offer just for you: take advantage of our Singles' Day promotion from November 5th to 11th, 2026, and enjoy HK$120,000 per window – a rare opportunity to make a big impact on the streets of Hong Kong at an unbeatable price.

If you're interested in learning more about how lightfantastic.tv can elevate your marketing strategy, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team is eager to discuss the possibilities and create a custom solution that suits your business goals.

Looking forward to hearing from you soon.

Best regards,

Emily Wong
Sales Representative"
4,Battery Collection Limited,+852 2728 6050,https://batterycollection.com.hk/,bcl@batterycollection.com.hk,3.3,10 reviews,"Hong Kong, Mong Kok, Nathan Rd, 610號, 荷李活商業中心11樓1108室",77,🔥 High Priority,New,No,2026-07-10 10:37:41,"Subject: Unlock the Potential of Hong Kong's Streets with lightfantastic.tv

Dear Battery Collection Limited Team,

I came across your business, Battery Collection Limited, and was impressed by your commitment to providing top-notch battery collection services in Hong Kong. As a sales representative from lightfantastic.tv, I'd like to introduce you to a unique out-of-home advertising opportunity that can help take your brand to the next level.

Our platform, lightfantastic.tv, offers a chance to reserve all four windows in Hong Kong's busiest areas for a fraction of the cost of booking each window individually. This not only saves you money but also ensures your brand is consistently visible to your target audience throughout the peak season.

At lightfantastic.tv, we believe that outdoor advertising shouldn't break the bank. That's why we're excited to announce our special offer for Singles' Day, from November 5th to 11th, 2026. For HK$120,000 per window, you can put your brand on the streets of Hong Kong and reach a massive audience.

Don't miss out on this amazing opportunity to elevate your brand's visibility and reach new customers. If you're interested in learning more about how lightfantastic.tv can help Battery Collection Limited, please don't hesitate to reach out to me at hello@lightfantastic.tv.

I look forward to hearing from you and exploring how we can collaborate to drive business growth.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv"
5,Hong Kong Batteries Manufactory Limited,+852 2798 8548,No Website,No Website,5,1 reviews,"Kam Hon Industrial Building, Wang Kwun Rd, Kowloon Bay, Hong Kong",55,⭐ Medium Priority,New,No,2026-07-10 10:37:41,"Subject: Unlock Hong Kong's Streets with Lightfantastic.tv

Dear Hong Kong Batteries Manufactory Limited Team,

I came across your business and was impressed with your 5-star rating. I'd love to introduce you to lightfantastic.tv, your partner in reaching the heart of Hong Kong's vibrant streets.

Our out-of-home advertising platform offers an unparalleled opportunity to put your brand in front of thousands of potential customers. Imagine having your message displayed on four high-impact windows for a fraction of the cost of traditional advertising methods. With lightfantastic.tv, you can reserve the entire peak season and save significantly compared to booking each window individually.

To celebrate Singles' Day, we're offering an exclusive deal for businesses like yours. Book any or all of our four windows from November 5th to 11th and enjoy an unbeatable rate of HK$120,000 per window. This is a rare chance to amplify your brand's presence in the city without breaking the bank.

If you're interested in learning more about how lightfantastic.tv can elevate your marketing efforts, please reply to this email at hello@lightfantastic.tv. Our team would be delighted to discuss the details and explore how we can help your business shine.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Unlock the streets of Hong Kong with out-of-home advertising. Put your brand on the map."
6,GP Battery Marketing (HK) Ltd,No Phone Number,https://tc.hk.gpbatteries.com/pages/contacts,gpbmhk@goldpeak.com,2.6,9 reviews,"16 Science Park W Ave, Science Park, Hong Kong",67,⭐ Medium Priority,New,No,2026-07-10 10:37:41,"Subject: Unlock Peak Season Advertising Opportunities in Hong Kong

Hi GP Battery Marketing (HK) Ltd Team,

I hope this email finds you well. My name is [Your Name] and I'm a sales representative at lightfantastic.tv. As an expert in out-of-home advertising, I've been following your business and was impressed by the high-quality products and services you offer to the Hong Kong market.

At lightfantastic.tv, we help businesses like yours to reach and engage with their target audience in a unique and effective way. Our innovative window displays are strategically located in prime areas of Hong Kong, providing unparalleled visibility and brand awareness.

To take your marketing efforts to the next level, I'd like to introduce you to our special offer for Singles' Day, happening from November 5th to 11th. For a limited time, you can reserve our entire window inventory for just HK$120,000 per window. This unbeatable deal allows you to secure the peak season and save against booking each window individually.

Don't miss this opportunity to elevate your brand presence in Hong Kong. If you're interested in learning more about how lightfantastic.tv can support your marketing goals, please reply to this email at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong"
7,Chung Pak Battery Works Limited,+852 2717 1338,No Website,No Website,N/A,0 reviews,"Hong Kong, 油塘灣 Cho Yuen St, 四號華順工業大廈二樓B室",40,⭐ Medium Priority,New,No,2026-07-10 10:37:41,"Subject: Elevate Your Brand on Hong Kong's Streets

Dear Chung Pak Battery Works Limited Team,

I came across your business and thought you might be interested in an innovative out-of-home advertising solution that can help take your brand to the next level. At lightfantastic.tv, we specialize in capturing the attention of Hong Kong's busy streets with our cutting-edge digital displays. Our unique platform allows you to reach a vast and engaged audience, driving brand awareness and foot traffic to your business.

As a leading provider of out-of-home advertising in Hong Kong, we understand the importance of effective brand promotion. Our platform can help you reach a wider audience, increase brand visibility, and ultimately drive sales. With our flexible advertising options, you can tailor your marketing strategy to suit your business goals and budget.

To help you make the most of the peak season, we're excited to offer a special promotion for Singles' Day from November 5th to 11th. For just HK$120,000 per window, you can reserve a prime spot and save on individual bookings. This is an incredible opportunity to elevate your brand and connect with your target audience during one of the busiest periods of the year.

If you're interested in learning more about how lightfantastic.tv can help your business, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be happy to discuss your marketing goals and provide a customized quote.

Best regards,

Emily Wong
Sales Representative
light"
8,香港eSIM信豐電訊 電話卡批發及零售/大陸電話/歐洲電話卡/歐洲電話卡/日本電話卡/台灣電話卡/美國電話卡/泰國電話/韓國電話卡,+852 6234 1999,http://www.hkesim.com.hk/,email@domain.com,5,10 reviews,"Hong Kong, Mong Kok, Argyle St, 83號, 地下G93鋪",92,🔥 High Priority,New,No,2026-07-10 10:37:41,"Subject: Elevate Your Brand Presence in Hong Kong with Lightfantastic.tv

Dear 香港eSIM信豐電訊 電話卡批發及零售 Team,

I came across your business, 香港eSIM信豐電訊 電話卡批發及零售, and was impressed with your 5-star rating and comprehensive services, including phone cards for various international destinations. As a leading out-of-home advertising platform in Hong Kong, I believe our solution, lightfantastic.tv, can help amplify your brand's reach and visibility to the city's vibrant audience.

Our platform offers an unparalleled opportunity to showcase your brand on four strategically located windows, reserved specifically for the peak season. Not only will you save on costs by booking all four windows together, but you'll also be able to create an immersive brand experience that resonates with your target audience.

To celebrate Singles' Day, we're offering an exclusive promotion: book any of our windows from November 5th to 11th, 2026, for just HK$120,000. This is a unique chance to elevate your brand's presence in Hong Kong at a discounted rate.

If you're interested in learning more about how lightfantastic.tv can help your business thrive, please don't hesitate to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss how our platform can meet your specific marketing objectives.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv"
9,Wah Shing Battery & Auto Supply,+852 2770 8728,http://www.wsbattery-autoparts.com.hk/,Website Unreachable,4,2 reviews,"35 Kam Lam St, Mong Kok, Hong Kong",70,🔥 High Priority,New,No,2026-07-10 10:37:41,"Subject Line: Reach the Right Audience in Hong Kong with Lightfantastic.tv

Hi Wah Shing Battery & Auto Supply Team,

I came across your website, http://www.wsbattery-autoparts.com.hk/, and noticed that you're a reputable business in the automotive industry with a 4-star rating. As a marketing professional, I wanted to introduce you to a unique opportunity to amplify your brand's visibility in Hong Kong with out-of-home advertising through lightfantastic.tv.

Our product allows you to reserve a full peak season of advertising across four prime windows in Hong Kong for a competitive price of HK$400,000. This comprehensive package not only saves you money but also ensures seamless brand exposure during the busiest period.

To make it even more exciting, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. You can now book each window for just HK$120,000, making it an ideal time to boost your brand's presence in the city.

By partnering with lightfantastic.tv, you'll be able to reach a vast and engaged audience in Hong Kong, increasing brand awareness, driving website traffic, and ultimately driving sales. Our platform offers a unique opportunity to put your brand on the streets of Hong Kong, making it an attractive addition to your marketing mix.

If you're interested in exploring this opportunity further, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be"
10,METEOR HK,+852 2392 0363,http://www.meteor.com.hk/,enquiry@meteor.com.hk,4.7,203 reviews,"9A, Lin Fook House, 3 Jardine's Cres, Causeway Bay, Hong Kong",100,🔥 High Priority,New,No,2026-07-10 10:37:41,"Subject: Brighten Up Your Brand's Visibility in Hong Kong

Dear METEOR HK Team,

I came across your impressive website (http://www.meteor.com.hk/) and was impressed by your 4.7-star rating – a testament to your commitment to excellence. As a marketing professional, I believe you understand the importance of being visible and reaching your target audience effectively.

That's where lightfantastic.tv comes in – a cutting-edge out-of-home advertising platform that lets you put your brand on the streets of Hong Kong. With our network of strategically located displays, you can reach millions of potential customers and increase brand awareness like never before. Our platform is designed to help businesses like yours stand out in a crowded market and drive results.

To make your brand shine even brighter, we're offering an exclusive promotion for Singles' Day (5-11 Nov 2026): take any of our four windows for just HK$120,000. This is a limited-time offer that allows you to reserve the full peak season and save against booking each window individually. Don't miss out on this opportunity to elevate your brand's presence in Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help METEOR HK reach new heights, please email me directly at hello@lightfantastic.tv. I'd be delighted to discuss further and answer any questions you may have.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising,"
