No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Hong Kong Cultural Centre,+852 2734 2009,https://www.lcsd.gov.hk/tc/hkcc/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.3,9628 reviews,"L5, Auditoria Building, 10 Salisbury Rd, Tsim Sha Tsui, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Cultural Centre Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Cultural Centre grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
2,Tian Tan Buddha,+852 2985 5248,https://www.plm.org.hk/,Website Unreachable,4.6,19472 reviews,"Ngong Ping Rd, Lantau Island, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Tian Tan Buddha Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Tian Tan Buddha grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
3,Temple Street Night Market,No Phone Number,https://www.temple-street-night-market.hk/,Error: Error code: 401 - {'error': {'message': 'Invalid A,3.8,22994 reviews,"Temple St, Jordan, Hong Kong",65,⭐ Medium Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Temple Street Night Market Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Temple Street Night Market grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
4,Hong Kong Hotel,+852 2720 6688,https://mkhkhotel.com/,mkhkhotel@yahoo.com.hk,3.3,13 reviews,"Kingland Apartments, 737-741C Nathan Rd, Mong Kok, Hong Kong",77,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Hotel Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Hotel grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
5,The Hong Kong Polytechnic University (PolyU),+852 2766 5111,https://www.polyu.edu.hk/tc/,Error: Error code: 401 - {'error': {'message': 'Invalid A,4.1,528 reviews,"11 Yuk Choi Rd, Hung Hom, Hong Kong",80,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear The Hong Kong Polytechnic University (PolyU) Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Hong Kong Polytechnic University (PolyU) grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
6,Hongkong Yatra,+852 9158 9428,https://hongkongyatra.com/,durgaram89@gmail.com,4.9,48 reviews,"Room - 21 Blk. H, 10/F, Ka Ming Court, 688-690 Castle Peak Rd, Lai Chi Kok, Hong Kong",94,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Hongkong Yatra Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hongkong Yatra grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
7,Hong Kong Caffe,No Phone Number,No Website,No Website,N/A,0 reviews,"90 Parkes St, Yau Ma Tei, Hong Kong",30,💡 Low Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Hong Kong Caffe Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hong Kong Caffe grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
8,Hongkong places,No Phone Number,No Website,No Website,N/A,0 reviews,"Mong Kok, Hong Kong",30,💡 Low Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Hongkong places Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Hongkong places grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
9,Modena by Fraser Hong Kong,+852 2262 3062,https://www.frasershospitality.com/en/china/hong-kong/modena-by-fraser-hong-kong/?utm_source=google&utm_medium=organic,reservations.hongkong@modenabyfraser.com,4.3,391 reviews,"18 Ashley Rd, Tsim Sha Tsui, Hong Kong",95,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear Modena by Fraser Hong Kong Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help Modena by Fraser Hong Kong grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
10,The Hong Kong Tourism Board Kowloon Visitor Centre,+852 2508 1234,http://www.discoverhongkong.com/eng/plan-your-trip/practicalities/visitor-services-centre.jsp,Website Unreachable,4.5,134 reviews,"Star Ferry Pier, Tsim Sha Tsui, Hong Kong",85,🔥 High Priority,New,No,2026-07-04 18:37:30,"Subject: Grow Your Business with lightfantastic.tv

Dear The Hong Kong Tourism Board Kowloon Visitor Centre Team,

I hope this email finds you well. I'm reaching out from lightfantastic.tv to introduce our lightfantastic.tv solution.

We help businesses like yours grow by Take all four windows for HK$400,000
Reserve the full peak season and save against booking each window on its own.. 

As a special offer, we're providing Singles' Day
5 to 11 Nov 2026
HK$120,000 / window.

Would you be available for a brief call to discuss how we can help The Hong Kong Tourism Board Kowloon Visitor Centre grow?

Best regards,
Hello Lightfantastic.tv
lightfantastic.tv
hello@lightfantastic.tv
hello@lightfantastic.tv"
