No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email
1,Pacific Prime Hong Kong,+852 3113 6886,http://www.pacificprime.hk/,Email Not Found,4.6,39 reviews,"Units 1-11, 35/F, 1 Hung To Rd, Kwun Tong, Hong Kong",79,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Elevate Your Brand on Hong Kong's Streets with Lightfantastic.tv

Dear Pacific Prime Hong Kong Team,

I came across your excellent 4.6-star rating on http://www.pacificprime.hk/ and was impressed by the quality of service you offer to your clients. As a representative from lightfantastic.tv, I'd like to introduce you to a unique out-of-home advertising opportunity that can help you further amplify your brand presence in Hong Kong.

Our digital window displays are strategically located in key areas, ensuring maximum visibility and engagement with your target audience. By partnering with us, you can create a lasting impression and reinforce your brand message in a dynamic and attention-grabbing way.

Right now, we're running a special promotion for Singles' Day (5-11 Nov 2026), where you can reserve a window display for an unbeatable price of HK$120,000. This is a rare chance to secure prime advertising space during peak season at a fraction of the usual cost.

If you're looking to make a lasting impression on the streets of Hong Kong, I'd be happy to discuss how lightfantastic.tv can support your marketing goals. Please don't hesitate to reach out to me directly at hello@lightfantastic.tv to learn more about this exciting opportunity.

Best regards,

Emily Wong
Business Development Manager, lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
2,Kwiksure Motor Insurance,+852 3113 2112,http://www.kwiksure.com/,cv@2x.png,4.8,267 reviews,"Hong Kong, Kwun Tong, Hung To Rd, 1號, 37/F Unit 15-20",100,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Elevate Your Brand in Hong Kong's Bustling Streets

Hi Kwiksure Motor Insurance Team,

I came across your excellent 4.8-star rating on http://www.kwiksure.com/ and was impressed by your commitment to providing top-notch insurance services to your customers. As a company that's always looking for innovative ways to reach and engage with their audience, I thought of lightfantastic.tv - a unique out-of-home advertising solution that can help take your brand to the next level.

Imagine putting your brand on the streets of Hong Kong, where thousands of people pass by daily, taking in the vibrant atmosphere and energy of the city. Our digital screens are strategically located in high-traffic areas, ensuring maximum visibility for your brand. By reserving our screens, you can save money compared to booking individual windows and enjoy the benefits of a guaranteed peak-season presence.

To celebrate Singles' Day, we're offering an exclusive promotion: book any of our windows from 5th to 11th November for just HK$120,000! This is a fantastic opportunity to connect with your target audience and create a lasting impression.

If you're interested in learning more about how lightfantastic.tv can help Kwiksure Motor Insurance achieve its marketing goals, please don't hesitate to reach out to me directly at hello@lightfantastic.tv. I'd be more than happy to schedule a call and discuss how our out-of-home advertising solution can benefit your business.

Looking forward to hearing"
3,Zurich Insurance Hong Kong,+852 2968 2222,https://www.zurich.com.hk/,enquiry@hk.zurich.com,3.1,53 reviews,"25-26/F, Zurich Insurance Company Ltd, One Island East, 18 Westlands Rd, Quarry Bay, Hong Kong",82,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject Line: Reach the Heart of Hong Kong with lightfantastic.tv

Hi Zurich Insurance Hong Kong Team,

I hope this email finds you well. My name is Emily Wong, and I'm a sales representative from lightfantastic.tv. Our innovative out-of-home advertising platform helps businesses like yours connect with the vibrant city of Hong Kong.

At lightfantastic.tv, we transform four iconic windows in the heart of the city into a dynamic canvas for your brand. By booking all four windows, you can create a truly immersive experience that resonates with your target audience. Plus, reserving the full peak season ensures a consistent brand presence throughout the year.

As a leading insurance company, you understand the importance of reaching your audience effectively. Our platform allows you to put your brand on the streets of Hong Kong, where it matters most. With lightfantastic.tv, you can:

- Increase brand visibility and reach a wider audience
- Create engaging, 24/7 brand experiences
- Drive foot traffic and sales

To celebrate Singles' Day, we're offering a special promotion: book any window between November 5th to 11th, 2026, for just HK$120,000. This is a fantastic opportunity to amplify your brand's presence in the city.

If you're interested in learning more about how lightfantastic.tv can help Zurich Insurance Hong Kong reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv. I'd be"
4,MSIG Insurance (Hong Kong) Limited,+852 3122 6922,https://www.msig.com.hk/,Email Not Found,4.5,53 reviews,"9F, 1111 King's Road, Taikoo Shing, Quarry Bay, Hong Kong",82,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Hi MSIG Insurance (Hong Kong) Limited Team,

I came across your impressive 4.5-star rating on the web and thought of you as a forward-thinking business looking to amplify its brand presence in Hong Kong. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of this vibrant city.

Our large-format digital displays are strategically placed at high-traffic areas, offering unparalleled reach and engagement for your target audience. By partnering with us, you can effectively increase brand awareness, drive foot traffic, and ultimately boost sales for MSIG Insurance (Hong Kong) Limited.

To take your marketing efforts to the next level, we're excited to offer a special promotion during Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can secure a prominent spot for your brand and make a lasting impression on the people of Hong Kong.

If you're interested in learning more about this opportunity or reserving your spot, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to discuss how lightfantastic.tv can help you achieve your marketing goals.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
5,Blue Cross (Asia-Pacific) Insurance Ltd,+852 2839 6333,https://www.bluecross.com.hk/,cs@bluecross.com.hk,4.2,199 reviews,"54樓, 合和中心, 183號 Queen's Rd E, Wan Chai, Hong Kong",95,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Elevate Your Brand's Visibility in Hong Kong's Bustling Streets

Dear Blue Cross (Asia-Pacific) Insurance Ltd Team,

I came across your impressive 4.2-star rating on the web and thought of your commitment to providing excellent service to your customers. As a leading insurance company in the Asia-Pacific region, you understand the importance of building a strong brand presence.

Lightfantastic.tv is an innovative out-of-home advertising platform that allows you to put your brand on the streets of Hong Kong, reaching a vast and engaged audience. Our network of digital screens is strategically placed in high-traffic areas, ensuring maximum visibility and impact for your brand.

By partnering with us, you can:

- Reserve our screens for the entire peak season and save on individual bookings
- Reach a wider audience and drive brand awareness
- Enhance your brand's image and reputation

To make it even more exciting, we're offering a special promotion for Singles' Day from November 5th to 11th, 2026. Book our screens at an unbeatable price of HK$120,000 per window – a steal for the ROI you'll generate!

If you're interested in learning more about how lightfantastic.tv can help Blue Cross (Asia-Pacific) Insurance Ltd reach new heights, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Looking forward to discussing this further with you!

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out"
6,CCW Global Hong Kong,+852 2114 2840,https://hk.ccw-global.com/,Email Not Found,4.7,11 reviews,"11/F Unit 4 - 6 Strand 50, 50 - 54 Bonham Strand, Sheung Wan, Hong Kong",77,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Amplify Your Brand's Presence in Hong Kong with lightfantastic.tv

Dear CCW Global Hong Kong Team,

I came across your excellent website (https://hk.ccw-global.com/) and noticed your 4.7-star rating - a testament to your commitment to delivering exceptional services to your clients. As a leading provider of out-of-home advertising solutions in Hong Kong, I'd like to introduce you to lightfantastic.tv, an innovative platform designed to help businesses like yours make a lasting impression on the city's vibrant streets.

By partnering with lightfantastic.tv, you can increase brand visibility, reach a wider audience, and drive business growth. Our digital display network allows you to reserve multiple windows at a discounted rate, ensuring maximum ROI. To give you a head start, we're offering a special promotion for Singles' Day, from November 5th to 11th, 2026. For just HK$120,000 per window, you can elevate your brand's presence across Hong Kong.

Don't miss this opportunity to reserve your spot and make the most of the peak season. To learn more about lightfantastic.tv and our exclusive offer, please reply to this email at hello@lightfantastic.tv or visit our website for more information.

Best regards,

Emily Wong
Business Development Manager
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong."
7,Alea - Insurance Broker,+852 2606 2668,https://alea.care/,hello@alea.care,5,134 reviews,"21-24 Connaught Rd W, Sheung Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject Line: Put Alea - Insurance Broker on the Streets of Hong Kong

Hi Alea - Insurance Broker Team,

I came across your exceptional insurance brokerage services at https://alea.care/ and was impressed with your 5-star rating. As a leading insurance broker in Hong Kong, I believe you're always looking for innovative ways to reach your target audience and increase brand visibility.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our unique platform allows you to showcase your message to a vast and diverse audience, creating opportunities for increased brand awareness, customer engagement, and ultimately, driving business growth.

By partnering with lightfantastic.tv, you can effectively reach and resonate with your target audience, creating a lasting impression and setting your brand apart from the competition. And, to make it even more attractive, we're offering a special promotion during Singles' Day from November 5th to 11th, where you can book one of our windows for a discounted rate of HK$120,000.

If you're interested in learning more about how lightfantastic.tv can benefit Alea - Insurance Broker, I invite you to reach out to us at hello@lightfantastic.tv. Our team would be delighted to discuss the details and answer any questions you may have.

Warm regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong"
8,Tugu Insurance Company Limited,+852 2824 2939,https://www.tuguhk.com/,Email Not Found,4.3,3 reviews,"28/F, United Asia Finance Centre, 333 Lockhart Rd, Wan Chai, Hong Kong",70,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject Line: Unlock Peak Season Opportunities with Lightfantastic.tv

Dear Tugu Insurance Company Limited,

I came across your website and was impressed by your rating of 4.3 - it's clear that you're doing something right in the insurance industry. As a sales representative at lightfantastic.tv, I'd like to introduce you to our out-of-home advertising platform that can help you reach an even broader audience in Hong Kong.

Our LED windows are strategically located in high-traffic areas, providing unparalleled visibility for your brand. By partnering with us, you can reserve the full peak season and enjoy significant savings compared to booking each window individually. This is a unique opportunity for businesses like yours to make a lasting impression on potential customers.

As a special offer for the upcoming Singles' Day, we're offering a discounted rate of HK$120,000 per window from November 5th to 11th. This is a limited-time chance to elevate your brand's visibility and engage with your target audience in a dynamic and eye-catching way.

If you're interested in learning more about how lightfantastic.tv can help Tugu Insurance Company Limited achieve its marketing goals, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be delighted to set up a consultation and explore how our platform can benefit your business.

Best regards,

Emily Wong
Sales Representative, lightfantastic.tv"
9,Navigator Insurance Brokers Ltd,+852 2530 2530,http://www.navigator-insurance.com/,crew@navigator-insurance.com,5,77 reviews,"Golden Sun Centre, Unit E, 8/F, 59-67 Bonham Strand W, Sheung Wan, Hong Kong",97,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Elevate Your Brand in Hong Kong's Vibrant Streets

Dear Navigator Insurance Brokers Ltd Team,

I came across your excellent reputation and website (http://www.navigator-insurance.com/), and I must say, Navigator Insurance Brokers Ltd is a trusted name in the industry. As a marketing professional with a keen eye on out-of-home advertising, I'd like to introduce you to lightfantastic.tv - a unique platform that allows you to shine on the streets of Hong Kong.

Our network of massive digital screens is strategically placed to capture the attention of over 3 million daily commuters, providing an unparalleled opportunity to reach your target audience and drive brand awareness. By partnering with lightfantastic.tv, you can effectively engage with potential customers, increase brand visibility, and stay ahead of the competition.

To celebrate the upcoming Singles' Day, we're offering an exclusive deal for businesses like yours. From November 5th to 11th, 2026, reserve any of our four prime windows for just HK$120,000 per window - a significant saving compared to booking each window individually.

Don't miss this chance to elevate your brand in Hong Kong's vibrant streets. If you're interested in learning more about this limited-time offer or would like to schedule a call, please reply to this email at hello@lightfantastic.tv.

Looking forward to helping Navigator Insurance Brokers Ltd shine in the heart of Hong Kong.

Best regards,

Emily Wong
Marketing Representative, lightfantastic.tv"
10,Expat Insurance,+852 3563 9771,https://www.expatinsurance.com.hk/,Website Unreachable,5,18 reviews,"Ste 701, 185 Wan Chai Rd, Wan Chai, Hong Kong",77,🔥 High Priority,New,No,2026-07-10 10:43:01,"Subject: Elevate Your Brand's Visibility in Hong Kong with LightFantastic.TV

Dear Expat Insurance Team,

I hope this email finds you well. I came across your website, https://www.expatinsurance.com.hk/, and was impressed with the excellent rating of 5 stars you've achieved. It's clear that you're committed to providing top-notch services to your clients.

As a marketing professional familiar with the Hong Kong market, I'd like to introduce you to LightFantastic.TV, a unique out-of-home advertising platform that puts your brand on the streets of Hong Kong. Our innovative approach allows you to reach a large audience with a single, eye-catching campaign.

By partnering with us, Expat Insurance can increase brand awareness, drive website traffic, and ultimately, boost sales. Our platform is particularly effective for businesses like yours, which cater to a global clientele. Imagine your brand's message displayed prominently in four key locations across Hong Kong for an unbeatable price of HK$400,000.

To make it even more compelling, we're excited to announce a special promotion for Singles' Day, from November 5th to 11th, 2026. For a limited time, you can reserve one of our windows for just HK$120,000. This is an unbeatable opportunity to reserve the full peak season and save against booking each window on its own.

If you're interested in learning more about how LightFantastic.TV can help Expat Insurance achieve its marketing"
