No,Business Name,Phone,Website,Email,Rating,Reviews,Address,Lead Score,Priority,Status,Contacted,Created Date,AI Generated Cold Email,_email_stats
1,Tyrehood,No Phone Number,No Website,No Website,4.8,85 reviews,"G/F Raleigh Centre 9 Yip Cheong Street On Lok Tusen, Fanling, Hong Kong",52,⭐ Medium Priority,New,No,2026-07-14 15:07:31,"Subject Line: Unlock Peak Season Potential for Tyrehood

Hi Tyrehood Team,

I hope this email finds you well. My name is Emily Wong, and I'm reaching out from lightfantastic.tv, the leading out-of-home advertising platform in Hong Kong. We're passionate about connecting brands with their target audience through visually striking displays.

As a business with a strong 4.8 rating, I believe Tyrehood is an excellent fit for our advertising solutions. By partnering with us, you can elevate your brand's presence in the city, driving customer engagement and loyalty. Our platform allows you to reserve all four windows for a fixed price of HK$400,000, ensuring a seamless and cost-effective experience.

To make the most of the peak season, I'd like to highlight our exclusive offer for Singles' Day (5-11 Nov 2026). Book any of our four windows for a special price of HK$120,000, and let's get your brand noticed by the people of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can supercharge your marketing efforts, please don't hesitate to reach out to me at hello@lightfantastic.tv. I'd be delighted to schedule a call and explore the possibilities together.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
2,Kwok Wah Tyre & Motoring Accessories Co. 國華膠輪汽車用品,+852 2380 4092,https://www.kwokwahtyre.com/,Email Not Found,4.8,52 reviews,"Hong Kong, Mong Kok, Playing Field Rd, 7號, Shop 1",82,🔥 High Priority,New,No,2026-07-14 15:07:31,"Here's a cold email for Kwok Wah Tyre & Motoring Accessories Co.:

Subject: Put Your Brand on the Streets of Hong Kong with Lightfantastic.tv

Dear Kwok Wah Tyre & Motoring Accessories Co. Team,

I came across your company, Kwok Wah Tyre & Motoring Accessories Co., and was impressed by your 4.8-star rating on your website. As a business owner in the competitive automotive industry, you understand the importance of standing out from the crowd and reaching your target audience effectively.

At lightfantastic.tv, we offer out-of-home advertising solutions that help businesses like yours connect with customers on the streets of Hong Kong. Our platform provides a unique opportunity to showcase your brand across four iconic locations, creating a lasting impression on your target audience.

To make your marketing dollars go further, we're excited to offer a special promotion for Singles' Day from November 5th to 11th, 2026. For just HK$120,000 per window, you can reserve a prime spot and increase your brand's visibility in the heart of Hong Kong.

Don't miss this chance to elevate your brand's presence and drive sales. To learn more about this limited-time offer and how lightfantastic.tv can help your business grow, simply reply to this email at hello@lightfantastic.tv or give us a call to discuss further.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong",
3,"Shing Tak Tyre Polytechnic Co., Ltd. - Sham Shui Po Yee Kuk Street",+852 2748 6196,No Website,No Website,4.6,39 reviews,"Hong Kong, Yee Kuk St, 235-249號, 座地下11,12,13,15號舖, Po Wing Building, B",59,⭐ Medium Priority,New,No,2026-07-14 15:07:31,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear Shing Tak Tyre Polytechnic Co., Ltd. Team,

I came across your esteemed institution and was impressed by your 4.6-star rating. At Lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our LED display screens are strategically located in high-traffic areas, allowing you to reach a vast audience and increase brand visibility.

By partnering with us, you can effectively communicate your message to the right people at the right time. Our screens are perfect for promoting new products, services, or events, as well as reinforcing brand awareness and loyalty.

We're excited to announce a special offer for Singles' Day: from November 5th to 11th, 2026, you can reserve a single window for just HK$120,000. This is an unbeatable opportunity to reserve the full peak season and save against booking each window on its own for HK$400,000.

If you're interested in learning more about how Lightfantastic.tv can elevate your brand in Hong Kong, please don't hesitate to reach out to us at hello@lightfantastic.tv. We look forward to collaborating with you!

Best regards,

May Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
4,鴻記電池輪胎 Hung Kee Battery & Tyre Services,+852 2552 1650,https://www.sifu24.com.hk/zh-hk/car-services/tire-services/,Email Not Found,4.4,130 reviews,"香港仔田灣漁歌街3號地下 3 Yue Ko St, Tin Wan, Aberdeen, Hong Kong",80,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject: Elevate Your Brand Presence in Hong Kong with lightfantastic.tv

Dear 鴻記電池輪胎 Hung Kee Battery & Tyre Services Team,

We've been following your excellent tire services at Sifu24, and we're impressed by your 4.4-star rating! As a business that values high-quality services, we think you'll appreciate our innovative out-of-home advertising solutions.

At lightfantastic.tv, we help businesses like yours reach a wider audience in the heart of Hong Kong. Our digital screens are strategically placed in high-traffic areas, allowing you to put your brand directly in front of potential customers. By partnering with us, you can increase brand awareness, drive foot traffic, and stay top-of-mind in a competitive market.

To make it even more attractive, we're offering a special promotion for Singles' Day from November 5 to 11, 2026. Book any of our four windows for HK$120,000, and you'll not only get a great deal but also a reserved spot during the peak season.

If you're interested in taking your marketing to the next level, we'd love to discuss how our solutions can benefit your business. Please reply to this email at hello@lightfantastic.tv, and we'll be in touch to explore the possibilities.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
5,Bridgestone Pro Tyre Shop,+852 2714 8100,http://www.protyreshop.com/aboutus/topic-e.php?cID=contact,contact@protyreshop.com,4.7,101 reviews,"153 Kowloon City Rd, To Kwa Wan, Hong Kong",100,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject Line: Boost Your Reach in the Heart of Hong Kong

Dear Bridgestone Pro Tyre Shop Team,

I came across your excellent 4.7-star rating on your website and was impressed by your commitment to quality and customer satisfaction. As a local business, I think you'd be interested in an innovative out-of-home advertising solution that can help you reach even more customers in Hong Kong.

At lightfantastic.tv, we offer a unique opportunity to reserve all four windows for a fixed price of HK$400,000. This not only saves you money compared to booking each window individually but also ensures that your brand is exposed to a massive audience during the peak season.

To make it even more attractive, we're offering a special promotion for Singles' Day, from November 5th to 11th, 2026. You can reserve any of our windows for just HK$120,000 - a fantastic opportunity to amplify your brand's visibility during this highly engaging period.

If you're interested in taking your marketing to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv. We'd be more than happy to discuss how our out-of-home advertising solution can benefit your business.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong. Put your brand on the streets of Hong Kong.",
6,Nexen Tire Hong Kong,+852 2510 8666,https://www.sunnychina.com.hk/nexen,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,5,1 reviews,"Hong Kong, Fo Tan, Au Pui Wan St, Yale Industrial Centre",90,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject: Elevate Your Brand's Visibility in Hong Kong with Lightfantastic.tv

Dear Nexen Tire Hong Kong,

As a leading tire manufacturer with a strong presence in Hong Kong, I'm confident that you're always looking for innovative ways to engage with your target audience. At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong, where it matters most.

Our digital screens are strategically located in high-traffic areas, providing a unique opportunity for businesses like yours to reach potential customers and drive brand awareness. By partnering with us, you can reserve our screens for the peak season and save against booking individual windows, making it an attractive option for your marketing budget.

To celebrate Singles' Day, we're offering an exclusive promotion from November 5th to 11th, 2026. For just HK$120,000 per window, you can amplify your brand's visibility and reach a wider audience. This is a limited-time offer you won't want to miss.

If you're interested in learning more about how lightfantastic.tv can help you achieve your marketing goals, I'd be happy to schedule a call to discuss further. Simply reply to this email or contact us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv
Out-of-home advertising, Hong Kong
Put your brand on the streets of Hong Kong.",
7,Cheung Kee Tyre Trading Limited (Whitfield Road),+852 2807 3209,http://www.ckt.hk/,logo-vossen_160x160@2x.jpg,4.8,17 reviews,"2-10號 Whitfield Rd, Tin Hau, Hong Kong",92,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject: Elevate Your Brand with Lightfantastic.tv in Hong Kong

Dear Cheung Kee Tyre Trading Limited,

As a valued business in Whitfield Road, I'd like to introduce you to Lightfantastic.tv, the innovative out-of-home advertising platform that puts your brand on the streets of Hong Kong. Our cutting-edge technology transforms four key window displays into immersive branding opportunities, generating maximum impact and engagement.

Lightfantastic.tv is specifically designed for businesses like yours, looking to increase visibility and drive foot traffic. Our platform allows you to:

- Reserve the full peak season in advance and save against booking individual windows
- Showcase your brand to millions of potential customers in high-traffic areas

This Singles' Day, from November 5th to 11th, we're offering an exclusive deal: HK$120,000 per window. Don't miss this chance to amplify your brand's presence in Hong Kong.

If you're interested in learning more about how Lightfantastic.tv can elevate your brand, please reply to this email at hello@lightfantastic.tv or give us a call. We'd be delighted to discuss how our platform can help Cheung Kee Tyre Trading Limited achieve its marketing goals.

Best regards,

Emily Wong
Sales Representative
Lightfantastic.tv
Out-of-home advertising, Hong Kong Put your brand on the streets of Hong Kong.",
8,Tyrant Tyre,+852 5993 8212,https://wa.me/85259938212,Email Not Found,4.7,15 reviews,"8B, Sun Chun St, Tai Hang, Hong Kong",77,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject Line: Elevate Your Brand's Visibility in Hong Kong

Dear Tyrant Tyre Team,

I hope this email finds you well. My name is Emily from lightfantastic.tv, and I've been following your business's success on WhatsApp (https://wa.me/85259938212) with great interest. Your 4.7-star rating is truly impressive, and I'm excited to explore how we can support you in reaching an even broader audience.

At lightfantastic.tv, we specialize in out-of-home advertising that puts your brand on the streets of Hong Kong. Our innovative and eye-catching displays can be found in four prominent locations, strategically reserved for peak season to maximize visibility and engagement. By partnering with us, you can reserve the full peak season and save against booking each window individually.

To make your brand shine even brighter, we're excited to offer a special promotion for Singles' Day (5-11 Nov 2026). For just HK$120,000 per window, you can take advantage of this incredible opportunity to reach a large and engaged audience.

If you're interested in learning more about how lightfantastic.tv can elevate your brand's visibility in Hong Kong, I'd love to hear from you. Please don't hesitate to reach out to us at hello@lightfantastic.tv. I look forward to discussing how we can work together to drive business growth for Tyrant Tyre.

Best regards,

Emily
Sales Representative
lightfantastic.tv
Out-of",
9,Workboy Auto Service Company,+852 5526 8678,https://www.sifu24.com.hk/zh-hk/car-services/tire-services/,Email Not Found,4.9,47 reviews,"22-24號 Lok Kwan St, Tai Kok Tsui, Hong Kong",79,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject: Elevate Your Brand in Hong Kong with lightfantastic.tv

Dear Workboy Auto Service Company,

I came across your excellent car services, particularly your tire services, on Sifu24. Your 4.9-star rating is truly impressive, and I can see why customers trust your brand. As a business owner, you're likely always looking for innovative ways to connect with your audience and drive growth.

That's where lightfantastic.tv comes in. Our out-of-home advertising solutions put your brand on the streets of Hong Kong, reaching a massive audience of over 7.5 million people. Our unique, large-format displays are strategically located across the city, making it impossible to ignore.

By partnering with us, you can:

- Increase brand awareness and reach a wider audience
- Build trust and credibility with your existing customers
- Drive foot traffic to your stores and online services

To celebrate Singles' Day, we're offering a special promotion from November 5th to 11th. Book any of our windows for just HK$120,000, a 70% discount off our regular price. This is a limited-time opportunity to elevate your brand and make a lasting impression on the streets of Hong Kong.

If you're interested in learning more about how lightfantastic.tv can help take your business to the next level, please don't hesitate to reach out to us at hello@lightfantastic.tv.

Best regards,

Emily Wong
Sales Representative
lightfantastic.tv",
10,Jingway Motor Tyres & Wheels Specialty Shop,+852 2322 6410,http://www.jingwaytyres.com/,Email Not Found,4.2,117 reviews,"Wing Chai Industrial Building, Choi Hung Rd, San Po Kong, Hong Kong",80,🔥 High Priority,New,No,2026-07-14 15:07:31,"Subject: Elevate Your Brand in Hong Kong with Lightfantastic.tv

Dear Jingway Motor Tyres & Wheels Specialty Shop Team,

I came across your exceptional 4.2-star rated website, http://www.jingwaytyres.com/, and was impressed with the services you offer to the Hong Kong community. As a specialist in out-of-home advertising, I'd like to introduce you to lightfantastic.tv, a unique opportunity to reach your target audience on the streets of Hong Kong.

Lightfantastic.tv offers a cutting-edge digital display network that allows you to reserve all four windows for a competitive HK$400,000, ensuring maximum visibility and brand awareness throughout the peak season. But, for a limited time, we're offering an exclusive Singles' Day promotion from November 5th to 11th, 2026, with an unbeatable rate of HK$120,000 per window. This is an ideal chance to amplify your brand's presence in the city and make a lasting impression on potential customers.

By partnering with lightfantastic.tv, you can:

- Increase brand visibility and awareness among your target audience
- Drive foot traffic to your store and boost sales
- Stand out from the competition in a crowded market

If you're interested in learning more about this exciting opportunity, I'd be happy to discuss the details further. Please don't hesitate to reach out to me at hello@lightfantastic.tv.

Best regards,

Max Wong
Sales Representative
Lightfant",
